id,USD,EUR,HRK,GBP,CNY,JPY,KRW,HKD,TWD,QAR,IDR,AED,INR,RUB,SAR,BRL,SEK,SGD,CAD,THB,TRY,NZD,PHP,AUD,CHF,CZK,EGP,MXN,MYR,NOK,PLN
string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
wbglobal.worldbattle.product_6,0.99,0.99,8.99,0.89,6.0,120.0,1200.0,8.0,33.0,3.69,16000.0,3.69,89.0,99.0,3.99,4.9,11.0,1.48,1.39,29.0,8.99,1.69,49.0,1.49,1.0,25.0,16.99,25.0,3.9,11.0,4.99
wbglobal.worldbattle.product_12,1.99,1.99,16.99,1.79,12.0,250.0,2500.0,15.0,70.0,7.29,35000.0,7.29,179.0,179.0,7.99,10.9,20.0,2.98,2.79,59.0,18.99,3.49,99.0,2.99,2.0,49.0,32.99,49.0,7.9,22.0,8.99
wbglobal.worldbattle.product_25,3.99,3.99,34.99,3.49,25.0,490.0,4900.0,28.0,130.0,14.99,65000.0,14.99,349.0,379.0,17.99,22.9,45.0,5.98,5.49,119.0,36.99,6.99,199.0,5.99,4.0,99.0,64.99,99.0,16.9,44.0,18.99
wbglobal.worldbattle.product_30,4.99,4.99,42.99,4.49,30.0,610.0,5900.0,38.0,170.0,17.99,79000.0,17.99,449.0,449.0,19.99,27.9,55.0,6.98,6.99,149.0,46.99,8.99,249.0,7.99,5.0,129.0,79.99,129.0,19.9,55.0,23.99
wbglobal.worldbattle.product_50,7.99,7.99,69.99,6.99,50.0,980.0,9900.0,58.0,270.0,29.99,129000.0,29.99,699.0,749.0,34.99,44.9,85.0,10.98,10.99,249.0,74.99,13.99,399.0,12.99,8.0,199.0,129.99,199.0,34.9,85.0,37.99
wbglobal.worldbattle.product_60,8.99,8.99,79.99,7.99,60.0,1100.0,11000.0,68.0,290.0,32.99,149000.0,32.99,799.0,849.0,37.99,49.9,99.0,12.98,11.99,279.0,79.99,14.99,449.0,13.99,9.0,229.0,149.99,229.0,37.9,99.0,42.99
wbglobal.worldbattle.product_68,9.99,9.99,89.99,8.99,68.0,1220.0,12000.0,78.0,330.0,36.99,159000.0,36.99,899.0,899.0,39.99,54.9,109.0,14.98,13.99,299.0,89.99,16.99,499.0,14.99,10.0,249.0,169.99,249.0,39.9,109.0,47.99
wbglobal.worldbattle.product_88,12.99,12.99,109.99,10.99,88.0,1600.0,16000.0,98.0,430.0,47.99,209000.0,47.99,1199.0,1190.0,54.99,74.9,139.0,17.98,17.99,399.0,119.99,22.99,649.0,19.99,13.0,329.0,219.99,329.0,54.9,139.0,59.99
wbglobal.worldbattle.product_98,14.99,14.99,129.99,12.99,98.0,1840.0,19000.0,118.0,490.0,54.99,249000.0,54.99,1299.0,1390.0,64.99,84.9,159.0,21.98,20.99,449.0,139.99,25.99,749.0,22.99,15.0,379.0,249.99,379.0,59.9,159.0,69.99
wbglobal.worldbattle.product_128,19.99,19.99,169.99,17.99,128.0,2440.0,25000.0,158.0,670.0,74.99,329000.0,74.99,1799.0,1790.0,84.99,109.9,219.0,28.98,27.99,599.0,189.99,34.99,999.0,30.99,20.0,499.0,329.99,499.0,79.9,219.0,94.99
wbglobal.worldbattle.product_188,27.99,27.99,239.99,24.49,188.0,3420.0,35000.0,218.0,930.0,104.99,459000.0,104.99,2499.0,2590.0,119.99,154.9,299.0,40.98,37.99,849.0,259.99,47.99,1390.0,42.99,28.0,729.0,469.99,699.0,119.9,299.0,129.99
wbglobal.worldbattle.product_328,49.99,49.99,429.99,44.99,328.0,6100.0,65000.0,398.0,1690.0,184.99,799000.0,184.99,4499.0,4690.0,219.99,279.9,549.0,68.98,69.99,1600.0,469.99,89.99,2490.0,79.99,48.0,1290.0,829.99,1299.0,199.9,549.0,239.99
wbglobal.worldbattle.product_648,99.99,99.99,899.99,89.99,648.0,12000.0,119000.0,788.0,3290.0,369.99,1599000.0,369.99,8900.0,9490.0,449.99,549.9,1095.0,148.98,139.99,3000.0,949.99,169.99,4990.0,159.99,100.0,2490.0,1699.99,2499.0,399.9,1090.0,479.99
