id,pos,reward_type,rewardID,weight,poster_key,repeat
int,int,string,int,int,string,int
1000,5,1,6022007,128,,0
1001,6,1,6022006,64,,0
1002,7,1,6022005,32,,0
1003,4,1,6022004,8,,0
1004,3,1,6022003,16,Congratulations! Commander {0} has won {1} at the Back to Work Roulette,0
1005,8,1,6022002,4,Congratulations! Commander {0} has won {1} at the Back to Work Roulette,0
1006,1,1,6022001,4,Congratulations! Commander {0} has won {1} at the Back to Work Roulette,0
1007,2,1,6022000,1,Congratulations! Commander {0} has won {1} at the Back to Work Roulette,0
1008,2,2,6022011,512,,0
1009,6,2,6022012,64,,0
1010,5,2,6022013,16,,0
1011,4,2,6022014,32,,0
1012,3,2,6022015,16,,0
1013,1,2,6022016,128,,0
1014,7,2,6022017,64,,0
1015,8,2,6022018,32,,0
1016,2,3,6022011,8,,0
1017,6,3,6022012,128,,0
1018,5,3,6022013,64,,0
1019,4,3,6022014,64,,0
1020,3,3,6022015,64,,0
1021,1,3,6022016,64,,0
1022,7,3,6022017,32,,0
1023,8,3,6022018,64,,0
1101,1,4,6022020,2,,0
1102,2,4,6022021,12,,0
1103,3,4,6022022,9,,0
1104,4,4,6022023,3,,0
1105,5,4,6022024,4,,0
1106,6,4,6022025,20,,0
1107,7,4,6022026,15,,0
1108,8,4,6022027,5,,0
1109,9,4,6022028,6,,0
1110,10,4,6022029,33,,0
1111,11,4,6022030,24,,0
1112,12,4,6022031,8,,0
1113,1,5,6022032,4,,0
1114,2,5,6022033,3,,0
1115,3,5,6022034,15,,0
1116,4,5,6022035,15,,0
1117,5,5,6022036,6,,0
1118,6,5,6022037,5,,0
1119,7,5,6022038,24,,0
1120,8,5,6022039,24,,0
1121,9,5,6022040,9,,0
1122,10,5,6022041,8,,0
1123,11,5,6022042,38,,0
1124,12,5,6022043,38,,0
1125,1,6,6022044,8,,0
1126,2,6,6022045,6,,0
1127,3,6,6022046,6,,0
1128,4,6,6022047,3,,0
1129,5,6,6022048,12,,0
1130,6,6,6022049,9,,0
1131,7,6,6022050,9,,0
1132,8,6,6022051,5,,0
1133,9,6,6022052,20,,0
1134,10,6,6022053,15,,0
1135,11,6,6022054,15,,0
1136,12,6,6022055,8,,0
1137,1,7,6022056,3,,0
1138,2,7,6022057,5,,0
1139,3,7,6022058,8,,0
1140,4,7,6022059,24,,0
1141,5,7,6022060,5,,0
1142,6,7,6022061,8,,0
1143,7,7,6022062,12,,0
1144,8,7,6022063,38,,0
1145,9,7,6022064,8,,0
1146,10,7,6022065,12,,0
1147,11,7,6022066,20,,0
1148,12,7,6022067,62,,0
1149,1,8,6022068,3,,0
1150,2,8,6022069,6,,0
1151,3,8,6022070,9,,0
1152,4,8,6022071,9,,0
1153,5,8,6022072,6,,0
1154,6,8,6022073,9,,0
1155,7,8,6022074,15,,0
1156,8,8,6022075,15,,0
1157,9,8,6022076,9,,0
1158,10,8,6022077,15,,0
1159,11,8,6022078,24,,0
1160,12,8,6022079,24,,0
1161,1,9,6022080,2,,0
1162,2,9,6022081,3,,0
1163,3,9,6022082,11,,0
1164,4,9,6022083,12,,0
1165,5,9,6022084,3,,0
1166,6,9,6022085,4,,0
1167,7,9,6022086,18,,0
1168,8,9,6022087,20,,0
1169,9,9,6022088,4,,0
1170,10,9,6022089,7,,0
1171,11,9,6022090,34,,0
1172,12,9,6022091,33,,0
1173,1,10,6022092,2,,0
1174,2,10,6022093,3,,0
1175,3,10,6022094,11,,0
1176,4,10,6022095,12,,0
1177,5,10,6022096,3,,0
1178,6,10,6022097,4,,0
1179,7,10,6022098,18,,0
1180,8,10,6022099,20,,0
1181,9,10,6022100,4,,0
1182,10,10,6022101,7,,0
1183,11,10,6022102,34,,0
1184,12,10,6022103,33,,0
1185,1,11,6022104,2,,0
1186,2,11,6022105,3,,0
1187,3,11,6022106,11,,0
1188,4,11,6022107,12,,0
1189,5,11,6022108,3,,0
1190,6,11,6022109,4,,0
1191,7,11,6022110,18,,0
1192,8,11,6022111,20,,0
1193,9,11,6022112,4,,0
1194,10,11,6022113,7,,0
1195,11,11,6022114,34,,0
1196,12,11,6022115,33,,0
1197,1,12,6022116,3,,0
1198,2,12,6022117,3,,0
1199,3,12,6022118,9,,0
1200,4,12,6022119,6,,0
1201,5,12,6022120,6,,0
1202,6,12,6022121,6,,0
1203,7,12,6022122,12,,0
1204,8,12,6022123,8,,0
1205,9,12,6022124,15,,0
1206,10,12,6022125,15,,0
1207,11,12,6022126,20,,0
1208,12,12,6022127,12,,0
1209,1,13,6022128,3,,0
1210,2,13,6022129,3,,0
1211,3,13,6022130,9,,0
1212,4,13,6022131,6,,0
1213,5,13,6022132,6,,0
1214,6,13,6022133,6,,0
1215,7,13,6022134,12,,0
1216,8,13,6022135,8,,0
1217,9,13,6022136,15,,0
1218,10,13,6022137,15,,0
1219,11,13,6022138,20,,0
1220,12,13,6022139,12,,0
1221,1,14,6022140,3,,0
1222,2,14,6022141,3,,0
1223,3,14,6022142,9,,0
1224,4,14,6022143,6,,0
1225,5,14,6022144,6,,0
1226,6,14,6022145,6,,0
1227,7,14,6022146,12,,0
1228,8,14,6022147,8,,0
1229,9,14,6022148,15,,0
1230,10,14,6022149,15,,0
1231,11,14,6022150,20,,0
1232,12,14,6022151,12,,0
