id,order,daily,vip,reward_id,buy_time_limit,activity_id,is_open,cd_time,price,bargain_num,bargain_count,bargain_rate
int,int,int,string,int,int,int,int,int,int,int,string,string
1,1,1,9-20,950029,1,5005049,1,180,500,3,90|80,100|100
2,2,1,9-20,950030,1,5005049,1,180,7200,3,60|50,100|100
3,3,1,9-20,950031,10,5005049,1,180,500,3,70|60|50,100|100|100
4,4,1,9-20,950032,2,5005049,1,180,1600,3,60|50|40,100|100|100
5,5,1,9-20,950033,2,5005049,1,180,1200,3,60|50|40|30,100|100|100|100
6,6,1,9-20,950034,10,5005049,1,180,1200,3,60|50|40|30,100|100|100|100
7,7,2,9-20,950035,1,5005049,1,180,1500,3,90|80,100|100
8,8,2,9-20,950031,10,5005049,1,180,500,3,70|60|50,100|100|100
9,9,2,9-20,950036,3,5005049,1,180,2000,3,70|60,100|100
10,10,2,9-20,950037,3,5005049,1,180,2400,3,80|70|60,100|100|100
11,11,2,9-20,950038,2,5005049,1,180,1000,3,60|50|40,100|100|100
12,12,2,9-20,950039,1,5005049,1,180,3200,3,60|50|40|30,100|100|100|100
13,13,3,9-20,950029,1,5005049,1,180,500,3,90|80,100|100
14,14,3,9-20,950030,1,5005049,1,180,7200,3,60|50,100|100
15,15,3,9-20,950031,10,5005049,1,180,500,3,70|60|50,100|100|100
16,16,3,9-20,950040,3,5005049,1,180,800,3,60|50|40,100|100|100
17,17,3,9-20,950041,5,5005049,1,180,1500,3,60|50,100|100
18,18,3,9-20,950042,5,5005049,1,180,1500,3,80|70,100|100
19,19,4,9-20,950043,1,5005049,1,180,1000,3,90|80,100|100
20,20,4,9-20,950031,10,5005049,1,180,500,3,70|60|50,100|100|100
21,21,4,9-20,950036,3,5005049,1,180,2000,3,70|60,100|100
22,22,4,9-20,950037,3,5005049,1,180,2400,3,80|70|60,100|100|100
23,23,4,9-20,950038,2,5005049,1,180,1000,3,60|50|40,100|100|100
24,24,4,9-20,950039,1,5005049,1,180,3200,3,60|50|40|30,100|100|100|100
25,25,5,9-20,950029,1,5005049,1,180,500,3,90|80,100|100
26,26,5,9-20,950030,1,5005049,1,180,7200,3,60|50,100|100
27,27,5,9-20,950031,10,5005049,1,180,500,3,70|60|50,100|100|100
28,28,5,9-20,950032,1,5005049,1,180,1600,3,60|50|40,100|100|100
29,29,5,9-20,950033,2,5005049,1,180,1200,3,60|50|40|30,100|100|100|100
30,30,5,9-20,950034,10,5005049,1,180,1200,3,60|50|40|30,100|100|100|100
31,31,6,9-20,950035,1,5005049,1,180,1500,3,90|80,100|100
32,32,6,9-20,950031,10,5005049,1,180,500,3,70|60|50,100|100|100
33,33,6,9-20,950036,3,5005049,1,180,2000,3,70|60,100|100
34,34,6,9-20,950037,3,5005049,1,180,2400,3,80|70|60,100|100|100
35,35,6,9-20,950038,2,5005049,1,180,1000,3,60|50|40,100|100|100
36,36,6,9-20,950039,1,5005049,1,180,3200,3,60|50|40|30,100|100|100|100
37,37,7,9-20,950029,1,5005049,1,180,500,3,90|80,100|100
38,38,7,9-20,950030,1,5005049,1,180,7200,3,60|50,100|100
39,39,7,9-20,950031,10,5005049,1,180,500,3,70|60|50,100|100|100
40,40,7,9-20,950032,1,5005049,1,180,1600,3,60|50|40,100|100|100
41,41,7,9-20,950041,5,5005049,1,180,1500,3,60|50,100|100
42,42,7,9-20,950042,5,5005049,1,180,1500,3,80|70,100|100
44,44,1,0-8,950029,1,5005049,1,180,500,3,90|80,100|100
45,45,1,0-8,950030,1,5005049,1,180,7200,3,60|50,100|100
46,46,1,0-8,950044,1,5005049,1,180,200,3,90|80|70,100|100|100
47,47,1,0-8,950031,10,5005049,1,180,500,3,70|60|50,100|100|100
48,48,1,0-8,950045,5,5005049,1,180,1600,3,80|70,100|100
49,49,1,0-8,950046,5,5005049,1,180,2000,3,70|60,100|100
50,50,2,0-8,950035,1,5005049,1,180,1500,3,90|80,100|100
51,51,2,0-8,950044,1,5005049,1,180,200,3,90|80|70,100|100|100
52,52,2,0-8,950031,10,5005049,1,180,500,3,70|60|50,100|100|100
53,53,2,0-8,950036,3,5005049,1,180,2000,3,70|60,100|100
