ID,desc,gift_type,item1_min,item1_max,item2_min,item2_max,group,rewardRate
int,string,int,int,int,int,int,string,string
109,固定彩蛋1,1,10,10,10,10,1,8;100
110,固定彩蛋2,1,1,1,1,1,1,9;100
111,固定彩蛋3,1,200,200,200,200,1,10;100
112,固定彩蛋4,1,8,8,10,10,1,11;100
113,固定彩蛋5,1,69,69,35,35,1,12;100
114,固定彩蛋6,1,116,116,116,116,1,13;100
115,固定彩蛋7,1,11,11,25,25,1,14;100
116,固定彩蛋8,1,20,20,6,6,1,15;100
117,固定彩蛋9,1,19,19,5,5,1,16;100
118,固定彩蛋10,1,73,73,38,38,1,17;100
119,固定彩蛋11,1,105,105,105,105,1,18;100
120,变动彩蛋1,1,21,40,81,100,1,2;35|3;40|4;15|5;10|19;100
121,变动彩蛋2,1,21,40,181,200,1,3;55|4;30|5;10|6;5|20;100
122,变动彩蛋3,1,61,80,181,200,1,3;55|4;25|5;12|6;8|21;100
123,变动彩蛋4,1,101,120,81,100,1,3;60|4;27|5;10|6;3|22;100
124,变动彩蛋5,1,161,180,161,180,1,3;40|4;30|5;20|6;9|7;1|23;100
1,通用区间,0,1,20,1,20,1,1;100
2,通用区间,0,1,20,21,40,1,1;10|2;70|3;20
3,通用区间,0,1,20,41,60,1,2;60|3;30|4;10
4,通用区间,0,1,20,61,80,1,2;40|3;40|4;20
5,通用区间,0,1,20,81,100,1,2;35|3;45|4;15|5;5
6,通用区间,0,1,20,101,120,1,2;35|3;40|4;15|5;10
7,通用区间,0,1,20,121,140,1,2;30|3;40|4;16|5;14
8,通用区间,0,1,20,141,160,1,2;45|3;20|4;15|5;20
9,通用区间,0,1,20,161,180,1,2;15|3;45|4;20|5;20
10,通用区间,0,1,20,181,200,1,3;60|4;27|5;10|6;3
11,通用区间,0,21,40,1,20,1,1;10|2;70|3;20
12,通用区间,0,21,40,21,40,1,2;60|3;30|4;10
13,通用区间,0,21,40,41,60,1,2;40|3;40|4;20
14,通用区间,0,21,40,61,80,1,2;35|3;45|4;15|5;5
15,通用区间,0,21,40,81,100,1,2;35|3;40|4;15|5;10
16,通用区间,0,21,40,101,120,1,2;30|3;40|4;16|5;14
17,通用区间,0,21,40,121,140,1,2;45|3;20|4;15|5;20
18,通用区间,0,21,40,141,160,1,2;15|3;45|4;20|5;20
19,通用区间,0,21,40,161,180,1,3;60|4;27|5;10|6;3
20,通用区间,0,21,40,181,200,1,3;55|4;30|5;10|6;5
21,通用区间,0,41,60,1,20,1,2;60|3;30|4;10
22,通用区间,0,41,60,21,40,1,2;40|3;40|4;20
23,通用区间,0,41,60,41,60,1,2;35|3;45|4;15|5;5
24,通用区间,0,41,60,61,80,1,2;35|3;40|4;15|5;10
25,通用区间,0,41,60,81,100,1,2;30|3;40|4;16|5;14
26,通用区间,0,41,60,101,120,1,2;45|3;20|4;15|5;20
27,通用区间,0,41,60,121,140,1,2;15|3;45|4;20|5;20
28,通用区间,0,41,60,141,160,1,3;60|4;27|5;10|6;3
29,通用区间,0,41,60,161,180,1,3;55|4;30|5;10|6;5
30,通用区间,0,41,60,181,200,1,3;55|4;25|5;14|6;6
31,通用区间,0,61,80,1,20,1,2;40|3;40|4;20
32,通用区间,0,61,80,21,40,1,2;35|3;45|4;15|5;5
33,通用区间,0,61,80,41,60,1,2;35|3;40|4;15|5;10
34,通用区间,0,61,80,61,80,1,2;30|3;40|4;16|5;14
35,通用区间,0,61,80,81,100,1,2;45|3;20|4;15|5;20
36,通用区间,0,61,80,101,120,1,2;15|3;45|4;20|5;20
37,通用区间,0,61,80,121,140,1,3;60|4;27|5;10|6;3
