ID,group,days,rate,target1,target2,reward,order
int,int,int,int,string,string,int,int
1,3,1,,211020|45,211021|65,9126200,
2,3,1,,211020|105,211021|67,9126201,
3,3,1,,211020|150,211021|140,9126202,
4,3,2,,211020|62,211021|44,9126200,
5,3,2,,211020|70,211021|102,9126201,
6,3,2,,211020|171,211021|163,9126202,
7,3,3,,211020|70,211021|50,9126200,
8,3,3,,211020|90,211021|70,9126201,
9,3,3,,211020|170,211021|141,9126202,
10,3,4,,211020|70,211021|40,9126200,
11,3,4,,211020|101,211021|61,9126201,
12,3,4,,211020|165,211021|145,9126202,
13,3,5,,211020|45,211021|75,9126200,
14,3,5,,211020|105,211021|55,9126201,
15,3,5,,211020|180,211021|140,9126202,
16,3,6,,211020|33,211021|72,9126200,
17,3,6,,211020|115,211021|45,9126201,
18,3,6,,211020|181,211021|181,9126202,
19,3,7,,211020|40,211021|70,9126200,
20,3,7,,211020|61,211021|101,9126201,
21,3,7,,211020|145,211021|165,9126202,
22,3,8,,211020|75,211021|45,9126200,
23,3,8,,211020|55,211021|105,9126201,
24,3,8,,211020|140,211021|180,9126202,
25,3,9,,211020|65,211021|45,9126200,
26,3,9,,211020|67,211021|105,9126201,
27,3,9,,211020|140,211021|150,9126202,
28,3,10,,211020|44,211021|62,9126200,
29,3,10,,211020|102,211021|70,9126201,
30,3,10,,211020|163,211021|171,9126202,
31,3,11,,211020|50,211021|70,9126200,
32,3,11,,211020|70,211021|90,9126201,
33,3,11,,211020|141,211021|170,9126202,
