id,icon,cost,score,max_receive,interval,rate,ad_rate
int,string,int,int,int,string,string,int
1,rechage_target_1,100,0,288,20|40|60|80|101,0|300|400|150|150,280
2,rechage_target_2,200,6,488,20|40|60|80|101,0|300|400|150|150,480
3,rechage_target_3,500,30,1000,20|40|60|80|101,0|350|400|150|100,900
4,rechage_target_4,1000,100,1800,20|40|60|80|101,50|500|350|80|20,1700
5,rechage_target_5,2000,200,3300,20|40|60|80|101,50|500|350|80|20,3200
6,rechage_target_6,3000,300,4800,20|40|60|80|101,10|50|30|80|20,4700
7,rechage_target_7,5000,500,7300,20|40|60|80|101,10|50|30|80|20,7200
8,rechage_target_8,7000,700,10000,20|40|60|80|101,150|550|200|90|10,9800
9,rechage_target_9,10000,1000,14000,20|40|60|80|101,150|550|200|90|10,13500
10,rechage_target_10,15000,1500,20000,20|40|60|80|101,150|550|200|90|10,19500
11,rechage_target_11,20000,2000,26000,20|40|60|80|101,150|550|200|90|10,25500
