id,item_name_key,icon_res,rewards_quality,help_type,reward_param,rewards_num,help_times,unlock_type,unlock_level,sequenc_weight
int,string,string,int,int,int,double,int,int,int,int
10001,102523,image/item/item_1800001,3,1,1800001,10.0,10,1,999,20
10002,Green EXP Book,image/item/item_2400001,2,1,2400002,1.0,10,1,999,30
10003,Moon Stone,image/item/item_3500007,2,1,3500007,1.0,10,1,18,70
10004,Jade Stone,image/item/item_3500008,2,1,3500008,1.0,10,1,18,69
10005,Agate Stone,image/item/item_3500005,2,1,3500005,1.0,10,1,18,68
10006,Obsidian,image/item/item_3500006,2,1,3500006,1.0,10,1,18,67
10007,Ore Residue,image/item/item_3500009,2,1,3500009,15.0,10,1,18,66
10101,100020,res:items/item_900000.png,3,2,1,1000.0,10,2,-1,30
10102,100020,res:items/item_900000.png,3,2,1,2000.0,10,2,-1,30
10103,100020,res:items/item_900000.png,3,2,1,4000.0,10,2,-1,30
10104,100020,res:items/item_900000.png,3,2,1,8000.0,10,2,-1,30
10105,100020,res:items/item_900000.png,3,2,1,16000.0,10,2,5,30
10106,100020,res:items/item_900000.png,3,2,1,32000.0,10,2,6,30
10107,100020,res:items/item_900000.png,3,2,1,64000.0,10,2,7,30
10108,100020,res:items/item_900000.png,3,2,1,128000.0,10,2,8,30
10109,100020,res:items/item_900000.png,3,2,1,256000.0,10,2,9,30
10110,100020,res:items/item_900000.png,3,2,1,512000.0,10,2,10,30
10111,100020,res:items/item_900000.png,3,2,1,1024000.0,10,2,11,30
10112,100020,res:items/item_900000.png,3,2,1,2048000.0,10,2,12,30
10113,100020,res:items/item_900000.png,3,2,1,4096000.0,10,2,13,30
10114,100020,res:items/item_900000.png,3,2,1,8192000.0,10,2,14,30
10115,100020,res:items/item_900000.png,3,2,1,16384000.0,10,2,15,30
10116,100020,res:items/item_900000.png,3,2,1,32768000.0,10,2,16,30
10117,100020,res:items/item_900000.png,3,2,1,65536000.0,10,2,17,30
10118,100020,res:items/item_900000.png,3,2,1,131072000.0,10,2,18,30
10119,100020,res:items/item_900000.png,3,2,1,262144000.0,10,2,19,30
10120,100020,res:items/item_900000.png,3,2,1,524288000.0,10,2,20,30
10121,100020,res:items/item_900000.png,3,2,1,1048576000.0,10,2,21,30
10122,100020,res:items/item_900000.png,3,2,1,2097152000.0,10,2,22,30
10123,100020,res:items/item_900000.png,3,2,1,3854313200.0,10,2,23,30
10124,100020,res:items/item_900000.png,3,2,1,6734862200.0,10,2,24,30
10125,100020,res:items/item_900000.png,3,2,1,15914044300.0,10,2,25,30
10126,100020,res:items/item_900000.png,3,2,1,26483702000.0,10,2,26,30
10127,100020,res:items/item_900000.png,3,2,1,52118654500.0,10,2,27,30
10128,100020,res:items/item_900000.png,3,2,1,100906293800.0,10,2,28,30
10129,100020,res:items/item_900000.png,3,2,1,188161926200.0,10,2,29,30
10130,100020,res:items/item_900000.png,3,2,1,339266433600.0,10,2,30,30
10131,100020,res:items/item_900000.png,3,2,1,607815451400.0,10,2,31,30
10132,100020,res:items/item_900000.png,3,2,1,1161927033100.0,10,2,32,30
10133,100020,res:items/item_900000.png,3,2,1,2255615814300.0,10,2,33,30
10134,100020,res:items/item_900000.png,3,2,1,3887917107300.0,10,2,34,30
