id,tab,group_id,level,name,desc,type,parm1,parm2,parm3,unlock_condition,lvup_exp,lvup_cost,lvup_time,donation_exp,alliance_point,crit,crit_add_exp,crit_add_point,icon,alliance_coin
int,int,int,int,string,string,int,int,int,int,string,int,string,int,int,int,int,int,int,string,int
10100,1,10100,0,105150,105151,3,950003,0,-1,-1,10000,1;200000,1800,20,50,0,200,200,image/alliance_science/alliance_science_1,320
10101,1,10100,1,105150,105151,3,950003,10,-1,-1,60000,1;1000000,7200,50,50,0,200,200,image/alliance_science/alliance_science_1,320
10102,1,10100,2,105150,105151,3,950003,25,-1,-1,260000,1;4000000,18000,130,50,0,200,200,image/alliance_science/alliance_science_1,320
10103,1,10100,3,105150,105151,3,950003,40,-1,-1,760000,1;10000000,28800,250,50,0,200,200,image/alliance_science/alliance_science_1,320
10104,1,10100,4,105150,105151,3,950003,55,-1,-1,1760000,1;20000000,36000,400,50,0,200,200,image/alliance_science/alliance_science_1,320
10105,1,10100,5,105150,105151,3,950003,70,-1,-1,3760000,1;40000000,43200,660,50,0,200,200,image/alliance_science/alliance_science_1,320
10106,1,10100,6,105150,105151,3,950003,95,-1,-1,8760000,1;100000000,43200,1420,50,0,200,200,image/alliance_science/alliance_science_1,320
10107,1,10100,7,105150,105151,3,950003,120,-1,-1,0,1;0,0,0,0,0,200,200,image/alliance_science/alliance_science_1,320
10200,1,10200,0,105152,105153,3,950001,0,-1,10100;1,10000,1;200000,1800,20,50,0,200,200,image/alliance_science/alliance_science_2,320
10201,1,10200,1,105152,105153,3,950001,100,-1,10100;1,60000,1;1000000,7200,50,50,0,200,200,image/alliance_science/alliance_science_2,320
10202,1,10200,2,105152,105153,3,950001,300,-1,10100;1,260000,1;4000000,18000,130,50,0,200,200,image/alliance_science/alliance_science_2,320
10203,1,10200,3,105152,105153,3,950001,500,-1,10100;1,760000,1;10000000,28800,250,50,0,200,200,image/alliance_science/alliance_science_2,320
10204,1,10200,4,105152,105153,3,950001,700,-1,10100;1,1760000,1;20000000,36000,400,50,0,200,200,image/alliance_science/alliance_science_2,320
10205,1,10200,5,105152,105153,3,950001,900,-1,10100;1,3760000,1;40000000,43200,660,50,0,200,200,image/alliance_science/alliance_science_2,320
10206,1,10200,6,105152,105153,3,950001,1100,-1,10100;1,8760000,1;100000000,43200,1420,50,0,200,200,image/alliance_science/alliance_science_2,320
10207,1,10200,7,105152,105153,3,950001,1300,-1,10100;1,18760000,1;200000000,43200,2500,50,0,200,200,image/alliance_science/alliance_science_2,320
10208,1,10200,8,105152,105153,3,950001,1500,-1,10100;1,33760000,1;300000000,43200,3330,50,0,200,200,image/alliance_science/alliance_science_2,320
10209,1,10200,9,105152,105153,3,950001,1700,-1,10100;1,53760000,1;400000000,43200,4000,50,0,200,200,image/alliance_science/alliance_science_2,320
10210,1,10200,10,105152,105153,3,950001,1900,-1,10100;1,0,1;0,0,0,50,0,200,200,image/alliance_science/alliance_science_2,320
10300,1,10300,0,105154,105155,3,920900,0,-1,10100;1,10000,1;200000,1800,20,50,0,200,200,image/alliance_science/alliance_science_3,320
10301,1,10300,1,105154,105155,3,920900,100,-1,10100;1,60000,1;1000000,7200,50,50,0,200,200,image/alliance_science/alliance_science_3,320
10302,1,10300,2,105154,105155,3,920900,300,-1,10100;1,260000,1;4000000,18000,130,50,0,200,200,image/alliance_science/alliance_science_3,320
10303,1,10300,3,105154,105155,3,920900,500,-1,10100;1,760000,1;10000000,28800,250,50,0,200,200,image/alliance_science/alliance_science_3,320
10304,1,10300,4,105154,105155,3,920900,700,-1,10100;1,1760000,1;20000000,36000,400,50,0,200,200,image/alliance_science/alliance_science_3,320
10305,1,10300,5,105154,105155,3,920900,900,-1,10100;1,3760000,1;40000000,43200,660,50,0,200,200,image/alliance_science/alliance_science_3,320
10306,1,10300,6,105154,105155,3,920900,1100,-1,10100;1,8760000,1;100000000,43200,1420,50,0,200,200,image/alliance_science/alliance_science_3,320
10307,1,10300,7,105154,105155,3,920900,1300,-1,10100;1,18760000,1;200000000,43200,2500,50,0,200,200,image/alliance_science/alliance_science_3,320
10308,1,10300,8,105154,105155,3,920900,1500,-1,10100;1,33760000,1;300000000,43200,3330,50,0,200,200,image/alliance_science/alliance_science_3,320
10309,1,10300,9,105154,105155,3,920900,1700,-1,10100;1,53760000,1;400000000,43200,4000,50,0,200,200,image/alliance_science/alliance_science_3,320
10310,1,10300,10,105154,105155,3,920900,1900,-1,10100;1,83060000,1;500000000,43200,4800,50,0,200,200,image/alliance_science/alliance_science_3,320
10311,1,10300,11,105154,105155,3,920900,2100,-1,10100;1,108660000,1;600000000,43200,5000,50,0,200,200,image/alliance_science/alliance_science_3,320
10312,1,10300,12,105154,105155,3,920900,2300,-1,10100;1,133600000,1;700000000,43200,5000,50,0,200,200,image/alliance_science/alliance_science_3,320
10313,1,10300,13,105154,105155,3,920900,2500,-1,10100;1,161360000,1;800000000,43200,5000,50,0,200,200,image/alliance_science/alliance_science_3,320
10314,1,10300,14,105154,105155,3,920900,2700,-1,10100;1,0,1;0,43200,0,50,0,200,200,image/alliance_science/alliance_science_3,320
10400,1,10400,0,105156,104994,3,950002,0,-1,10100;1,10000,1;200000,1800,20,50,0,200,200,image/alliance_science/alliance_science_4,320
10401,1,10400,1,105156,104994,3,950002,100,-1,10100;1,60000,1;1000000,7200,50,50,0,200,200,image/alliance_science/alliance_science_4,320
10402,1,10400,2,105156,104994,3,950002,300,-1,10100;1,260000,1;4000000,18000,130,50,0,200,200,image/alliance_science/alliance_science_4,320
10403,1,10400,3,105156,104994,3,950002,500,-1,10100;1,760000,1;10000000,28800,250,50,0,200,200,image/alliance_science/alliance_science_4,320
10404,1,10400,4,105156,104994,3,950002,700,-1,10100;1,1760000,1;20000000,36000,400,50,0,200,200,image/alliance_science/alliance_science_4,320
10405,1,10400,5,105156,104994,3,950002,900,-1,10100;1,3760000,1;40000000,43200,660,50,0,200,200,image/alliance_science/alliance_science_4,320
