id,item_id,type,price_shop,tab,is_open,order,buy_limit,cost_reason,show_rank,buy_rank,refresh_weight,buy_switch,refresh_on,refresh_LV,timeBuyLimit,switchName
int,int,int,int,int,int,int,int,string,string,string,int,int,int,int,string,string
1,300001,101,90,1,1,5,10,AlliancePointBuyItem_sci,,,0,,,,,
2,301001,101,90,1,1,6,10,AlliancePointBuyItem_sci,,,0,,,,,
3,302001,101,90,1,1,7,10,AlliancePointBuyItem_sci,,,0,,,,,
4,303001,101,90,1,1,8,10,AlliancePointBuyItem_sci,,,0,,,,,
5,310001,101,90,1,1,9,10,AlliancePointBuyItem_sci,,,0,,,,,
6,311001,101,90,1,1,10,10,AlliancePointBuyItem_sci,,,0,,,,,
7,312001,101,90,1,1,11,10,AlliancePointBuyItem_sci,,,0,,,,,
8,313001,101,90,1,1,12,10,AlliancePointBuyItem_sci,,,0,,,,,
9,320001,101,90,1,1,13,10,AlliancePointBuyItem_sci,,,0,,,,,
10,321001,101,90,1,1,14,10,AlliancePointBuyItem_sci,,,0,,,,,
11,322001,101,90,1,1,15,10,AlliancePointBuyItem_sci,,,0,,,,,
12,323001,101,40,1,1,1,20,AlliancePointBuyItem_sci,,,180,,1,,,
13,200003,101,6000,1,1,3,1,AlliancePointBuyItem_qian,,,20,,,,,
14,200004,101,1800,1,1,4,1,AlliancePointBuyItem_prot,,,30,,,,,
15,200005,101,3000,1,1,2,1,AlliancePointBuyItem_prot,,,20,,,,,
16,200006,101,8000,1,1,1,1,AlliancePointBuyItem_prot,,,10,,,,,
17,500000,101,200,1,1,1,10,AlliancePointBuyItem_spdup,,,0,,,,,
18,500001,101,1200,1,1,1,1,AlliancePointBuyItem_spdup,,,0,,,,,
19,500002,101,6000,1,1,1,1,AlliancePointBuyItem_spdup,,,0,,,,,
20,1900001,101,200,1,1,1,1,AlliancePointBuyItem_chest,,,0,,,,,
21,1900002,101,2000,1,1,1,1,AlliancePointBuyItem_chest,,,0,,,,,
22,1900003,101,20000,1,1,1,1,AlliancePointBuyItem_chest,,,0,,,,,
23,200007,101,1500,1,1,2,10,AlliancePointBuyItem_qian2,,,180,,,,,
24,9992001,101,180,1,1,1,10,AlliancePointBuyItem_medal,,,180,1,1,55,,alliance_shop_switch
25,20210105,101,15000,1,1,1,1,AlliancePointBuyItem_move,,,180,,1,50,15;1,server_move_function
26,1800001,101,20,1,1,1,100,AlliancePointBuyItem_sci,,,180,,1,,,
