id,cost_coin,min_level,cost_gold,item_id,item_amount,require_pve_chapter,cond_type,cond_amount,cond_target,cost_type,cost_amount,cost_target,cond_desc,power
int,long,int,int,int,int,int,int,long,int,int,long,int,string,int
1,0.0,1,0,100,1,1,0,0.0,0,0,0.0,0,,840
2,100.0,2,0,100,1,2,1,2.0,0,1,100.0,0,,1770
3,2000.0,3,0,100,1,3,1,3.0,0,1,2000.0,0,,2780
4,4000.0,4,0,100,1,4,1,4.0,0,1,4000.0,0,,3880
5,8000.0,5,0,100,1,5,1,5.0,0,1,8000.0,0,,5060
6,20000.0,6,0,100,1,6,1,6.0,0,1,20000.0,0,,6330
7,50000.0,7,0,100,1,7,1,7.0,0,1,50000.0,0,,7680
8,100000.0,8,0,100,1,8,1,8.0,0,1,100000.0,0,,9110
9,300000.0,9,0,100,1,9,1,9.0,0,1,300000.0,0,,10630
10,600000.0,10,0,100,1,10,1,10.0,0,1,600000.0,0,,12230
11,1200000.0,11,0,100,1,11,1,11.0,0,1,1200000.0,0,,13920
12,2400000.0,12,0,100,1,12,1,12.0,0,1,2400000.0,0,,15690
13,4800000.0,13,0,100,1,13,1,13.0,0,1,4800000.0,0,,17550
14,9600000.0,14,0,100,1,14,1,14.0,0,1,9600000.0,0,,19490
15,19200000.0,15,0,100,1,15,1,15.0,0,1,19200000.0,0,,21520
16,38400000.0,16,0,100,1,16,1,16.0,0,1,38400000.0,0,,23630
17,76800000.0,17,0,100,1,17,1,17.0,0,1,76800000.0,0,,25820
18,153600000.0,18,0,100,1,18,1,18.0,0,1,153600000.0,0,,28100
19,307200000.0,19,0,100,1,19,1,19.0,0,1,307200000.0,0,,30460
20,1228800000.0,20,0,100,1,20,1,20.0,0,1,1228800000.0,0,,32910
21,2457600000.0,21,0,100,1,21,1,21.0,0,1,2457600000.0,0,,35440
22,4915200000.0,22,0,100,1,22,1,22.0,0,1,4915200000.0,0,,38060
23,9830400000.0,23,0,100,1,23,1,23.0,0,1,9830400000.0,0,,40760
24,19660800000.0,24,0,100,1,24,1,24.0,0,1,19660800000.0,0,,43540
25,78643200000.0,25,0,100,1,25,1,25.0,0,1,78643200000.0,0,,46410
26,157286400000.0,26,0,100,1,26,1,26.0,0,1,157286400000.0,0,,49360
27,314572800000.0,27,0,100,1,27,1,27.0,0,1,314572800000.0,0,,52400
28,629145600000.0,28,0,100,1,28,1,28.0,0,1,629145600000.0,0,,55520
29,1258291200000.0,29,0,100,1,29,1,29.0,0,1,1258291200000.0,0,,58730
30,2516582400000.0,30,0,100,1,30,1,30.0,0,1,2516582400000.0,0,,62020
31,5033164800000.0,31,0,100,1,31,1,31.0,0,1,5033164800000.0,0,,65400
32,10066329600000.0,32,0,100,1,32,1,32.0,0,1,10066329600000.0,0,,68860
33,20132659200000.0,33,0,100,1,33,1,33.0,0,1,20132659200000.0,0,,72400
34,40265318400000.0,34,0,100,1,34,1,34.0,0,1,40265318400000.0,0,,76030
35,80530636800000.0,35,0,100,1,35,1,35.0,0,1,80530636800000.0,0,,79740
36,161061273600000.0,36,0,100,1,36,1,36.0,0,1,161061273600000.0,0,,83540
37,322122547200000.0,37,0,100,1,37,1,37.0,0,1,322122547200000.0,0,,87420
38,644245094400000.0,38,0,100,1,38,1,38.0,0,1,644245094400000.0,0,,91390
39,1288490188800000.0,39,0,100,1,39,1,39.0,0,1,1288490188800000.0,0,,95440
40,3865470566400000.0,40,0,100,1,40,1,40.0,0,1,3865470566400000.0,0,,99580
41,7730941132800000.0,41,0,100,1,41,1,41.0,0,1,7730941132800000.0,0,,103800
42,1.54618822656e+16,42,0,100,1,42,1,42.0,0,1,1.54618822656e+16,0,,108100
43,3.09237645312e+16,43,0,100,1,43,1,43.0,0,1,3.09237645312e+16,0,,112490
44,6.18475290624e+16,44,0,100,1,44,1,44.0,0,1,6.18475290624e+16,0,,116960
45,1.236950581248e+17,45,0,100,1,45,1,45.0,0,1,1.236950581248e+17,0,,121520
46,2.473901162496e+17,46,0,100,1,46,1,46.0,0,1,2.473901162496e+17,0,,126160
47,4.947802324992e+17,47,0,100,1,47,1,47.0,0,1,4.947802324992e+17,0,,130890
48,9.895604649984e+17,48,0,100,1,48,1,48.0,0,1,9.895604649984e+17,0,,135700
49,1.9791209299968e+18,49,0,100,1,49,1,49.0,0,1,1.9791209299968e+18,0,,140590
50,3.9582418599936e+18,50,0,100,1,50,1,50.0,0,1,3.9582418599936e+18,0,,145570
