id,width,height,x,y,area,terrain_type,group,is_special,click_interface,interface_desc,unlock_type,block_type,plot_restriction,ini_building,set_building,cond_type,cond_amount,cond_target,cost_type,cost_amount,cost_target,cond_desc,require_pve,waiting_time,prefab,prefab_group,power,extra_around,order,ini_building_1,set_building_1
int,int,int,int,int,int,int,int,int,int,string,int,int,int,string,string,int,long,int,int,long,int,string,int,int,string,string,int,int,int,string,string
1001,2,2,4,30,1,1,,0,0,You need to keep moving forward to explore this tile; it's too far and you can't reach it right now!,0,0,,,,0,0.0,0,0,0.0,0,,1,0,NUnlockTile_1001,,0,,1,,
1002,2,2,6,28,1,1,,0,0,You need to keep moving forward to explore this tile; it's too far and you can't reach it right now!,0,0,,,,1,1.0,0,1,0.0,0,,1,0,NUnlockTile_1002,,0,,2,,
1003,2,2,8,26,1,1,,0,0,You need to keep moving forward to explore this tile; it's too far and you can't reach it right now!,0,0,,,,1,1.0,0,1,0.0,0,,1,0,NUnlockTile_1003,,0,,3,,
1004,2,2,12,38,1,1,,0,0,You need to keep moving forward to explore this tile; it's too far and you can't reach it right now!,0,0,,,,1,1.0,0,1,0.0,0,,1,0,NUnlockTile_1004,,0,,4,,
1005,2,2,10,36,1,1,,0,0,You need to keep moving forward to explore this tile; it's too far and you can't reach it right now!,0,0,,,,1,1.0,0,1,0.0,0,,1,0,NUnlockTile_1005,,0,,5,,
1006,2,2,8,34,1,1,,0,0,You need to keep moving forward to explore this tile; it's too far and you can't reach it right now!,0,0,,,,1,1.0,0,1,0.0,0,,1,0,NUnlockTile_1006,,0,,6,,
1007,2,2,6,32,1,1,,0,0,You need to keep moving forward to explore this tile; it's too far and you can't reach it right now!,0,0,,,,1,1.0,0,1,0.0,0,,1,0,NUnlockTile_1007,,0,,7,,
1008,2,2,14,36,1,1,,0,0,You need to keep moving forward to explore this tile; it's too far and you can't reach it right now!,0,0,,,,1,1.0,0,1,0.0,0,,1,0,NUnlockTile_1008,,0,,8,,
1009,2,2,12,34,1,1,,0,0,You need to keep moving forward to explore this tile; it's too far and you can't reach it right now!,0,0,,,,1,1.0,0,1,0.0,0,,1,0,NUnlockTile_1009,,0,,9,,
1010,2,2,10,32,1,1,,0,0,You need to keep moving forward to explore this tile; it's too far and you can't reach it right now!,0,0,,,,1,1.0,0,1,0.0,0,,1,0,NUnlockTile_1010,,0,,10,,
1011,2,2,8,30,1,1,,0,0,You need to keep moving forward to explore this tile; it's too far and you can't reach it right now!,0,0,,,,1,1.0,0,1,0.0,0,,1,0,NUnlockTile_1011,,0,,11,,
1013,2,2,18,36,1,1,,0,0,You need to keep moving forward to explore this tile; it's too far and you can't reach it right now!,0,0,,,,1,1.0,0,1,0.0,0,,1,0,NUnlockTile_1013,,0,,12,,
1014,2,2,16,34,1,1,,0,0,You need to keep moving forward to explore this tile; it's too far and you can't reach it right now!,0,0,,,,1,1.0,0,1,0.0,0,,1,0,NUnlockTile_1014,,0,,13,,
1015,2,2,14,32,1,1,,0,0,You need to keep moving forward to explore this tile; it's too far and you can't reach it right now!,0,0,,,,1,1.0,0,1,0.0,0,,1,0,NUnlockTile_1015,,0,,14,,
