id,type,pos_x,pos_y,len_x,len_y,is_init,terrain_type,disable,block_type,plot_restriction
int,int,int,int,int,int,int,int,int,int,int
107,0,52,0,4,4,0,0,0,0,
206,0,44,0,4,4,0,2,0,0,
207,0,48,4,4,4,0,2,0,0,
208,0,52,8,4,4,0,0,0,0,
305,0,36,0,4,4,0,2,0,0,
306,0,40,4,4,4,0,1,0,0,
307,0,44,8,4,4,0,1,0,0,
308,0,48,12,4,4,0,0,0,0,
309,0,52,16,4,4,0,1,0,0,
404,0,28,0,4,4,0,0,0,0,
405,0,32,4,4,4,0,2,0,0,
406,0,36,8,4,4,0,1,0,0,
407,0,40,12,4,4,0,1,0,0,
408,0,44,16,4,4,0,1,0,0,
409,0,48,20,4,4,0,1,0,0,
410,0,52,24,4,4,0,1,0,0,
503,0,20,0,4,4,0,2,0,0,
504,0,24,4,4,4,0,1,0,0,
505,0,28,8,4,4,0,1,0,0,
506,0,32,12,4,4,0,1,0,0,
507,0,36,16,4,4,0,1,0,0,
508,0,40,20,4,4,0,1,0,0,
509,0,44,24,4,4,0,1,0,0,
510,0,48,28,4,4,0,1,0,0,
511,0,52,32,4,4,0,1,0,0,
602,0,12,0,4,4,0,2,0,0,
603,0,16,4,4,4,0,2,0,0,
604,0,20,8,4,4,0,1,0,0,
605,0,24,12,4,4,0,1,0,0,
606,0,28,16,4,4,0,1,0,0,
607,0,32,20,4,4,0,1,0,0,
608,0,36,24,4,4,0,1,0,0,
609,0,40,28,4,4,0,2,0,0,
610,0,44,32,4,4,0,1,0,0,
611,0,48,36,4,4,0,1,0,0,
612,0,52,40,4,4,0,2,0,0,
701,0,4,0,4,4,0,0,0,0,
702,0,8,4,4,4,0,2,0,0,
703,0,12,8,4,4,0,1,0,0,
704,0,16,12,4,4,0,1,0,0,
705,0,20,16,4,4,0,1,0,0,
706,0,24,20,4,4,1,1,0,0,
707,0,28,24,4,4,0,2,0,0,
708,0,32,28,4,4,0,0,0,0,
709,0,36,32,4,4,0,0,0,0,
710,0,40,36,4,4,0,2,0,0,
711,0,44,40,4,4,0,1,0,0,
712,0,48,44,4,4,0,2,0,0,
713,0,52,48,4,4,0,0,0,0,
802,0,4,8,4,4,0,2,0,0,
803,0,8,12,4,4,0,1,0,0,
804,0,12,16,4,4,0,1,0,0,
805,0,16,20,4,4,0,1,0,0,
806,0,20,24,4,4,1,1,0,0,
807,0,24,28,4,4,0,1,0,0,
808,0,28,32,4,4,0,2,0,0,
809,0,32,36,4,4,0,0,0,0,
810,0,36,40,4,4,0,0,0,0,
811,0,40,44,4,4,0,0,0,0,
812,0,44,48,4,4,0,0,0,0,
813,0,48,52,4,4,0,0,0,1,62
814,0,52,56,4,4,0,0,0,1,62
