id,server,server_west,server_eu
int,string,string,string
1,1-980,1-80,1-810
2,981-1040,81-160,811-850
3,1041-1100,161-210,851-900
4,1101-1160,211-270,901-950
5,1161-1210,271-340,951-1000
6,1211-1250,341-440,1001-1070
7,1211-1250,441-510,1071-1120
8,1251-1300,511-570,1121-1210
9,1300-1340,571-620,1211-1280
10,1341-1380,621-670,1281-1330
11,1381-1420,671-720,1331-1370
12,1421-1460,721-790,1371-1430
13,1461-1600,791-830,1431-1600
14,,831-880,
15,,881-940,
16,,941-1010,
17,,1011-1130,
18,,1131-1240,
19,,1241-1320,
20,,1321-1430,
21,,1431-1600,
101,4090,4094,4090,4094,
