id,name,head_image,level,power,topic,hero,hero_level,hero_star,hero_skil,hero_talent,unit,access
int,string,string,int,double,int,string,string,string,string,string,string,string
1,Exercise Tutor,icon_man01_1,20,10000000.0,1,,,,,,10060|2;20060|2;30060|2,
2,Exercise Instructor,icon_man01_1,20,10000000.0,1,,,,,,10060|2;20060|2;30060|2,
3,Exercise Supervisor,icon_man01_1,20,10000000.0,1,,,,,,10060|2;20060|2;30060|2,
4,Exercise Inspector,icon_man01_1,20,10000000.0,1,,,,,,10060|2;20060|2;30060|2,
5,Exercise Commander,icon_man01_1,20,10000000.0,1,,,,,,10060|2;20060|2;30060|2,
6,Exercise Tutor,icon_man01_1,20,10000000.0,2,,,,,,10060|2;20060|2;30060|2,
7,Exercise Instructor,icon_man01_1,20,10000000.0,2,,,,,,10060|2;20060|2;30060|2,
8,Exercise Supervisor,icon_man01_1,20,10000000.0,2,,,,,,10060|2;20060|2;30060|2,
9,Exercise Inspector,icon_man01_1,20,10000000.0,2,,,,,,10060|2;20060|2;30060|2,
10,Exercise Commander,icon_man01_1,20,10000000.0,2,,,,,,10060|2;20060|2;30060|2,
11,Exercise Tutor,icon_man01_1,20,10000000.0,3,,,,,,10060|2;20060|2;30060|2,
12,Exercise Instructor,icon_man01_1,20,10000000.0,3,,,,,,10060|2;20060|2;30060|2,
13,Exercise Supervisor,icon_man01_1,20,10000000.0,3,,,,,,10060|2;20060|2;30060|2,
14,Exercise Inspector,icon_man01_1,20,10000000.0,3,,,,,,10060|2;20060|2;30060|2,
15,Exercise Commander,icon_man01_1,20,10000000.0,3,,,,,,10060|2;20060|2;30060|2,
16,Exercise Tutor,icon_man01_1,20,10000000.0,4,,,,,,10060|2;20060|2;30060|2,
17,Exercise Instructor,icon_man01_1,20,10000000.0,4,,,,,,10060|2;20060|2;30060|2,
18,Exercise Supervisor,icon_man01_1,20,10000000.0,4,,,,,,10060|2;20060|2;30060|2,
19,Exercise Inspector,icon_man01_1,20,10000000.0,4,,,,,,10060|2;20060|2;30060|2,
20,Exercise Commander,icon_man01_1,20,10000000.0,4,,,,,,10060|2;20060|2;30060|2,
