id,level,damage_phase,reward
int,int,int,string
1,1,1,270060
2,1,2,270060
3,1,3,270060
4,1,4,270060
5,1,5,270060
6,1,6,270060
7,1,7,270060
8,1,8,270060
9,1,9,270060
10,1,10,270060
11,1,11,270060
12,1,12,270060
13,1,13,270060
14,1,14,270060
15,1,15,270060
16,1,16,270060
17,1,17,270060
18,1,18,270060
19,1,19,270060
20,1,20,270060
21,1,21,270060
22,1,22,270060
23,1,23,270060
24,1,24,270060
25,1,25,270060
26,1,26,270060
27,1,27,270060
28,1,28,270060
29,1,29,270060
30,1,30,270060
31,65,1,270060
32,65,2,270060
33,65,3,270060
34,65,4,270060
35,65,5,270060
36,65,6,270060
37,65,7,270060
38,65,8,270060
39,65,9,270060
40,65,10,270060
41,65,11,270060
42,65,12,270060
43,65,13,270060
44,65,14,270060|270061
45,65,15,270060|270062
46,65,16,270060|270062
47,65,17,270060|270062
48,65,18,270060|270062
49,65,19,270060|270062
50,65,20,270060|270062
51,65,21,270060|270062
52,65,22,270060|270063
53,65,23,270060|270063
54,65,24,270060|270064
55,65,25,270060|270064
56,65,26,270060|270065
57,65,27,270060|270065
58,65,28,270060|270065
59,65,29,270060|270065
60,65,30,270060|270065
