id,hero,hero_level,hero_star,hero_skil,hero_talent
int,string,string,string,string,string
1,104,120,5,0|20301|5,
2,105,120,5,0|20302|5,
3,106,120,5,0|20303|5,
4,108,120,5,0|20311|5,
5,109,120,5,0|20315|5,
6,110,120,5,0|20617|5,
7,204,120,5,0|20304|5,
8,205,120,5,0|20305|5,
9,206,120,5,0|20306|5,
10,207,120,5,0|20307|5,
11,208,120,5,0|20313|5,
12,1209,120,5,0|20613|5,
13,211,120,5,0|20620|5,
14,304,120,5,0|20308|5,
15,305,120,5,0|20309|5,
16,306,120,5,0|20310|5,
17,307,120,5,0|20312|5,
18,308,120,5,0|20314|5,
19,309,120,5,0|20614|5,
