id,name,desc,model_id,new_model_id,new_model_key,type,level,max_level,quality,power,boss_power,power_new,score,width,height,defense_width,defense_height,point_type,upgrade_coin,building_id,load,speed,load_coin,attack_interval,interval_random,attack_speed,boss,key_name,model_id_app,revise,attack_skill,transfer_type,special_attribute,special_para_1,special_para_2,new_name,new_model,new_app_model,monster_type,orign_model,pro_model,kvk_score,army_skill,hero_fixed_hp_para,cab_score,repair_cost,repair_time,csb_score,siege_value,army_type_hospital
int,string,string,int,int,string,int,int,int,int,long,long,long,long,int,int,int,int,int,long,int,int,int,long,int,int,int,int,int,int,double,int,int,int,string,string,string,int,int,int,int,int,long,string,long,long,string,int,int,int,int
10001,Assault Infantry,105176,1100001,900001,Infantry,101,1,100,1,5.0,1080000.0,1.0,1.0,1,1,3,3,1,0.0,1041,31000,10000,2900.0,1000,50,1000,0,1,1011,1.0,1,,,,,,0,0,0,1100001,,0.0,,50.0,0.0,,,0,1,1
10002,Heavy MG Infantry,105176,1100002,900002,Machine Gun Squad,101,2,100,1,10.0,2160000.0,4.0,2.0,1,1,3,3,1,0.0,1042,32000,10000,2900.0,1000,50,1000,0,2,1012,1.0,1,,,,,,0,0,0,1100002,,0.0,,100.0,0.0,,,0,2,1
10003,Rocket Artillery,105176,1100003,900003,Mortar Squad,101,3,100,1,20.0,4320000.0,10.0,3.0,1,1,3,3,1,0.0,1043,33000,10000,2900.0,1000,50,1000,0,3,1013,1.0,1,,,,,,0,0,0,1100003,,0.0,,200.0,0.0,,,0,3,1
10004,Moto Rider,105176,1100004,900004,Flamethrower,101,4,100,1,28.0,6048000.0,25.0,7.0,1,1,3,3,1,0.0,1044,34000,10000,2900.0,1000,50,1000,0,4,1014,1.0,2,,,,,,0,0,0,1100004,,0.0,,280.0,0.0,,,0,4,1
10005,Mountain Moto Rider,105176,1100005,900005,Sniper,101,5,100,1,39.0,8424000.0,60.0,13.0,1,1,3,3,1,0.0,1045,35000,10000,28800.0,1000,50,1000,0,5,10005,1.0,1,,,,,,0,0,0,1100031,,0.0,,390.0,0.0,,,0,5,1
10006,Armored Vehicle,105176,1100006,900006,Anti-tank Squad,101,6,100,1,55.0,11880000.0,130.0,27.0,1,1,3,3,1,0.0,1046,36000,10000,57600.0,1000,50,1000,0,6,10006,1.0,4,,,,,,0,0,0,110030,,0.0,,550.0,0.0,,,0,6,1
10007,Heavy Armored Vehicle,105176,1100007,900007,Motor Squad,101,7,100,1,77.0,16632000.0,270.0,53.0,1,1,3,3,1,0.0,1047,37000,10000,115200.0,1000,50,1000,0,7,10007,1.0,5,,,,,,0,0,0,110031,,0.0,,770.0,0.0,,,0,7,1
10008,Mech Tank,105176,1100008,900008,Armed Jeep,101,8,100,1,108.0,23328000.0,550.0,107.0,1,1,3,3,1,0.0,1048,38000,10000,230400.0,1000,50,1000,0,8,10008,1.0,1,,,,,,0,0,0,1100008,,0.0,,1080.0,0.0,,,0,8,1
10009,Light Tank,105176,1100009,900009,Light Armored Vehicle,101,9,100,1,150.0,32400000.0,1200.0,213.0,1,1,3,3,1,0.0,1049,39000,10000,460800.0,1000,50,1000,0,9,10009,1.0,3,,,,,,0,0,0,1100009,,0.0,,1500.0,0.0,,,0,9,1
10010,Infantry Tank,105176,1100010,900010,Artillery,101,10,100,1,210.0,45360000.0,2500.0,427.0,1,1,3,3,1,0.0,1050,40000,10000,921600.0,1000,50,1000,0,10,10010,1.0,4,,,,,,0,0,0,1100010,,0.0,,2100.0,0.0,,,0,10,1
10011,Elite Tank,105176,1100011,900011,All-terrain Armored Vehicle,101,11,100,1,290.0,187920000.0,5625.0,854.0,1,1,3,3,1,0.0,104011,41000,10000,1843200.0,1000,50,1000,0,11,10011,1.0,2,,,,,,0,0,0,1100011,,0.0,,2800.0,0.0,,,0,11,1
10012,Beast Tank,105176,1100012,900012,Light Tank,101,12,100,1,410.0,265680000.0,12656.0,1707.0,1,1,3,3,1,0.0,104012,42000,10000,3686400.0,1000,50,1000,0,12,10012,1.0,5,,,,,,0,0,0,110045,,0.0,,3900.0,0.0,,,0,12,1
10013,Armored Tank,105176,1100013,900013,Medium-sized Rocket Launcher,101,13,100,1,570.0,492480000.0,28476.0,3414.0,1,1,3,3,1,0.0,104013,43000,10000,7372800.0,1000,50,1000,0,13,10013,1.0,1,,,,,,0,0,0,1100013,,0.0,,5200.0,0.0,,,0,13,1
10014,Grizzly Tank,105176,1100014,900014,Heavy Armored Vehicle,101,14,100,1,800.0,691200000.0,64071.0,6828.0,1,1,3,3,1,0.0,104014,44000,10000,14745600.0,1000,50,1000,0,14,10014,1.0,1,,,,,,0,0,0,1100014,,0.0,,7100.0,0.0,,,0,14,1
10015,Mobile Cannon,105176,1100015,900015,Medium Tank,101,15,100,1,1120.0,1209600000.0,144160.0,13656.0,1,1,3,3,1,0.0,104015,45000,10000,29491200.0,1000,50,1000,0,15,10015,1.0,1,,,,,,0,0,0,1100015,,0.0,,9700.0,0.0,,,0,15,1
10016,Camo Tank,105176,1100016,900016,Multiple Rocket Launcher,101,16,100,1,1600.0,1728000000.0,324360.0,27312.0,1,1,3,3,1,0.0,104016,46000,10000,58982400.0,1000,50,1000,0,16,10016,1.0,2,,,,,,0,0,0,1100016,,0.0,,13400.0,0.0,,,0,16,1
10017,T80 Tank,105176,1100017,900017,Super-Heavy Armored Vehicle,101,17,100,1,2200.0,2851200000.0,729810.0,54624.0,1,1,3,3,1,0.0,104017,47000,10000,117964800.0,1000,50,1000,0,17,10017,1.0,3,,,,,,0,0,0,1100017,,0.0,,17900.0,0.0,,,0,17,1
10018,Tiger Tank,105176,1100018,900018,Heavy Tank,101,18,100,1,3100.0,4017600000.0,1642073.0,109249.0,1,1,3,3,1,0.0,104018,48000,10000,235929600.0,1000,50,1000,0,18,10018,1.0,4,,,,,,0,0,0,1100018,,0.0,,24400.0,0.0,,,0,18,1
10019,M1A2 Tank,105176,1100019,900019,Heavy Missile Truck,101,19,100,1,4300.0,6501600000.0,3694664.0,218497.0,1,1,3,3,1,0.0,104019,49000,10000,471859200.0,1000,50,1000,0,19,10019,1.0,5,,,,,,0,0,0,1100019,,0.0,,32700.0,0.0,,,0,19,1
10020,Mirage Tank,105176,1100020,900020,Composite Armored Vehicle,101,20,100,1,6000.0,9072000000.0,7758794.0,436994.0,1,1,3,3,1,0.0,104020,50000,10000,943718400.0,1000,50,1000,0,20,10020,1.0,1,,,,,,0,0,0,1100020,,0.0,,44200.0,0.0,,,0,20,1
10021,Adv. Light Tank,105176,1100021,900021,Super-Heavy Artillery,101,21,100,1,8400.0,163545992787561.3,16293467.0,873988.0,1,1,3,3,1,0.0,104021,51000,10000,1271808000.0,1000,50,1000,0,21,10021,1.0,3,,,,,,0,0,0,1100021,,1.0,,59900.0,0.0,,,0,21,1
10022,Adv. Infantry Tank,105176,1100022,900022,Long-Range Rocket Launcher,101,22,100,1,11800.0,196255191345073.56,34216281.0,1747976.0,1,1,3,3,1,0.0,104022,52000,10000,2211840000.0,1000,50,1000,0,22,10022,1.0,4,,,,,,0,0,0,1100022,,1.0,,81400.0,0.0,,,0,22,1
10023,Adv. Elite Tank,105176,1100023,900023,Multipurpose Heavy Armored Vehicle,101,23,100,1,17000.0,235506229614088.25,71854190.0,3495952.0,1,1,3,3,1,0.0,104023,53000,10000,3686400000.0,1000,50,1000,0,23,10023,1.0,2,,,,,,0,0,0,1100023,,1.0,,113300.0,0.0,,,0,23,1
10024,Adv. Camo Tank,105176,1100024,900024,Dual-Turreted Heavy Tank,101,24,100,1,24000.0,282607475536905.9,150893799.0,6991905.0,1,1,3,3,1,0.0,104024,54000,10000,6709248000.0,1000,50,1000,0,24,10024,1.0,1,,,,,,0,0,0,1100024,,1.0,,154000.0,0.0,,,0,24,1
10025,Adv. Armored Tank,105176,1100025,900025,Ultra Long-Range Missile Truck,101,25,100,1,34000.0,339128970644287.06,316876978.0,13983810.0,1,1,3,3,1,0.0,104025,55000,10000,14929920000.0,1000,50,1000,0,25,10025,1.0,1,,,,,,0,0,0,1100025,,1.0,,211000.0,0.0,,,0,25,1
10026,Adv. Grizzly Tank,105176,1100026,,,101,26,100,1,48000.0,406954764773144.5,665441654.0,27967619.0,1,1,3,3,1,0.0,104026,56000,10000,25804800000.0,1000,50,1000,0,26,10026,1.0,1,,,,,,0,0,0,1100026,,1.0,,288000.0,0.0,,,0,26,1
10027,Adv. Mobile Cannon,105176,1100027,,,101,27,100,1,67000.0,488345717727773.4,1397427473.0,55935238.0,1,1,3,3,1,0.0,104027,57000,10000,48107520000.0,1000,50,1000,0,27,10027,1.0,1,,,,,,0,0,0,1100027,,1.0,,387000.0,0.0,,,0,27,1
10028,Adv. Beast Tank,105176,1100028,,,101,28,100,1,94000.0,586014861273328.0,2934597693.0,111870476.0,1,1,3,3,1,0.0,104028,58000,10000,88473600000.0,1000,50,1000,0,28,10028,1.0,1,,,,,,0,0,0,1100028,,1.0,,523000.0,0.0,,,0,28,1
10029,Adv. T80 Tank,105176,1100029,,,101,29,100,1,132000.0,703217833527993.5,6162655155.0,223740953.0,1,1,3,3,1,0.0,104029,59000,10000,171417600000.0,1000,50,1000,0,29,10029,1.0,1,,,,,,0,0,0,110047,,1.0,,708000.0,0.0,,,0,29,1
10030,Adv. Tiger Tank,105176,1100030,,,101,30,100,1,180000.0,843861400233592.2,12941575826.0,402653184.0,1,1,3,3,1,0.0,104030,60000,10000,294912000000.0,1000,50,1000,0,30,110030,1.0,1,,,,,,120030,120030,0,1100030,,1.0,,928000.0,0.0,,,0,30,1
10031,Adv. Light Tank,105176,1100021,,,101,31,100,1,250000.0,1012633680280310.6,27177309235.0,805306368.0,1,1,3,3,1,0.0,104031,61000,10000,912384000000.0,1000,50,1000,0,31,110031,1.0,1,,,,,,120031,120031,0,1100021,,1.0,,1240000.0,0.0,,,0,31,1
10032,Adv. Infantry Tank,105176,1100022,,,101,32,100,1,350000.0,1215160416336372.8,57072349394.0,1610612736.0,1,1,3,3,1,0.0,104032,62000,10000,1671168001000.0,1000,50,1000,0,32,110032,1.0,1,,,,,,120032,120032,0,1100022,,1.0,,1667000.0,0.0,,,0,32,1
10033,Adv. Elite Tank,105176,1100023,,,101,33,100,1,490000.0,1458192499603647.2,119851933727.0,3221225472.0,1,1,3,3,1,0.0,104033,63000,10000,3225600000000.0,1000,50,1000,0,33,110033,1.0,1,,,,,,120033,120033,0,1100023,,1.0,,2241000.0,0.0,,,0,33,1
10034,Adv. Camo Tank,105176,1100024,,,101,34,100,1,690000.0,1749830999524376.5,251689060827.0,6442450944.0,1,1,3,3,1,0.0,104034,64000,10000,5529600000000.0,1000,50,1000,0,34,110034,1.0,1,,,,,,120034,120034,0,1100024,,1.0,,3027000.0,0.0,,,0,34,1
10035,Adv. Armored Tank,105176,1100025,,,101,35,100,1,970000.0,2099797199429252.0,528547027737.0,12884901888.0,1,1,3,3,1,0.0,104035,65000,10000,8524800000000.0,1000,50,1000,0,35,110035,1.0,1,,,,,,120035,120035,0,1100025,,1.0,,4079000.0,0.0,,,0,35,1
10036,Adv. Grizzly Tank,105176,1100026,,,101,36,100,1,1360000.0,2519756639315102.0,1109948758248.0,25769803776.0,1,1,3,3,1,0.0,104036,66000,10000,15564799999200.0,1000,50,1000,0,36,110036,1.0,1,,,,,,120036,120036,0,1100026,,1.0,,5477000.0,0.0,,,0,36,1
10037,Adv. Mobile Cannon,105176,1100027,,,101,37,100,1,1900000.0,3023707967178122.5,2330892392321.0,51539607552.0,1,1,3,3,1,0.0,104037,67000,10000,29952000000000.0,1000,50,1000,0,37,110037,1.0,1,,,,,,120037,120037,0,1100027,,1.0,,7322000.0,0.0,,,0,37,1
10038,Adv. Beast Tank,105176,1100028,,,101,38,100,1,2700000.0,3628449560613747.0,4894874023874.0,103079215104.0,1,1,3,3,1,0.0,104038,68000,10000,51199999999200.0,1000,50,1000,0,38,110038,1.0,1,,,,,,120038,120038,0,1100028,,1.0,,9947000.0,0.0,,,0,38,1
10039,Adv. T80 Tank,105176,1100029,,,101,39,100,1,3800000.0,4354139472736496.0,10279235450135.0,206158430208.0,1,1,3,3,1,0.0,104039,69000,10000,94464000000000.0,1000,50,1000,0,39,110039,1.0,1,,,,,,120039,120039,0,110047,,1.0,,13370000.0,0.0,,,0,39,1
10040,Adv. Tiger Tank,105176,1100030,,,101,40,100,1,5300000.0,5224967367283796.0,21586394445284.0,412316860416.0,1,1,3,3,1,0.0,104040,70000,10000,147456000000000.0,1000,50,1000,0,40,110040,1.0,1,,,,,,120040,120040,0,1100030,,2.0,,17790000.0,1.0,,,3,40,1
10041,Adv. Light Tank,105176,1100021,,,101,41,100,1,6200000.0,6269960840740554.0,45331428335096.0,824633720832.0,1,1,3,3,1,0.0,104041,71000,10000,424594285714300.0,1000,50,1000,0,41,110041,1.0,1,,,,,,120041,120041,0,1100021,,2.0,,19840000.0,1.0,,,3,41,1
10042,Adv. Infantry Tank,105176,1100022,,,101,42,100,1,7300000.0,7523953008888664.0,95195999503702.0,1649267441664.0,1,1,3,3,1,0.0,104042,72000,10000,724114285714300.0,1000,50,1000,0,42,110042,1.0,1,,,,,,120042,120042,0,1100022,,2.0,,22240000.0,1.0,,,3,42,1
10043,Adv. Elite Tank,105176,1100023,,,101,43,100,1,8500000.0,9028743610666396.0,199911598957774.0,3298534883328.0,1,1,3,3,1,0.0,104043,73000,10000,1333028571428600.0,1000,50,1000,0,43,110043,1.0,1,,,,,,120043,120043,0,1100023,,2.0,,24630000.0,1.0,,,3,43,1
10044,Adv. Camo Tank,105176,1100024,,,101,44,100,1,9900000.0,1.0834492332799676e+16,419814357811325.0,6597069766656.0,1,1,3,3,1,0.0,104044,74000,10000,2422491428571400.0,1000,50,1000,0,44,110044,1.0,1,,,,,,120044,120044,0,1100024,,2.0,,27260000.0,1.0,,,3,44,1
10045,Adv. Armored Tank,105176,1100025,,,101,45,100,1,11600000.0,1.300139079935961e+16,881610151403782.0,13194139533312.0,1,1,3,3,1,0.0,104045,75000,10000,5414400000000000.0,1000,50,1000,0,45,110045,1.0,1,,,,,,120045,120045,0,1100025,,2.0,,30310000.0,1.0,,,3,45,1
10046,Adv. Grizzly Tank,105176,1100026,,,101,46,100,1,14000000.0,1.5601668959231532e+16,1851381317947940.0,26388279066624.0,1,1,3,3,1,0.0,104046,76000,10000,1.3824e+16,1000,50,1000,0,46,110046,1.0,1,,,,,,120046,120046,0,1100026,,2.0,,34660000.0,1.0,,,3,46,1
10047,Adv. Mobile Cannon,105176,1100027,,,101,47,100,1,16000000.0,1.8722002751077836e+16,3887900767690670.0,52776558133248.0,1,1,3,3,1,0.0,104047,77000,10000,2.54016e+16,1000,50,1000,0,47,110047,1.0,1,,,,,,120047,120047,0,1100027,,2.0,,37500000.0,1.0,,,3,47,1
10048,Adv. Beast Tank,105176,1100028,,,101,48,100,1,19000000.0,2.24664033012934e+16,8164591612150410.0,105553116266496.0,1,1,3,3,1,0.0,104048,78000,10000,4.608e+16,1000,50,1000,0,48,110048,1.0,1,,,,,,120048,120048,0,1100028,,2.0,,42090000.0,1.0,,,3,48,1
10049,Adv. T80 Tank,105176,1100029,,,101,49,100,1,22000000.0,2.695968396155208e+16,1.71456423855159e+16,211106232532992.0,1,1,3,3,1,0.0,104049,79000,10000,8.8128e+16,1000,50,1000,0,49,110049,1.0,1,,,,,,120049,120049,0,110047,,2.0,,46010000.0,1.0,,,3,49,1
10050,Adv. Tiger Tank,105176,1100030,,,101,50,100,1,26000000.0,3.2351620753862496e+16,3.60058490095834e+16,422212465065984.0,1,1,3,3,1,0.0,104050,80000,10000,1.59744e+17,1000,50,1000,0,50,110050,1.0,1,,,,,,120050,120050,0,1100030,,2.0,,51260000.0,1.0,,,6,50,1
