id,type,army_type,quality,name,desc,need_material,need_drawing,need_resource,equip_skill_buff,equip_buff,buff_value,equip_buff_show,buff_value_show,tear_consume,set_combination,icon,sort,power
int,int,int,int,string,string,string,int,string,string,string,string,string,string,string,int,string,int,int
910001,1,101,1,Cannon,equip_desc_910001,730001|20,740001|20,770001|30,701001,1|319966640000000000000000,,930101|930001,1200|200,930101|930001,1200|200,1|63993328000000000000000,0,image/equip/equip_910001.png,103,35000
910002,2,101,1,Homogeneous Armor,equip_desc_910002,730001|20,740001|30,790001|20,701002,1|319966640000000000000000,,930001,1400,930001,1400,1|63993328000000000000000,0,image/equip/equip_910002.png,103,35000
910003,3,101,1,Internal combustion engine,equip_desc_910003,730001|10,760001|20,780001|40,701003,1|319966640000000000000000,,930101|930001,400|1000,930101|930001,400|1000,1|63993328000000000000000,0,image/equip/equip_910003.png,103,35000
910004,4,101,1,Double-pin Track,equip_desc_910004,750001|20,760001|30,770001|20,701004,1|319966640000000000000000,,930101|930001,700|600,930101|930001,700|600,1|63993328000000000000000,0,image/equip/equip_910004.png,103,35000
910005,4,101,2,Inspection Hatch,equip_desc_910005,730002|20,740002|30,790002|20,701005,1|9050599204000000000000000,,930101|930001,1500|1200,930101|930001,1500|1200,1|1810119841000000000000000,0,image/equip/equip_910005_1.png,203,70000
910006,1,101,3,Smoothbore,equip_desc_910006,730003|20,740003|20,770003|30,701006,1|636729190293000000000000000,,930101|930001|930201,5000|800|1500,930101|930001|930201,5000|800|1500,1|127345838059000000000000000,0,image/equip/equip_910006.png,303,150000
910007,5,0,3,Fire Control Chip,equip_desc_910007,750003|30,780003|10,790003|30,701007,1|636729190293000000000000000,,930101|930102|930103|930001|930002|930003|930201|930202|930203,1800|1800|1800|3500|3500|3500|1500|1500|1500,1010501|1010502|1010503,1800|3500|1500,1|127345838059000000000000000,0,image/equip/equip_910007.png,301,150000
910008,2,101,4,Reactive Armor,equip_desc_910008,730004|20,740004|30,790004|20,701008,1|568382993231472000000000000000,,930001|1010001,11000|1800,930001|1010001,11000|1800,1|113676598646294000000000000000,0,image/equip/equip_910008_1.png,403,280000
910009,1,201,1,Single Barrel Naval Gun,equip_desc_910009,730001|20,740001|20,770001|30,701009,1|319966640000000000000000,,930102|930002,1200|200,930102|930002,1200|200,1|63993328000000000000000,0,image/equip/equip_910009.png,102,35000
910010,2,201,1,Nickel Alloy Armor,equip_desc_910010,730001|20,740001|30,790001|20,701010,1|319966640000000000000000,,930002,1400,930002,1400,1|63993328000000000000000,0,image/equip/equip_910010.png,102,35000
910011,3,201,1,Steam Engine,equip_desc_910011,730001|10,760001|20,780001|40,701011,1|319966640000000000000000,,930102|930002,400|1000,930102|930002,400|1000,1|63993328000000000000000,0,image/equip/equip_910011.png,102,35000
910012,4,201,1,Mechanical Sonar,equip_desc_910012,750001|20,760001|30,770001|20,701012,1|319966640000000000000000,,930102|930002,700|600,930102|930002,700|600,1|63993328000000000000000,0,image/equip/equip_910012.png,102,35000
910013,1,201,2,Multiple-barrel Firearm,equip_desc_910013,730002|20,740002|20,770002|30,701013,1|9050599204000000000000000,,930102|930002,2500|500,930102|930002,2500|500,1|1810119841000000000000000,0,image/equip/equip_910013.png,202,70000
910014,2,201,2,Underwater Deck Armor,equip_desc_910014,730002|20,740002|30,790002|20,701014,1|9050599204000000000000000,,930002,3000,930002,3000,1|1810119841000000000000000,0,image/equip/equip_910014.png,202,70000
910015,3,201,3,Diesel Engine,equip_desc_910015,730003|10,760003|20,780003|40,701015,1|636729190293000000000000000,,930102|930002|930302,1600|4200|1500,930102|930002|930302,1600|4200|1500,1|127345838059000000000000000,0,image/equip/equip_910015.png,302,150000
910016,5,0,4,High-precision Navigation Chip,equip_desc_910016,750004|30,780004|10,790004|30,701016,1|568382993231472000000000000000,,930101|930102|930103|930001|930002|930003|1010004|1010005|1010006,3200|3200|3200|6400|6400|6400|1700|1700|1700,1010501|1010502|1010506,3200|6400|1700,1|113676598646294000000000000000,0,image/equip/equip_910016.png,401,280000
910017,1,301,1,Aircraft Gun,equip_desc_910017,730001|20,740001|20,770001|30,701017,1|319966640000000000000000,,930103|930003,1200|200,930103|930003,1200|200,1|63993328000000000000000,0,image/equip/equip_910017.png,101,35000
910018,2,301,1,Wooden Body,equip_desc_910018,730001|20,740001|30,790001|20,701018,1|319966640000000000000000,,930003,1400,930003,1400,1|63993328000000000000000,0,image/equip/equip_910018.png,101,35000
910019,3,301,1,Piston Engine,equip_desc_910019,730001|10,760001|20,780001|40,701019,1|319966640000000000000000,,930103|930003,400|1000,930103|930003,400|1000,1|63993328000000000000000,0,image/equip/equip_910019.png,101,35000
910020,4,301,1,Metric Wave Radar,equip_desc_910020,750001|20,760001|30,770001|20,701020,1|319966640000000000000000,,930103|930003,700|600,930103|930003,700|600,1|63993328000000000000000,0,image/equip/equip_910020.png,101,35000
910021,2,301,2,Aluminum Alloy Body,equip_desc_910021,730002|20,740002|30,790002|20,701021,1|9050599204000000000000000,,930003,3000,930003,3000,1|1810119841000000000000000,0,image/equip/equip_910021.png,201,70000
910022,1,301,3,Air-to-air Missile,equip_desc_910022,730003|20,740003|20,770003|30,701022,1|636729190293000000000000000,,930103|930003|930203,5000|800|1500,930103|930003|930203,5000|800|1500,1|127345838059000000000000000,0,image/equip/equip_910022.png,301,150000
910023,5,0,3,Telex System Chip,equip_desc_910023,750003|30,780003|10,790003|30,701023,1|636729190293000000000000000,,930101|930102|930103|930001|930002|930003|980501|980502|980503,1800|1800|1800|3500|3500|3500|1500|1500|1500,1010501|1010502|1010505,1800|3500|1500,1|127345838059000000000000000,0,image/equip/equip_910023.png,301,150000
910024,3,301,4,Scramjet,equip_desc_910024,730004|10,760004|20,780004|40,701024,1|568382993231472000000000000000,,930103|930003|930303,3000|8000|2800,930103|930003|930303,3000|8000|2800,1|113676598646294000000000000000,0,image/equip/equip_910024_1.png,401,280000
910025,1,101,4,Anti-tank Missile,equip_desc_910025,730004|20,740004|20,770004|30,701025,1|568382993231472000000000000000,,930101|930001|930201,9500|1500|2800,930101|930001|930201,9500|1500|2800,1|113676598646294000000000000000,0,image/equip/equip_910025.png,403,280000
