id,server,platform,fun,to,level
int,int,string,string,int,int
1,652,g123|G123,1,450,10
2,450,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,652,10
3,303,appiosglobal|googleplay|appfb|apphuaweiglobal|g123|G123|esprit,1,310,10
4,310,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,303,10
5,125,appiosglobal|googleplay|appfb|apphuaweiglobal|g123|G123|esprit,1,122,10
6,122,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,125,10
7,235,appiosglobal|googleplay|appfb|apphuaweiglobal|g123|G123|esprit,1,135,10
8,135,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,235,10
9,116,appiosglobal|googleplay|appfb|apphuaweiglobal|g123|G123|esprit,1,450,10
10,73,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,116,10
11,78,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,116,10
12,82,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,116,10
13,111,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,116,10
14,126,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,116,10
15,148,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,116,10
16,154,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,116,10
17,158,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,116,10
18,164,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,116,10
19,172,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,116,10
20,174,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,116,10
21,184,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,116,10
22,188,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,125,10
23,193,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,125,10
24,200,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,125,10
25,205,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,125,10
26,208,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,125,10
27,211,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,125,10
28,216,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,125,10
29,224,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,125,10
30,225,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,125,10
31,233,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,235,10
32,242,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,235,10
33,247,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,235,10
34,249,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,235,10
35,252,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,235,10
36,262,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,235,10
37,271,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,235,10
38,277,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,235,10
39,278,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,235,10
40,283,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,303,10
41,285,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,303,10
42,292,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,303,10
43,293,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,303,10
44,295,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,303,10
45,296,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,303,10
