id,group_id,delay,hit_sound,bullet_sound,shoot_point,bullet_upeffect,bullet_speed,flying_upeffect,bullet_downeffect,flying_downeffect,new_hit_effect,hit_effect,randomPos,hit_time,number_delay,dodge_land,dodge_sea,dodge_air,special,hit_special
int,int,double,string,string,string,string,int,double,string,double,string,string,double,double,double,string,string,string,string,int
1011,101,0.0,,,0,,1,0.4,,0.2,,Effect_shibin_minghzong,0.0,0.45,0.0,,,,,
1021,102,0.0,,,fireNode1,Effect_shibin_bullet,0,0.4,,0.2,,Effect_shibin_minghzong,0.0,0.45,0.0,,,,,
1022,102,0.0,,,fireNode2,Effect_shibin_bullet,0,0.4,,0.2,,Effect_shibin_minghzong,0.0,0.45,0.0,,,,,
1031,103,0.0,,machine_gun_fire_heavy,fireNode1,Effect_shibin_bullet,0,0.4,,0.2,,Effect_shibin_minghzong,0.0,0.45,0.0,,,,,
1032,103,0.5,,machine_gun_fire_heavy,fireNode2,Effect_shibin_bullet,0,0.4,,0.2,,Effect_shibin_minghzong,0.0,0.45,0.0,,,,,
2011,201,0.0,tanke_hit,,0,,1,0.2,,0.2,,Effect_tanke_mingzhong,0.0,0.6,0.0,Effect_dimian_baozha,Effect_shuimian_baozha,Effect_kongzhong_baozha,,
3011,301,0.0,tanke_hit,tank_bullet_20,fireNode,Effect_tanke_daodan_001,1,0.5,Effect_tanke_daodan_001,0.5,,Effect_tanke_mingzhong_xiao,0.0,0.3,0.0,Effect_dimian_baozha,Effect_shuimian_baozha,Effect_kongzhong_baozha,,
3021,302,0.0,tanke_hit,tank_bullet_20,fireNode1,Effect_tanke_daodan_001,1,0.5,Effect_tanke_daodan_001,0.5,,Effect_tanke_mingzhong_xiao,0.0,0.3,0.0,Effect_dimian_baozha,Effect_shuimian_baozha,Effect_kongzhong_baozha,,
3022,302,0.2,tanke_hit,tank_bullet_20,fireNode2,Effect_tanke_daodan_001,1,0.5,Effect_tanke_daodan_001,0.5,,Effect_tanke_mingzhong_xiao,0.0,0.3,0.0,Effect_dimian_baozha,Effect_shuimian_baozha,Effect_kongzhong_baozha,,
3031,303,0.0,tanke_hit,tank_bullet_20,fireNode1,Effect_tanke_daodan_001,1,0.5,Effect_tanke_daodan_001,0.5,,Effect_tanke_mingzhong_xiao,0.0,0.3,0.0,Effect_dimian_baozha,Effect_shuimian_baozha,Effect_kongzhong_baozha,,
3032,303,0.2,tanke_hit,tank_bullet_20,fireNode2,Effect_tanke_daodan_001,1,0.5,Effect_tanke_daodan_001,0.5,,Effect_tanke_mingzhong_xiao,0.0,0.3,0.0,Effect_dimian_baozha,Effect_shuimian_baozha,Effect_kongzhong_baozha,,
3033,303,0.4,tanke_hit,tank_bullet_20,fireNode3,Effect_tanke_daodan_001,1,0.5,Effect_tanke_daodan_001,0.5,,Effect_tanke_mingzhong_xiao,0.0,0.3,0.0,Effect_dimian_baozha,Effect_shuimian_baozha,Effect_kongzhong_baozha,,
10111,1011,0.0,bubing_hit,,0,,1,0.5,,0.5,,Effect_shibin_hit,0.0,1.0,0.0,,,,,
10121,1012,0.0,,machine_gun_fire_heavy,fireNode2,Effect_shibin_bullet,0,0.4,,0.2,,Effect_shibin_minghzong,0.0,0.3,0.0,,,,,
10131,1013,0.0,tanke_hit,tank_bullet_20,fireNode3,Effect_tanke_daodan_001,1,0.5,Effect_tanke_daodan_001,0.5,,Effect_tanke_mingzhong_xiao,0.0,0.6,0.0,Effect_dimian_baozha,Effect_shuimian_baozha,Effect_kongzhong_baozha,,
10411,1041,0.0,,,fireNode,Effect_jiguangbing_kaihuo,0,0.7,,0.1,,Effect_jiguangbing_mingzhong,0.0,0.4,0.0,,,,,
10421,1042,0.0,,tank_bullet_20,,,,1.5,,,,Effect_tanke_mingzhong,,,,Effect_dimian_baozha,Effect_shuimian_baozha,Effect_kongzhong_baozha,Effect_skill_dahongzha_01,
90001,1101,0.0,tanke_hit,machine_gun_fire_heavy,fireNode1,Effect_shibin_bullet,0,0.2,,0.2,,Effect_shibin_minghzong,0.0,,0.0,Effect_dimian_baozha,Effect_shuimian_baozha,Effect_kongzhong_baozha,,
90002,1201,0.0,tanke_hit,machine_gun_fire_heavy,fireNode2,Effect_shibin_bullet,0,0.2,,0.2,,Effect_tanke_mingzhong_xiao,0.0,0.4,0.0,Effect_dimian_baozha,Effect_shuimian_baozha,Effect_kongzhong_baozha,,
90003,1301,0.0,tanke_hit,tank_bullet_20,fireNode3,Effect_tanke_daodan_001,1,0.2,Effect_tanke_daodan_001,0.2,,Effect_tanke_mingzhong_xiao,0.0,0.4,0.0,Effect_dimian_baozha,Effect_shuimian_baozha,Effect_kongzhong_baozha,,
90004,1401,0.0,tanke_hit,tank_bullet_20,fireNode4,Effect_tanke_daodan_001,1,0.2,Effect_tanke_daodan_001,0.2,,Effect_tanke_mingzhong_xiao,0.0,0.4,0.0,Effect_dimian_baozha,Effect_shuimian_baozha,Effect_kongzhong_baozha,,
90005,90005,0.0,,machine_gun_fire_heavy,fireNode1,Effect_7yueskill02,1,0.5,Effect_7yueskill02,0.5,,Effect_shibin_minghzong,0.0,0.45,0.0,Effect_dimian_baozha,Effect_shuimian_baozha,Effect_kongzhong_baozha,,
90006,90006,0.0,,tank_bullet_20,fireNode1,B_20201109_paopao_mingzhong,0,0.5,B_20201109_paopao,1.5,,B_20201109_paopao_baodian,0.0,0.45,0.0,0,0,0,,
22011,2011,0.0,tanke_hit,,0,,0,0.7,,1.0,,B_20201215_tanke1_hit,0.0,0.45,0.0,,,,,
22012,2012,0.0,tanke_hit,,fireNode1,,0,0.5,,1.5,,B_20201215_tanke2_hit,0.0,0.45,0.0,,,,,
22013,2013,0.0,army_l_thor1_hit,,fireNode1,,1,0.5,B_20210127_lu_daodan,0.3,,B_20210127_lu_shouji,0.0,0.45,0.0,B_20210127_lu_shouji,B_20210127_lu_shouji,B_20210127_lu_shouji,,
22014,2014,0.0,army_l_thor2_hit,,fireNode1,,1,0.5,B_20210218_L_dandao,0.4,,B_20210218_L_baodian,0.0,0.45,0.0,B_20210220_lu_shouji,B_20210220_lu_shouji,B_20210220_lu_shouji,,
22015,2015,0.0,army_l_thor2_hit,,fireNode1,,1,0.5,B_20210220_L_dandao,0.2,,B_20210220_L_baodian,0.0,0.45,0.0,B_20210220_L_baodian,B_20210220_L_baodian,B_20210220_L_baodian,,
22021,2021,0.0,,,fireNode2,,0,1.0,,1.0,E_LS_chuan1_hit,,0.0,0.45,0.0,,,,,
22022,2022,0.0,,machine_gun_fire_heavy,fireNode1,,0,1.0,,1.0,E_LS_chuan2_hit,E_LS_chuan2_hit,0.0,0.45,0.0,,,,,
22023,2023,0.0,army_h_thor1_hit,machine_gun_fire_heavy,fireNode1,,1,0.2,B_20210127_H_daodan,0.6,,B_20210127_H_shouji,0.0,0.45,0.0,B_20210127_H_shouji,B_20210127_H_shouji,B_20210127_H_shouji,,
22024,2024,0.0,army_h_thor2_hit,machine_gun_fire_heavy,fireNode1,,0,1.0,B_20210218_H_dandao,0.3,,B_20210218_H_baodian,0.0,0.45,0.0,B_20210218_H_baodian,B_20210218_H_baodian,B_20210218_H_baodian,,
22025,2025,0.0,army_h_thor2_hit,machine_gun_fire_heavy,fireNode1,,0,0.4,B_20210220_H_zaidan,0.6,,B_20210220_H_baodian,0.0,0.45,0.0,B_20210220_H_baodian,B_20210220_H_baodian,B_20210220_H_baodian,,
22031,2031,0.5,,machine_gun_fire_heavy,fireNode2,,0,0.7,,1.5,,E_LS_feiji1_hit,0.0,0.45,0.0,,,,,
22032,2032,0.0,tanke_hit,,0,,0,0.5,,1.5,,E_LS_feiji2_hit,0.0,0.6,0.0,Effect_dimian_baozha,Effect_shuimian_baozha,Effect_kongzhong_baozha,,
22033,2033,0.0,,,0,,0,0.6,B_20210126_k_shouji|B_20210126_k_shouji02,0.7,,,0.0,0.0,0.0,,,,,
22034,2034,0.0,army_k_thor1_hit,,fireNode2,,0,0.5,B_20210218_k_dandao,0.5,,B_20210218_k_baodian,0.0,0.6,0.0,B_20210218_k_baodian,B_20210218_k_baodian,B_20210218_k_baodian,,
22035,2035,0.0,army_l_thor2_hit,,0,,1,0.4,B_20210220_K_zidan,0.3,,B_20210220_K_baodian,0.0,0.0,0.0,B_20210220_K_baodian,B_20210220_K_baodian,B_20210220_K_baodian,,
1011021,1011021,0.0,ele-baozha-mingzhong,,0,,0,0.2,B_20210225_yuansu_01zidan,0.73,,B_20210225_yuansu_C,0.0,0.6,0.0,B_20210225_yuansu_C,B_20210225_yuansu_C,B_20210225_yuansu_C,,
1011022,1011022,0.0,tanke_hit,,0,,0,0.2,B_20210225_yuansu_02zidan,0.53,,B_20210225_yuansu_C04,0.0,0.6,0.0,B_20210225_yuansu_C04,B_20210225_yuansu_C04,B_20210225_yuansu_C04,,
1011023,1011023,0.0,ele-dianci-mingzhong,,0,,1,0.2,B_20210225_yuansu_03zidan,0.7,,B_20210225_yuansu_L,0.0,0.6,0.0,B_20210225_yuansu_L,B_20210225_yuansu_L,B_20210225_yuansu_L,,
1012011,1012011,0.0,ele-haijun-baozha-shouji,,0,,0,0.2,B_20210225_yuansu_06zidan,0.8,,B_20210225_yuansu_H02,0.0,0.6,0.0,B_20210225_yuansu_06zidan,B_20210225_yuansu_06zidan,B_20210225_yuansu_06zidan,,
1012012,1012012,0.0,tanke_hit,,0,,0,0.2,B_20210225_yuansu_07zidan,0.4,,B_20210225_yuansu_C03,0.0,0.6,0.0,B_20210225_yuansu_C03,B_20210225_yuansu_C03,B_20210225_yuansu_C03,,
1012013,1012013,0.0,ele-dianci-mingzhong,,0,,0,0.2,B_20210225_yuansu_08zidan,0.6,,B_20210225_yuansu_Z02,0.0,0.6,0.0,B_20210225_yuansu_Z02,B_20210225_yuansu_Z02,B_20210225_yuansu_Z02,,
1013011,1013011,0.0,ele-baozha-mingzhong,,0,,0,0.5,B_20210225_yuansu_09zidan,0.8,,B_20210225_yuansu_C02,0.0,0.6,0.0,B_20210225_yuansu_C02,B_20210225_yuansu_C02,B_20210225_yuansu_C02,,
1013012,1013012,0.0,tanke_hit,,0,,1,0.5,B_20210225_yuansu_04zidan,0.6,,B_20210225_yuansu_H,0.0,0.6,0.0,B_20210225_yuansu_H,B_20210225_yuansu_H,B_20210225_yuansu_H,,
1013013,1013013,0.0,ele-dianci-mingzhong,,0,,0,0.5,B_20210225_yuansu_05zidan,0.55,,B_20210225_yuansu_Z02,0.0,0.6,0.0,B_20210225_yuansu_Z02,B_20210225_yuansu_Z02,B_20210225_yuansu_Z02,,
2036,2036,0.0,tanke_hit,,,,1,0.5,E_2021_5yue_skill_hit_daodan,0.4,,E_2021_5yue_skill_hit_down,0.0,0.45,0.0,B_20210220_lu_shouji,B_20210220_lu_shouji,B_20210220_lu_shouji,,
2037,2037,0.0,tanke_hit,,,,1,0.5,,,,B_20210608_shandian,0.0,0.45,0.0,B_20210220_lu_shouji,B_20210220_lu_shouji,B_20210220_lu_shouji,,1
2038,2038,0.0,,,,,1,,B_20210323_zidan,0.4,,B_20210323_H_mingzhong,,0.45,,B_20210323_H_mingzhong,B_20210323_H_mingzhong,B_20210323_H_mingzhong,,
2039,2039,0.0,,,,,1,,B_20210323_zidan,0.4,,B_20210323_L_mingzhong,,0.45,,B_20210323_L_mingzhong,B_20210323_L_mingzhong,B_20210323_L_mingzhong,,
2041,2041,0.0,tanke_hit,,,B_20210712_jineng_dandao,1,0.6,B_20210712_jineng_dandao,0.6,,B_20210712_jineng_baodian,0.0,0.45,0.0,B_20210712_jineng_baodian,B_20210712_jineng_baodian,B_20210712_jineng_baodian,,
2042,2042,0.0,tanke_hit,,,,0,0.73,B_20210715_Q_dandao,0.73,,B_20210715_Q_baodian,0.0,0.4,0.0,B_20210220_lu_shouji,B_20210220_lu_shouji,B_20210220_lu_shouji,,
2044,2044,0.0,tanke_hit,,,,0,0.4,B_20210715_D_dandao,0.4,,B_20210715_D_baodian,0.0,0.4,0.0,B_20210220_lu_shouji,B_20210220_lu_shouji,B_20210220_lu_shouji,,
2040,2040,0.0,,,fireNode,,0,0.5,,,,,,,,,,,,
4010,4010,0.0,tanke_hit,,,,1,1.0,B_20210726_juneng_dandao,0.5,,B_20210809_baodian,0.0,0.5,,B_20210809_baodian,B_20210809_baodian,B_20210809_baodian,,
4011,4011,0.0,tanke_hit,,,,1,1.0,B_20210720_kaqiusha_zidan,0.5,,B_20210809_baodian,0.0,0.5,,B_20210809_baodian,B_20210809_baodian,B_20210809_baodian,,
10000001,10000001,0.0,tanke_hit,tank_bullet_20,0,,1,,B_20211009_H_dandao,0.5,,B_20211009_H_baodian,0.0,0.5,,B_20211009_H_baodian,B_20211009_H_baodian,B_20211009_H_baodian,,
10000002,10000002,0.0,tanke_hit,tank_bullet_20,0,,1,,B_20211009_W_dandao,0.5,,B_20211009_W_baodian,0.0,0.5,,B_20211009_W_baodian,B_20211009_W_baodian,B_20211009_W_baodian,,
10000003,10000003,0.0,tanke_hit,tank_bullet_20,0,,1,,B_20211009_L_daodan,0.5,,B_20211009_L_baodian,0.0,0.5,,B_20211009_L_baodian,B_20211009_L_baodian,B_20211009_L_baodian,,
4012,4012,0.0,tanke_hit,tank_bullet_20,0,,1,1.0,,,,B_20211025_paodian_mingzhong,0.0,1.0,,B_20211025_paodian_mingzhong,B_20211025_paodian_mingzhong,B_20211025_paodian_mingzhong,,
