id,name,desc,build_type,build_level,height,width,prefab,building_image,ligeance_height,ligeance_width,force_capacity,coordinate,effect,value,effect_icon,alliance_relocate_first,alliance_relocate_second,alliance_relocate_time,alliance_relocate,enemy,first_occupied_alliance,first_occupied_personal,socre_alliance,socre_personal,first_condition,last_time,build_prefab,offset,little_map,thumbnail_pos,pointType
int,string,string,int,int,int,int,string,string,int,int,int,string,string,string,string,int,int,int,int,int,int,int,int,int,int,int,string,string,string,string,int
1001101,Fortress,A basic facility and the last defense in the war zone. Taking it over will gain you Alliance and Individual points. Points awarded: low.,1,1,2,2,,image/EightCountry/military_base,0,0,2000,42,211,,,,,,,,70102,120,30,50,20,180,120,,,icon_CABWorldMinimap4,,60
1001102,Fortress,A basic facility and the last defense in the war zone. Taking it over will gain you Alliance and Individual points. Points awarded: low.,1,1,2,2,,image/EightCountry/military_base,0,0,2000,84,211,,,,,,,,70102,120,30,50,20,180,120,,,icon_CABWorldMinimap4,,60
1001103,Fortress,A basic facility and the last defense in the war zone. Taking it over will gain you Alliance and Individual points. Points awarded: low.,1,1,2,2,,image/EightCountry/military_base,0,0,2000,64,197,,,,,,,,70102,120,30,50,20,180,120,,,icon_CABWorldMinimap4,,60
1001201,Fortress,A basic facility and the last defense in the war zone. Taking it over will gain you Alliance and Individual points. Points awarded: low.,1,1,2,2,,image/EightCountry/military_base,0,0,2000,42,45,,,,,,,,70102,120,30,50,20,180,120,,,icon_CABWorldMinimap4,,60
1001202,Fortress,A basic facility and the last defense in the war zone. Taking it over will gain you Alliance and Individual points. Points awarded: low.,1,1,2,2,,image/EightCountry/military_base,0,0,2000,84,45,,,,,,,,70102,120,30,50,20,180,120,,,icon_CABWorldMinimap4,,60
1001203,Fortress,A basic facility and the last defense in the war zone. Taking it over will gain you Alliance and Individual points. Points awarded: low.,1,1,2,2,,image/EightCountry/military_base,0,0,2000,64,59,,,,,,,,70102,120,30,50,20,180,120,,,icon_CABWorldMinimap4,,60
1002101,Transfer Station,An area you can teleport to, and it's next to the Frontline. Take it over and hold it to be able to teleport to this area and gain teleport opportunities. You may also gain Alliance and Individual points,2,1,2,2,,image/EightCountry/T_hongbaolei,10,10,2000,26,170,,,,5,2,180,1,70102,150,50,50,20,180,120,,,icon_CABWorldMinimap1,,61
1002102,Transfer Station,An area you can teleport to, and it's next to the Frontline. Take it over and hold it to be able to teleport to this area and gain teleport opportunities. You may also gain Alliance and Individual points,2,1,2,2,,image/EightCountry/T_hongbaolei,10,10,2000,102,170,,,,5,2,180,1,70102,150,50,50,20,180,120,,,icon_CABWorldMinimap1,,61
1002201,Transfer Station,An area you can teleport to, and it's next to the Frontline. Take it over and hold it to be able to teleport to this area and gain teleport opportunities. You may also gain Alliance and Individual points,2,1,2,2,,image/EightCountry/T_hongbaolei,10,10,2000,26,87,,,,5,2,180,1,70102,150,50,50,20,180,120,,,icon_CABWorldMinimap1,,61
1002202,Transfer Station,An area you can teleport to, and it's next to the Frontline. Take it over and hold it to be able to teleport to this area and gain teleport opportunities. You may also gain Alliance and Individual points,2,1,2,2,,image/EightCountry/T_hongbaolei,10,10,2000,102,87,,,,5,2,180,1,70102,150,50,50,20,180,120,,,icon_CABWorldMinimap1,,61
1003101,Frontline Base,The most important facility on the front line. Take it over and hold it till the timer hits 0 to gain Alliance and Individual points. Points awarded: high.,3,1,2,2,,image/EightCountry/throne_tower_model,0,0,2000,44,136,,,,,,,,70102,300,100,100,40,360,120,,,icon_CABWorldMinimap5,,62
1003102,Frontline Base,The most important facility on the front line. Take it over and hold it till the timer hits 0 to gain Alliance and Individual points. Points awarded: high.,3,1,2,2,,image/EightCountry/throne_tower_model,0,0,2000,114,136,,,,,,,,70102,300,100,100,40,360,120,,,icon_CABWorldMinimap5,,62
1003201,Frontline Base,The most important facility on the front line. Take it over and hold it till the timer hits 0 to gain Alliance and Individual points. Points awarded: high.,3,1,2,2,,image/EightCountry/throne_tower_model,0,0,2000,12,121,,,,,,,,70102,300,100,100,40,360,120,,,icon_CABWorldMinimap5,,62
1003202,Frontline Base,The most important facility on the front line. Take it over and hold it till the timer hits 0 to gain Alliance and Individual points. Points awarded: high.,3,1,2,2,,image/EightCountry/throne_tower_model,0,0,2000,84,121,,,,,,,,70102,300,100,100,40,360,120,,,icon_CABWorldMinimap5,,62
1004101,Empire Tech Center,The Tech Center - Take it over and hold it till the timer hits 0 to gain Alliance and Individual points. It will also gain the Participants attribute bonus.,4,1,2,2,,image/EightCountry/jianzhu1,0,0,2000,12,148,1131001,2000,,,,,,70102,150,60,50,20,360,120,,,icon_CABWorldMinimap2,,63
1004102,Empire Military Center,The Military Center - Take it over and hold it till the timer hits 0 to gain Alliance and Individual points. It will also gain the Participants attribute bonus.,4,1,2,2,,image/EightCountry/jianzhu2,0,0,2000,84,148,910300,2000,,,,,,70102,150,60,50,20,360,120,,,icon_CABWorldMinimap3,,63
1004201,Empire Military Center,The Military Center - Take it over and hold it till the timer hits 0 to gain Alliance and Individual points. It will also gain the Participants attribute bonus.,4,1,2,2,,image/EightCountry/jianzhu2,0,0,2000,44,108,910300,2000,,,,,,70102,150,60,50,20,360,120,,,icon_CABWorldMinimap3,,63
1004202,Empire Tech Center,The Tech Center - Take it over and hold it till the timer hits 0 to gain Alliance and Individual points. It will also gain the Participants attribute bonus.,4,1,2,2,,image/EightCountry/jianzhu1,0,0,2000,114,108,1131001,2000,,,,,,70102,150,60,50,20,360,120,,,icon_CABWorldMinimap2,,63
