id,order,item_id,price_shop,buy_limit,is_open,cost_reson,switch,need_player_level
int,int,int,int,int,int,string,string,int
90301,1,920002,20,50,0,,,80
90302,2,910002,20,50,0,,,80
90303,3,1700011,50,3,0,,,80
90304,4,1700030,50,3,0,,,80
90305,5,1600025,200,1,0,,,80
90306,6,1600026,200,1,0,,,80
90307,7,1700012,140,2,0,,,80
90308,8,1700031,140,2,0,,,80
90321,11,2200042,300,5,0,,,80
90309,9,1600025,200,1,0,,,80
90310,10,1600026,200,1,0,,,80
90311,12,1700013,420,1,0,,,80
90312,13,1700032,420,1,0,,,80
90313,14,1600025,200,1,0,,,80
90314,15,1600026,200,1,0,,,80
90315,16,2100005,5000,1,0,,,80
90316,17,920003,1500,10,0,,,80
90317,18,910003,1500,10,0,,,80
90318,19,1600029,200,2,0,,,80
90319,20,2560002,12000,1,0,,,80
90320,21,1600028,500,2,0,,trap_potion_switch,80
90322,22,940001,500,1,0,,glorious_army,80
