id,form,gridNum,type,shop_id,num,price,probability,be_out,display
int,int,int,int,int,int,int,int,int,string
1,1,1,1,9200121,1,,100,,DEAL
2,1,1,1,9200122,1,,50,,DEAL
3,1,1,1,9200123,1,,50,,DEAL
4,1,1,1,9200124,1,,100,,DEAL
5,1,2,1,9200125,1,,200,,OFFER
6,1,2,1,9200126,1,,300,,OFFER
7,1,2,1,9200127,1,,200,,OFFER
8,1,2,1,9200128,1,,20,,OFFER
9,1,3,1,9200129,1,,200,,
10,1,3,1,9200130,1,,300,,
11,1,3,1,9200131,1,,100,,
36,1,3,1,92001311,1,,200,,
12,1,4,2,9200132,1,200,100,,DEAL
13,1,4,2,9200133,1,500,100,,DEAL
14,1,4,2,9200134,1,200,100,,DEAL
15,1,4,2,9200135,1,400,100,,DEAL
16,1,5,2,9200136,1,80,100,,OFFER
17,1,5,2,9200137,1,160,100,,OFFER
18,1,5,2,9200138,1,160,100,,OFFER
19,1,5,2,9200139,1,320,100,,OFFER
20,1,6,2,9200140,1,50,100,,
21,1,6,2,9200141,1,100,100,,
22,1,6,2,9200142,1,100,100,,
23,1,6,2,9200143,1,120,100,,
24,1,7,2,9200144,1,1000,100,,
25,1,7,2,9200145,1,2000,100,,
26,1,7,2,9200146,1,1000,100,,
27,1,7,2,92001471,1,2000,100,,
28,1,8,2,92001482,1,700,100,,
29,1,8,2,92001493,1,1800,100,,
30,1,8,2,9200150,1,1200,100,,
31,1,8,2,9200151,1,2400,100,,
32,1,9,2,9200152,1,200,100,,
33,1,9,2,9200153,1,400,100,,
34,1,9,2,9200154,1,250,100,,
35,1,9,2,9200155,1,480,100,,
