id,form,locak_time,name,reward,target,act_id,act_tips,reward_preview
int,int,int,string,int,string,string,string,int
1,10,0,Basic Training {0}/{1},9200243,12382|12383|12384|12385|12386,,,
2,10,0,Physical Training {0}/{1},9200244,12387|12388|12389|12390|12391,,,9200244
3,10,0,Combat Training {0}/{1},9200245,12392|12393|12394|12395|12396,,,9200245
4,10,24,Firearms Training {0}/{1},9200246,12397|12398|12399|12400|12401,920016,Complete this Exercise to unlock the "Camp Upgrade" feature,9200246
5,10,24,Vehicle Training {0}/{1},9200247,12402|12403|12404|12405|12406,,,9200247
6,10,48,Tactical Exercises {0}/{1},9200248,12407|12408|12409|12410|12411,,,9200248
7,10,72,Comprehensive Exercises {0}/{1},9200249,12412|12413|12414|12415|12416,,,9200249
8,10,96,Practical Exercises {0}/{1},9200250,12417|12418|12419|12420|12421,,,9200250
9,10,120,Wilderness Survival {0}/{1},9200251,12422|12423|12424|12425|12426,,,9200251
10,10,144,Exit Exam {0}/{1},9200252,12427|12428|12429|12430|12431,,,9200252
