id,chapter_name,chapter_desc,chapter_type,reward,stage,treasure_unlock,item_display,is_guide,guide_para,fragments_itemid,fragments_building_progress
int,string,string,int,int,int,string,int,int,int,string,string
1,Forefront,The Dark Legion is raging. Freedom League has requested you command the Island Campaign: free up some space on the beach side and build a Frontline Base. Let's keep the flag flying high!,1,9500501,,,,0,0,,
2,Regain the Lost Base,Whew. The Dark Legion is gone for now. Let's take back our Base and get ready to rebuild it! We've got to rescue the engineer!,1,9500502,,,,0,0,,
3,Upgrade the Equips,The frontline report says the Dark Legion's armored forces were overwhelming. We could not send more armies in such a short time. We need to improve the power of the troops there.,1,9500503,,,,0,0,,
4,The Power of Science,The base looks as good as new! Everything is going well so far. We need to put our focus on developing techs. Rumor has it that the Dark Legion studied from an alien civilization. Whether it is true or not; science is our most powerful weapon!,1,9500504,,,,0,0,,
5,Stronger Troops,Under your command; we had a major breakthrough in science and technology: forces are fully mechanized! We may have narrowed the gap with the Dark Legion.,1,9500505,,,,0,0,,
6,Call of Duty,The situation has been stable for days; and our training is highly effective. Expand our territory and eliminate the Dark Legion. This is the goal we need to focus on.,1,9500506,,,,0,0,3310045|3310046|3310063|3310033,80009|80002|80008
7,You Are Not Alone,The evil Dark Legion has always wanted to enslave every person in this world. We could unite those free souls to form an alliance; help each other; and fight together!,1,9500507,,85000|80009,20200730,0,0,3310045|3310046|3310047|3310048|3310062,80009|80008
8,Challenge of Warhammer,The rumors about the Dark Legion's Alien Tech could be true: Warhammer-4K can target the weaknesses of our equips. We need to enhance the components and unite all allies to face the challenge together.,1,9500508,,85001|80008,20200730,0,0,3310061|3310062|3310063|3310064,80008
9,Heroes Assembled,We are not alone. We've got fellows like us fighting against the Dark Legion. Our victory is a great opportunity to recruit heroes to join us.,1,9500509,,,,0,0,3310034,80002
10,Top Secret,This is absurd! The Warhammer has become a tough enemy; we've got to find the Alien Tech by defeating as many Warhammers as possible to analyze their technology.,1,9500510,,,,0,0,3310043|3310033,80002|80007
11,The Remnants,The Dark Legion is still conducting military activities around our base. They are onto something big. Eliminate those remnants and stop them!,1,9500511,,85002|80002,20200730,0,0,3310033|3310034|3310035|3310036,80002
12,Code: Blitz,Great job; commander! You may notice that the base could become very crowded from time to time. Develop techs and merge units to free up space. Let's show them the Blitz spirit!,1,9500512,,,,0,0,3310042,80007
13,Type Effectiveness,The theory proposed by the operations officer is constructive. A strategic plan can greatly improve the performance of all forces. We need to focus on different types of units for a better combat result.,1,9500513,,,,0,0,3310043|3310081,80007|80005
14,Into The Deep,Expansion brings with it risks: we'll be dead soon enough if the Dark Legion attack from the sea. Now you need to set your sights on the vast ocean. The top priority is to build a powerful navy fleet!,1,9500514,,85003|80007,20200730,0,0,3310041|3310042|3310043|3310044|3310082,80007|80005
15,A New Focus,According to the information gathered; Dark Legion's base is located in a remote area. To better cooperate with our allies; please decide which should we focus on; Offense or Defense?,1,9500515,,,,0,0,3310083,80005
16,A Grand Alliance,Over the years of fighting and development; we finally have the strength to protect our people. But the Dark Legion is a real pain in the neck. Uniting in an alliance will help in combating the Tyrant.,1,9500516,,85004|80005,20200730,6401,0,3310081|3310082|3310083|3310084,80005
