id,server,platform,is_open,language,num
int,string,string,int,string,int
1,1201-1500,appiosglobal|googleplay|appfb|apphuaweiglobal,1,zh_cn,1
2,1201-1250,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,1
3,1201-1500,appiosglobal|googleplay|appfb|apphuaweiglobal,1,jp,1
4,1251-1300,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,2
5,1301-1350,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,3
6,1351-1400,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,4
7,1401-1450,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,5
8,1451-1500,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,6
9,1201-1500,appiosglobal|googleplay|appfb|apphuaweiglobal,1,ko,1
10,1201-1500,appiosglobal|googleplay|appfb|apphuaweiglobal,1,ar,1
11,1201-1500,G123|g123,1,ja,1
12,1201-1500,appiosglobal|googleplay|appfb|apphuaweiglobal,1,zh,1
13,1201-1500,appiosglobal|googleplay|appfb|apphuaweiglobal,1,ru,1
14,1201-1500,appiosglobal|googleplay|appfb|apphuaweiglobal,1,de,1
15,1201-1500,appiosglobal|googleplay|appfb|apphuaweiglobal,1,fr,1
16,1201-1500,appiosglobal|googleplay|appfb|apphuaweiglobal,1,es,1
17,1201-1500,appiosglobal|googleplay|appfb|apphuaweiglobal,1,pt,1
18,1201-1500,appiosglobal|googleplay|appfb|apphuaweiglobal,1,it,1
19,1201-1500,appiosglobal|googleplay|appfb|apphuaweiglobal,1,id,1
20,1201-1500,appiosglobal|googleplay|appfb|apphuaweiglobal,1,pl,1
21,1201-1500,appiosglobal|googleplay|appfb|apphuaweiglobal,1,th,1
22,1201-1500,appiosglobal|googleplay|appfb|apphuaweiglobal,1,vi,1
23,1201-1500,appiosglobal|googleplay|appfb|apphuaweiglobal,1,tr,1
24,1-300,appiosglobal|googleplay|appfb|apphuaweiglobal,1,zh_cn,2
25,301-600,appiosglobal|googleplay|appfb|apphuaweiglobal,1,zh_cn,3
26,601-900,appiosglobal|googleplay|appfb|apphuaweiglobal,1,zh_cn,4
27,901-1200,appiosglobal|googleplay|appfb|apphuaweiglobal,1,zh_cn,5
28,1-300,appiosglobal|googleplay|appfb|apphuaweiglobal,1,jp,2
29,301-600,appiosglobal|googleplay|appfb|apphuaweiglobal,1,jp,3
30,601-900,appiosglobal|googleplay|appfb|apphuaweiglobal,1,jp,4
31,901-1200,appiosglobal|googleplay|appfb|apphuaweiglobal,1,jp,5
32,1-300,appiosglobal|googleplay|appfb|apphuaweiglobal,1,ko,2
33,301-600,appiosglobal|googleplay|appfb|apphuaweiglobal,1,ko,3
34,601-900,appiosglobal|googleplay|appfb|apphuaweiglobal,1,ko,4
35,901-1200,appiosglobal|googleplay|appfb|apphuaweiglobal,1,ko,5
36,1-300,appiosglobal|googleplay|appfb|apphuaweiglobal,1,ar,2
37,301-600,appiosglobal|googleplay|appfb|apphuaweiglobal,1,ar,3
38,601-900,appiosglobal|googleplay|appfb|apphuaweiglobal,1,ar,4
39,901-1200,appiosglobal|googleplay|appfb|apphuaweiglobal,1,ar,5
40,1-300,G123|g123,1,ja,2
41,301-600,G123|g123,1,ja,3
42,601-900,G123|g123,1,ja,4
43,901-1200,G123|g123,1,ja,5
44,1-300,appiosglobal|googleplay|appfb|apphuaweiglobal,1,zh,2
45,301-600,appiosglobal|googleplay|appfb|apphuaweiglobal,1,zh,3
46,601-900,appiosglobal|googleplay|appfb|apphuaweiglobal,1,zh,4
47,901-1200,appiosglobal|googleplay|appfb|apphuaweiglobal,1,zh,5
48,1-300,appiosglobal|googleplay|appfb|apphuaweiglobal,1,ru,2
49,301-600,appiosglobal|googleplay|appfb|apphuaweiglobal,1,ru,3
50,601-900,appiosglobal|googleplay|appfb|apphuaweiglobal,1,ru,4
51,901-1200,appiosglobal|googleplay|appfb|apphuaweiglobal,1,ru,5
52,1-300,appiosglobal|googleplay|appfb|apphuaweiglobal,1,de,2
53,301-600,appiosglobal|googleplay|appfb|apphuaweiglobal,1,de,3
54,601-900,appiosglobal|googleplay|appfb|apphuaweiglobal,1,de,4
55,901-1200,appiosglobal|googleplay|appfb|apphuaweiglobal,1,de,5
56,1-300,appiosglobal|googleplay|appfb|apphuaweiglobal,1,fr,2
57,301-600,appiosglobal|googleplay|appfb|apphuaweiglobal,1,fr,3
58,601-900,appiosglobal|googleplay|appfb|apphuaweiglobal,1,fr,4
59,901-1200,appiosglobal|googleplay|appfb|apphuaweiglobal,1,fr,5
60,1-300,appiosglobal|googleplay|appfb|apphuaweiglobal,1,es,2
61,301-600,appiosglobal|googleplay|appfb|apphuaweiglobal,1,es,3
62,601-900,appiosglobal|googleplay|appfb|apphuaweiglobal,1,es,4
63,901-1200,appiosglobal|googleplay|appfb|apphuaweiglobal,1,es,5
64,1-300,appiosglobal|googleplay|appfb|apphuaweiglobal,1,pt,2
65,301-600,appiosglobal|googleplay|appfb|apphuaweiglobal,1,pt,3
66,601-900,appiosglobal|googleplay|appfb|apphuaweiglobal,1,pt,4
67,901-1200,appiosglobal|googleplay|appfb|apphuaweiglobal,1,pt,5
68,1-300,appiosglobal|googleplay|appfb|apphuaweiglobal,1,it,2
69,301-600,appiosglobal|googleplay|appfb|apphuaweiglobal,1,it,3
70,601-900,appiosglobal|googleplay|appfb|apphuaweiglobal,1,it,4
71,901-1200,appiosglobal|googleplay|appfb|apphuaweiglobal,1,it,5
