id,item_id,item_num,times,power,group,guaranteed,index,flash
int,int,int,int,int,int,int,int,int
1,1000011,1,2,30,1,32,2,1
2,2300003,20,3,50,1,20,3,1
3,2800000,10,10,130,1,0,7,0
4,39200159,1,1,20,1,32,1,1
5,2300003,5,5,80,1,4,4,
6,1700015,1,9,190,1,0,8,0
7,3300001,30,10,200,1,0,6,0
8,1700411,1,10,260,1,0,5,0
9,39200159,1,1,20,2,32,1,1
10,2300003,20,4,70,2,20,2,1
11,10000015,1,4,70,2,9,3,
12,2300003,10,5,80,2,0,4,
13,1700180,1,9,130,2,0,8,1
14,1700015,2,9,190,2,0,7,0
15,3300001,50,9,200,2,0,6,0
16,1800001,1000,9,275,2,0,5,0
