id,node,order,enemy_config,enemy_type,enemy_hero,player_number,arm_limit,reward,gift,icon
int,int,int,string,int,string,int,int,int,int,string
1001,0,1,10001,0,,1,0,100201,,icon_island2
1002,0,2,20002;20002,1,,3,0,100201,,icon_island3
1003,0,3,30002;30002;30002,2,,3,0,100201,,icon_island1
1004,0,4,10003,0,,1,0,100201,,icon_island3
1005,0,5,20002;20002,1,,2,0,100202,,icon_island1
1006,0,6,31002,2,103;20;1,2,0,110203,,icon_island2
1007,0,7,30003;30003,2,103;30;1,2,0,100301,,icon_island2
1008,0,8,10004;10003,0,103;40;2,2,0,100302,,icon_island3
1009,0,9,21003,1,103;40;2|105;20;2,2,0,110303,,icon_island1
1010,0,10,10004;10004,0,103;40;2|105;20;2,2,0,100401,,icon_island3
1011,0,11,20005;20004,1,103;40;2|105;20;2,2,0,100402,,icon_island1
1012,0,12,30004;30005;30004,2,103;40;2|105;20;2,3,0,100403,,icon_island2
1013,0,13,10003;10004;10003;11004,0,103;40;2|105;20;2,3,0,110404,,icon_island2
1014,0,14,30005;30006,2,103;40;2|105;20;2,2,0,100501,,icon_island3
1015,0,15,10005;10006,0,103;40;2|105;20;2,2,0,100502,,icon_island1
1016,0,16,10006;10006,0,103;40;2|105;20;2,2,0,100503,,icon_island3
1017,0,17,20005;20005;20005;21005,1,103;40;2|105;20;2,3,0,110504,,icon_island1
1018,0,18,30006;30007,2,103;40;2|105;20;2,2,0,100601,,icon_island2
1019,0,19,10007;10007,0,103;40;2|105;20;2,2,0,100602,,icon_island2
1020,0,20,30006;30006;30007,2,103;40;2|105;20;2,3,0,100603,,icon_island3
1021,0,21,20005;30006;30006,1,103;40;2|105;20;2,3,0,100604,,icon_island1
1022,0,22,30005;30006;30005;31006,2,103;40;2|105;20;2,3,0,110605,,icon_island3
1023,0,23,10007;10007;10008,0,103;40;2|105;20;2,3,0,100701,,icon_island1
1024,0,24,10008;10008;10008,0,103;40;2|105;20;2,3,0,100702,,icon_island2
1025,0,25,30006;30006;30007;31006,2,103;40;2|105;20;2,4,0,110703,,icon_island2
2001,1,1,10001,0,103;40;2|105;20;2,1,101,100201,,icon_island3
2002,1,2,20002;20002,1,103;40;2|105;20;2,3,101,100201,,icon_island1
2003,1,3,30002;30002;30002,2,103;40;2|105;20;2,3,101,100201,,icon_island3
2004,1,4,10003,0,103;40;2|105;20;2,1,101,100201,,icon_island1
2005,1,5,20002;20002,1,103;40;2|105;20;2,2,101,100202,,icon_island2
2006,1,6,31002,2,103;40;2|105;20;2,2,101,110203,,icon_island2
2007,1,7,30003;30003,2,103;40;2|105;20;2,2,101,100301,,icon_island3
2008,1,8,10004;10003,0,103;40;2|105;20;2,2,101,100302,,icon_island1
2009,1,9,21003,1,103;40;2|105;20;2,2,101,110303,,icon_island3
2010,1,10,10004;10004,0,103;40;2|105;20;2,2,101,100401,,icon_island1
2011,1,11,20005;20004,1,103;40;2|105;20;2,2,101,100402,,icon_island2
2012,1,12,30004;30005;30004,2,103;40;2|105;20;2,3,101,100403,,icon_island2
2013,1,13,10003;10004;10003;11004,0,103;40;2|105;20;2,3,101,110404,,icon_island3
2014,1,14,30005;30006,2,103;40;2|105;20;2,2,101,100501,,icon_island1
2015,1,15,10005;10006,0,103;40;2|105;20;2,2,101,100502,,icon_island3
2016,1,16,10006;10006,0,103;40;2|105;20;2,2,101,100503,,icon_island1
2017,1,17,20005;20005;20005;21005,1,103;40;2|105;20;2,3,101,110504,,icon_island2
2018,1,18,30006;30007,2,103;40;2|105;20;2,2,101,100601,,icon_island2
2019,1,19,10007;10007,0,103;40;2|105;20;2,2,101,100602,,icon_island3
2020,1,20,30006;30006;30007,2,103;40;2|105;20;2,3,101,100603,,icon_island1
2021,1,21,20005;30006;30006,1,103;40;2|105;20;2,3,101,100604,,icon_island3
2022,1,22,30005;30006;30005;31006,2,103;40;2|105;20;2,3,101,110605,,icon_island1
2023,1,23,10007;10007;10008,0,103;40;2|105;20;2,3,101,100701,,icon_island2
2024,1,24,10008;10008;10008,0,103;40;2|105;20;2,3,101,100702,,icon_island2
2025,1,25,30006;30006;30007;31006,2,103;40;2|105;20;2,4,101,110703,,icon_island3
3001,2,1,10001,0,103;40;2|105;20;2,1,201,100201,,icon_island1
3002,2,2,20002;20002,1,103;40;2|105;20;2,3,201,100201,,icon_island3
3003,2,3,30002;30002;30002,2,103;40;2|105;20;2,3,201,100201,,icon_island1
3004,2,4,10003,0,103;40;2|105;20;2,1,201,100201,,icon_island2
3005,2,5,20002;20002,1,103;40;2|105;20;2,2,201,100202,,icon_island2
3006,2,6,31002,2,103;40;2|105;20;2,2,201,110203,,icon_island3
3007,2,7,30003;30003,2,103;40;2|105;20;2,2,201,100301,,icon_island1
3008,2,8,10004;10003,0,103;40;2|105;20;2,2,201,100302,,icon_island3
