id,type,convert_type,needItem,needRss,reward,times,desc,index
int,int,int,string,string,int,int,string,int
1,1,,3000001|999,3200002|1,,9005006,1,,
2,1,,3000001|99,3200002|1,,9005007,3,,
3,1,,3000001|50,3200002|1,,9005008,20,,
4,1,,3000001|20,3200002|1,,9005009,50,,
5,1,,3000001|10,3200002|1,,9005010,100,,
6,1,,3000001|1,3200002|1,,9005011,999,,
11,2,,3400002|6,,9006401,1,convert_desc11,
12,2,,3400002|6,,9006402,1,convert_desc12,
13,2,,3400002|6,,9006403,1,convert_desc13,
14,2,,3400002|6,,9006404,1,convert_desc14,
15,2,,3400002|12,,9006405,1,convert_desc15,
16,2,,3400002|12,,9006406,1,convert_desc16,
17,2,,3400002|12,,9006407,1,convert_desc17,
18,2,,3400002|12,,9006408,1,convert_desc18,
19,2,,3400002|18,,9006409,1,convert_desc19,
20,2,,3400002|18,,9006410,1,convert_desc20,
21,2,,3400002|18,,9006411,1,convert_desc21,
22,2,,3400002|18,,9006412,1,Contains a Premium Recruit Voucher,
23,2,,3400002|42,,9006413,1,convert_desc23,
24,2,,3400002|42,,9006414,1,convert_desc24,
25,2,,3400002|42,,9006415,1,convert_desc25,
26,2,,3400002|42,,9006416,1,convert_desc26,
27,3,,3000004|999,,9001106,1,,
28,3,,3000004|99,,9001107,3,,
29,3,,3000004|50,,9001108,20,,
30,3,,3000004|20,,9001109,50,,
31,3,,3000004|10,,9001110,100,,
32,3,,3000004|1,,9001111,999,,
33,3,,3500001|1,3500002|1,3500003|1,3500004|1,,9001113,200,,
34,3,,3500001|1,3500002|1,3500003|1,,9001114,9999,,
35,3,,3500001|1,,9001115,9999,,
36,3,,3500002|1,,9001116,9999,,
37,3,,3500003|1,,9001117,9999,,
38,3,,3500004|1,,9001118,9999,,
39,4,,3000006|999,,9001501,1,,
40,4,,3000006|99,,9001502,3,,
41,4,,3000006|50,,9001503,20,,
42,4,,3000006|20,,9001504,50,,
43,4,,3000006|10,,9001505,100,,
44,4,,3000006|1,,9001506,999,,
45,5,,3700003|10,,9001901,1,,
46,5,,3600014|299,,9001902,3,,
47,5,,3600014|199,,9001903,20,,
48,5,,3600014|50,,9001904,30,,
49,5,,3600014|20,,9001905,50,,
50,5,,3600014|10,,9001906,100,,
51,5,,3600014|2,,9001907,999,,
52,5,,3600014|50,,9001908,10,,
53,5,,3600014|50,,9001909,10,,
54,5,,3600014|50,,9001910,10,,
55,5,,3600014|50,,9001911,10,,
56,5,,3600014|50,,9001912,10,,
57,5,,3600014|50,,9001913,10,,
58,5,,3600014|50,,9001914,10,,
59,5,,3600014|50,,9001915,10,,
60,5,,3600014|50,,9001916,10,,
61,6,,3800004|999,,9002101,1,,
62,6,,3800004|99,,9002102,3,,
63,6,,3800004|50,,9002103,20,,
64,6,,3800004|20,,9002104,50,,
65,6,,3800004|10,,9002105,100,,
66,6,,3800004|1,,9002106,999,,
101,7,,4400019|1200,,9002313,1,,1
102,7,,4400019|1200,,9002301,1,,2
103,7,,4400019|800,,9002301,1,,3
111,7,,4400019|400,,913520,1,,4
104,7,,4400019|400,,9002302,5,,5
105,7,,4400019|240,,9002303,10,,6
106,7,,4400019|180,,9002304,15,,7
107,7,,4400019|120,,9002305,25,,8
108,7,,4400019|60,,9002306,30,,9
109,7,,4400019|60,,9002307,2,,10
110,7,,4400019|1,,9002308,9999,,11
75,8,,5102001|1,5102002|1,5102004|1,,9002401,999,,
76,8,,5102001|1,5102002|1,5102004|1,,9002402,999,,
77,8,,5102001|1,5102002|1,5102004|1,,9002403,999,,
78,8,,5102001|1,5102002|1,5102004|1,5102005|1,,9002404,999,,
79,8,,5102001|1,5102002|1,5102004|1,5102005|1,,9002405,999,,
80,8,,5102001|1,5102002|1,5102004|1,5102005|1,,9002406,999,,
81,8,,5102001|1,5102002|1,5102004|1,5102006|1,,9002407,999,,
82,8,,5102001|1,5102002|1,5102004|1,5102006|1,,9002408,999,,
83,8,,5102001|1,5102002|1,5102004|1,5102006|1,,9002409,999,,
901,9,,33000001|999,,9090101,1,,
902,9,,33000001|299,,9090102,1,,
903,9,,33000001|99,,9090103,3,,
904,9,,33000001|1499,,9090104,1,,
905,9,,33000001|50,,9090105,20,,
906,9,,33000001|20,,9090106,50,,
907,9,,33000001|10,,9090107,100,,
908,9,,33000001|1,,9090108,999,,
1001,10,,33000002|999,,9100101,1,,
1002,10,,33000002|299,,9100102,1,,
1003,10,,33000002|99,,9100103,3,,
1004,10,,33000002|299,,9100104,99,,
1005,10,,33000002|50,,9100105,20,,
1006,10,,33000002|20,,9100106,50,,
1007,10,,33000002|10,,9100107,100,,
1008,10,,33000002|1,,9100108,999,,
1009,10,,3900008|10,,9100109,50,,
1111,11,,4100001|10,,9111101,10,,
1113,11,,33000003|199,,9111102,20,,
1114,11,,33000003|50,,9111103,30,,
1115,11,,33000003|20,,9111104,50,,
1116,11,,33000003|10,,9111105,100,,
1117,11,,33000003|2,,9111106,999,,
1118,11,,33000003|50,,9111107,10,,
1119,11,,33000003|50,,9111108,10,,
1120,11,,33000003|50,,9111109,10,,
1121,11,,33000003|50,,9111110,10,,
1122,11,,33000003|50,,9111111,10,,
1123,11,,33000003|50,,9111112,10,,
1124,11,,33000003|50,,9111113,10,,
1125,11,,33000003|50,,9111114,10,,
1126,11,,33000003|50,,9111115,10,,
1201,12,,3900004|999,,9003901,1,,
1202,12,,3900004|999,,9003902,1,,
1203,12,,3900004|299,,9003903,1,,
1204,12,,3900004|99,,9003904,3,,
1205,12,,3900004|99,,9003905,3,,
1206,12,,3900004|50,,9003906,20,,
1207,12,,3900004|20,,9003907,50,,
1208,12,,3900004|10,,9003908,100,,
1209,12,,3900004|1,,9003909,999,,
1210,12,,3900007|10,,9003910,50,,
1301,13,,3900008|120,,9004201,10,,
1302,13,,3900008|30,,9004202,30,,
1303,13,,3900008|6,,9004203,60,,
1304,13,,3900008|60,,9004204,50,,
1305,13,,3900008|12,,9004205,50,,
1306,13,,3900008|20,,9004206,100,,
1307,13,,3900008|1,,9004207,9999,,
1401,14,,3900009|100,,9111401,30,,
1402,14,,3900009|80,,9111402,50,,
1403,14,,3900009|30,,9111403,50,,
1404,14,,3900009|25,,9111404,50,,
1405,14,,3900009|5,,9111405,100,,
1406,14,,3900009|1,,9111406,999,,
1501,15,,3900014|999,,9111501,1,,
1502,15,,3900014|299,,9111502,1,,
1503,15,,3900014|99,,9111503,3,,
1504,15,,3900014|50,,9111504,20,,
1505,15,,3900014|20,,9111505,50,,
1506,15,,3900014|10,,9111506,100,,
1507,15,,3900014|1,,9111507,999,,
1601,16,,3900014|999,,9111501,1,,
1602,16,,3900014|299,,9111508,1,,
1603,16,,3900014|99,,9111503,3,,
1604,16,,3900014|50,,9111504,20,,
1605,16,,3900014|20,,9111505,50,,
1606,16,,3900014|10,,9111506,100,,
1607,16,,3900014|1,,9111507,999,,
1701,17,,3900019|999,,9111601,1,,
1702,17,,3900019|299,,9111602,1,,
1703,17,,3900019|99,,9111603,3,,
1704,17,,3900019|50,,9111604,20,,
1705,17,,3900019|20,,9111605,50,,
1706,17,,3900019|10,,9111606,100,,
1707,17,,3900019|1,,9111607,999,,
1801,18,,3900024|999,,9111701,1,,
1802,18,,3900024|299,,9111702,1,,
1803,18,,3900024|99,,9111703,3,,
1804,18,,3900024|299,,9111704,99,,
1805,18,,3900024|50,,9111705,20,,
1806,18,,3900024|20,,9111706,50,,
1807,18,,3900024|10,,9111707,100,,
1808,18,,3900024|1,,9111708,999,,
1809,18,,3900026|10,,9111709,50,,
1901,19,,3900026|100,,9112001,30,,
1902,19,,3900026|80,,9112002,50,,
1903,19,,3900026|30,,9112003,50,,
1904,19,,3900026|25,,9112004,50,,
1905,19,,3900026|5,,9112005,100,,
1906,19,,3900026|1,,9112006,999,,
2001,20,,3900035|999,,9112101,1,,
2002,20,,3900035|299,,9112102,1,,
2003,20,,3900035|99,,9112103,3,,
2004,20,,3900035|299,,9112104,99,,
12004,20,,3900035|299,,9112110,1,,
2005,20,,3900035|50,,9112105,20,,
2006,20,,3900035|20,,9112106,50,,
2007,20,,3900035|10,,9112107,100,,
2008,20,,3900035|1,,9112108,999,,
2009,20,,3900043|10,,9112109,50,,
2101,21,,3900049|999,,9112201,1,,
2102,21,,3900049|299,,9112202,1,,
2103,21,,3900049|99,,9112203,3,,
2104,21,,3900049|50,,9112204,20,,
2105,21,,3900049|20,,9112205,50,,
2106,21,,3900049|10,,9112206,100,,
2107,21,,3900049|1,,9112207,999,,
2201,22,,3900053|100,,9112009,10,,
2202,22,,3900053|100,,9112007,10,,
2203,22,,3900053|100,,9111101,10,,
2204,22,,3900053|100,,9111401,10,,
2205,22,,3900053|100,,9112001,10,,
2206,22,,3900053|80,,9112002,50,,
2207,22,,3900053|30,,9112003,50,,
2208,22,,3900053|25,,9112004,50,,
2209,22,,3900053|5,,9112005,100,,
2210,22,,3900053|1,,9112006,999,,
2301,23,,3900053|100,,9112009,10,,
2302,23,,3900053|100,,9112007,10,,
2303,23,,3900053|100,,9111101,10,,
2304,23,,3900053|100,,9111401,10,,
2305,23,,3900053|80,,9112002,50,,
2306,23,,3900053|30,,9112003,50,,
2307,23,,3900053|25,,9112004,50,,
2308,23,,3900053|5,,9112005,100,,
2309,23,,3900053|1,,9112006,999,,
2501,25,,3900043|100,,9007801,5,,
2502,25,,3900043|35,,9007802,15,,
2503,25,,3900043|10,,9007803,30,,
2504,25,,3900043|50,,9007804,30,,
2505,25,,3900043|35,,9007805,60,,
2506,25,,3900043|10,,9007806,100,,
2507,25,,3900043|1,,9007807,999,,
2601,26,,3900043|100,,9008101,30,,
2602,26,,3900043|80,,9008102,2,,
2603,26,,3900043|20,,9008103,10,,
2604,26,,3900043|80,,9008104,50,,
2605,26,,3900043|30,,9008105,50,,
2606,26,,3900043|25,,9008106,50,,
2607,26,,3900043|5,,9008107,100,,
2608,26,,3900043|1,,9008108,999,,
2701,27,,3900070|999,,9112501,1,,
2702,27,,3900070|299,,9112502,1,,
2703,27,,3900070|299,,9112503,1,,
2704,27,,3900070|99,,9112504,3,,
2705,27,,3900070|50,,9112505,20,,
2706,27,,3900070|20,,9112506,50,,
2707,27,,3900070|10,,9112507,100,,
2708,27,,3900070|1,,9112508,999,,
2801,28,,3900072|100,,9113001,30,,
2802,28,,3900072|80,,9113002,50,,
2803,28,,3900072|30,,9113003,50,,
2804,28,,3900072|25,,9113004,50,,
2805,28,,3900072|5,,9113005,100,,
2806,28,,3900072|1,,9113006,999,,
2901,29,,3900072|999,,9001901,1,,
2902,29,,3900077|1299,,9005006,1,,
2903,29,,3900077|1299,,9001106,1,,
2904,29,,3900077|1299,,9001501,1,,
2905,29,,3900077|1299,,9002101,1,,
2906,29,,3900077|1299,,9003901,1,,
2907,29,,3900077|1299,,9003902,1,,
2908,29,,3900077|1299,,9111501,1,,
2909,29,,3900077|1299,,9111601,1,,
2910,29,,3900077|1299,,9112201,1,,
2911,29,,3900077|50,,9112505,20,,
2912,29,,3900077|20,,9112506,50,,
2913,29,,3900077|10,,9112507,100,,
2914,29,,3900077|1,,9112508,999,,
2915,29,,3900077|1299,,9090101,1,,
3001,30,,3900072|999,,9001901,1,,
3002,30,,3900077|1299,,9005006,1,,
3003,30,,3900077|1299,,9001106,1,,
3004,30,,3900077|1299,,9001501,1,,
3005,30,,3900077|1299,,9002101,1,,
3006,30,,3900077|1299,,9111501,1,,
3007,30,,3900077|1299,,9111601,1,,
3008,30,,3900077|1299,,9112201,1,,
3009,30,,3900077|50,,9112505,20,,
3010,30,,3900077|20,,9112506,50,,
3011,30,,3900077|10,,9112507,100,,
3012,30,,3900077|1,,9112508,999,,
3013,30,,3900077|1299,,9090101,1,,
2401,24,,3900055|999,,9112401,1,,
2402,24,,3900055|299,,9112402,1,,
2403,24,,3900055|99,,9112403,3,,
2404,24,,3900055|299,,9112404,99,,
2405,24,,3900055|299,,9112410,1,,
2406,24,,3900055|50,,9112405,20,,
2407,24,,3900055|20,,9112406,50,,
2408,24,,3900055|10,,9112407,100,,
2409,24,,3900055|1,,9112408,999,,
2410,24,,3900056|10,,9112409,50,,
3201,32,,3900056|100,,9009801,30,,
3202,32,,3900056|80,,9009802,2,,
3203,32,,3900056|20,,9009803,10,,
3204,32,,3900056|80,,9009804,50,,
3205,32,,3900056|30,,9009805,50,,
3206,32,,3900056|25,,9009806,50,,
3207,32,,3900056|5,,9009807,100,,
3208,32,,3900056|1,,9009808,999,,
3301,33,,3900056|30,,9010401,120,,
3302,33,,3900056|80,,9010402,2,,
3303,33,,3900056|20,,9010403,10,,
3304,33,,3900056|80,,9010404,50,,
3305,33,,3900056|30,,9010405,50,,
3306,33,,3900056|25,,9010406,50,,
3307,33,,3900056|5,,9010407,100,,
3308,33,,3900056|1,,9010408,999,,
3401,34,,3900086|999,,9110701,1,,
