country,ups,iata,currency_code,currency_name
string,string,string,string,string
阿富汗,AF,AF,USD,阿富汗尼
阿爾巴尼亞,AL,AL,EUR,歐元
奧蘭島,AX,AX,EUR,歐元
阿爾及利亞,DZ,DZ,DZD,阿爾及利亞第納爾
美屬薩摩亞,AS,AS,USD,美元
安道爾,AD,AD,EUR,歐元
安哥拉,AO,AO,AOA,安哥拉寬紮
安圭拉,AI,AI,XCD,東加勒比元
安地卡及巴布達,AG,AG,XCD,東加勒比元
阿根廷,AR,AR,ARS,阿根廷比索
亞美尼亞,AM,AM,AMD,亞美尼亞德拉姆
阿盧巴島,AW,AW,AWG,阿魯巴盾／弗羅林
澳洲,AU,AU,AUD,澳洲元
澳地利,AT,AT,EUR,歐元
亞塞拜然,AZ,AZ,AZM,亞塞拜然馬納特
亞速爾群島,A2,PT,EUR,歐元
巴哈馬,BS,BS,BSD,巴哈馬元
巴林,BH,BH,BHD,巴林第納爾
孟加拉,BD,BD,BDT,孟加拉塔卡
巴貝多,BB,BB,BBD,巴貝多元
白俄羅斯,BY,BY,BYR,白俄羅斯盧布
比利時,BE,BE,EUR,歐元
貝里斯,BZ,BZ,BZD,貝里斯元
貝南,BJ,BJ,XOF,西非國家中央銀行非洲法郎
百慕達群島,BM,BM,BMD,百慕達元
不丹,BT,BT,BTN,不丹努爾特魯姆
玻利維亞,BO,BO,BOB,玻利維亞比索
博內爾島、聖尤斯特歇斯島和薩巴島,BQ,BQ,USD,美元
波士尼亞,BA,BA,BAM,波士尼亞馬克
波札那,BW,BW,BWP,波札那普拉
巴西,BR,BR,BRL,巴西雷亞爾
英屬維京群島,VG,VG,USD,美元
汶萊,BN,BN,BND,汶萊元
保加利亞,BG,BG,EUR,歐元
布吉納法索,BF,BF,XOF,西非國家中央銀行非洲法郎
蒲隆地,BI,BI,BIF,蒲隆地法郎
柬埔寨,KH,KH,KHR,柬埔寨瑞爾
喀麥隆,CM,CM,XAF,中非共同體法郎
加拿大,CA,CA,CAD,加拿大元
加那利群島,IC,ES,EUR,歐元
維德角群島,CV,CV,CVE,維德角群島埃斯庫多
開曼群島,KY,KY,KYD,開曼元
中非共和國,CF,CF,XAF,中非共同體法郎
休達,XC,XC,EUR,歐元
查德,TD,TD,XAF,中非共同體法郎
智利,CL,CL,CLP,智利比索
中華人民共和國,CN,CN,CNY,元 (人民幣)
哥倫比亞,CO,CO,COP,哥倫比亞比索
科摩羅,KM,KM,USD,科摩羅法郎
剛果,CG,CG,XAF,中非共同體法郎
剛果民主共和國,CD,CD,CDF,剛果法郎
庫克群島,CK,CK,NZD,新西蘭元
哥斯達黎加,CR,CR,CRC,哥斯達黎加科朗
克羅地亞,HR,HR,EUR,歐元
古巴,CU,CU,CU,古巴披索
庫拉索島,CW,CW,USD,美元
賽普勒斯,CY,CY,EUR,歐元
捷克共和國,CZ,CZ,CZK,捷克克朗
丹麥,DK,DK,DKK,丹麥克朗
吉布提,DJ,DJ,DJF,吉布提法郎
多米尼克,DM,DM,XCD,東加勒比元
多米尼加共和國,DO,DO,DOP,多米尼加比索
東帝汶,TL,TL,USD,美元
厄瓜多爾,EC,EC,USD,美元
埃及,EG,EG,EGP,埃及鎊
薩爾瓦多,SV,SV,USD,美元
英格蘭,EN,GB,GBP,英鎊
赤道幾內亞,GQ,GQ,XAF,中非共同體法郎
厄立特里亞,ER,ER,ERN,厄立特里亞納克法
愛沙尼亞,EE,EE,EUR,歐元
埃塞俄比亞,ET,ET,ETB,埃塞俄比亞比爾
歐洲,EP,EP,EUR,歐元
法羅群島,FO,FO,DKK,丹麥克朗
斐濟,FJ,FJ,FJD,斐濟元
芬蘭,FI,FI,EUR,歐元
法國,FR,FR,EUR,歐元
法屬圭亞那,GF,GF,EUR,歐元
法屬波利尼西亞,PF,PF,XPF,太平洋法郎
加蓬,GA,GA,XAF,中非共同體法郎
岡比亞,GM,GM,GMD,岡比亞達拉西
格魯吉亞,GE,GE,GEL,格魯吉亞拉里
德國,DE,DE,EUR,歐元
加納,GH,GH,GHS,加納塞地
直布羅陀,GI,GI,GIP,直布羅陀鎊
希臘,GR,GR,EUR,歐元
格陵蘭,GL,GL,DKK,丹麥克朗
格林納達,GD,GD,XCD,東加勒比元
瓜德羅普,GP,GP,EUR,歐元
關島,GU,GU,USD,美元
危地馬拉,GT,GT,GTQ,危地馬拉格查爾
根西島,GG,GG,GBP,英鎊
幾內亞,GN,GN,GNF,幾內亞法郎
幾內亞比紹,GW,GW,XOF,西非國家中央銀行非洲法郎
圭亞那,GY,GY,GYD,圭亞那元
海地,HT,HT,HTG,海地古德
荷蘭,HO,NL,EUR,歐元
洪都拉斯,HN,HN,HNL,洪都拉斯倫皮拉
中國香港,HK,HK,HKD,港元
匈牙利,HU,HU,HUF,匈牙利福林
冰島,IS,IS,ISK,冰島克朗
印度,IN,IN,INR,印度盧比
印尼,ID,ID,IDR,印尼盾
伊拉克,IQ,IQ,NID,伊拉克第納爾
愛爾蘭共和國,IE,IE,EUR,歐元
以色列,IL,IL,ILS,以色列謝克爾
義大利,IT,IT,EUR,歐元
象牙海岸,CI,CI,XOF,西非國家中央銀行非洲法郎
牙買加,JM,JM,JMD,牙買加元
日本,JP,JP,JPY,日元
澤西島,JE,JE,GBP,英鎊
約旦,JO,JO,JOD,約旦第納爾
哈薩克共和國,KZ,KZ,KZT,哈薩克堅戈
肯尼亞,KE,KE,KES,肯尼亞先令
基里巴斯,KI,KI,AUD,澳洲元
韓國,KR,KR,KRW,韓圓
科斯雷,KO,FM,USD,美元
科索沃,KV,KV,EUR,歐元
科威特,KW,KW,KWD,科威特第納爾
吉爾吉斯共和國,KG,KG,KGS,吉爾吉斯索姆
老撾,LA,LA,LAK,老撾基普
拉脫維亞,LV,LV,EUR,歐元
黎巴嫩,LB,LB,LBP,黎巴嫩鎊
萊索托,LS,LS,LSL,萊索托洛蒂
利比里亞,LR,LR,LRD,利比里亞元
利比亞,LY,LY,LYD,利比亞第納爾
列支敦士登,LI,LI,CHF,瑞士法郎
立陶宛,LT,LT,EUR,歐元
盧森堡,LU,LU,EUR,歐元
澳門,MO,MO,MOP,澳門元
馬其頓（前南斯拉夫馬其頓共和國）,MK,MK,EUR,歐元
馬達加斯加,MG,MG,MGA,馬達加斯加阿里亞里
馬得拉,M3,PT,EUR,歐元
馬拉威,MW,MW,MWK,馬拉維克瓦查
馬來西亞,MY,MY,MYR,馬來西亞林吉特
馬爾代夫,MV,MV,MVR,馬爾代夫盧比
馬里,ML,ML,XOF,西非國家中央銀行非洲法郎
馬耳他,MT,MT,EUR,歐元
馬紹爾群島,MH,MH,USD,美元
馬提尼克,MQ,MQ,EUR,歐元
毛里塔尼亞,MR,MR,MRO,毛里塔尼亞烏吉亞
毛里求斯,MU,MU,MUR,毛里求斯盧比
馬約特,YT,YT,EUR,法郎
梅利利亞,XL,XL,EUR,歐元
墨西哥,MX,MX,MXN,墨西哥比索
密克羅尼西亞聯邦,FM,FM,USD,美元
摩爾多瓦,MD,MD,MDL,摩爾多瓦列伊
摩納哥,MC,MC,EUR,歐元
蒙古,MN,MN,MNT,蒙古圖格里克
蒙特內哥羅,ME,ME,EUR,塞爾維亞第納爾
蒙特塞拉特島,MS,MS,XCD,東加勒比元
摩洛哥,MA,MA,MAD,摩洛哥迪拉姆
莫三比克,MZ,MZ,MZM,莫桑比克梅蒂卡爾
納米比亞,NA,NA,NAD,納米比亞元
尼泊爾,NP,NP,NPR,尼泊爾盧比
荷蘭,NL,NL,EUR,歐元
新喀里多尼亞,NC,NC,XPF,太平洋法郎
紐西蘭,NZ,NZ,NZD,新西蘭元
尼加拉瓜,NI,NI,NIO,尼加拉瓜金科多巴
尼日爾,NE,NE,XOF,西非國家中央銀行非洲法郎
尼日利亞,NG,NG,NGN,尼日利亞奈拉
諾福克島,NF,NF,AUD,澳洲元
北愛爾蘭,NB,GB,GBP,英鎊
北馬里亞納群島,MP,MP,USD,美元
挪威,NO,NO,NOK,挪威克朗
阿曼,OM,OM,OMR,阿曼里亞爾
巴基斯坦,PK,PK,PKR,巴基斯坦盧比
帕勞,PW,PW,USD,美元
巴拿馬,PA,PA,PAB,巴拿馬巴波亞
巴布亞新幾內亞,PG,PG,PGK,巴布亞基納
巴拉圭,PY,PY,PYG,巴拉圭瓜拉尼
秘魯,PE,PE,PEN,秘魯新索爾
菲律賓,PH,PH,PHP,菲律賓比索
波蘭,PL,PL,PLN,波蘭茲羅提
波納佩島,PO,FM,USD,美元
葡萄牙,PT,PT,EUR,歐元
波多黎各,PR,PR,USD,美元
卡塔爾,QA,QA,QAR,卡塔爾里亞爾
留尼旺島,RE,RE,EUR,歐元
羅馬尼亞,RO,RO,ROL,羅馬尼亞列伊
羅塔,RT,MP,USD,美元
俄羅斯,RU,RU,RUB,俄羅斯盧布
盧旺達,RW,RW,RWF,盧旺達法郎
薩巴島,S1,BQ,ANG,荷屬安的列斯盾
塞班島,SP,MP,USD,美元
薩摩亞,WS,WS,WST,薩摩亞 塔拉
