id,order,item_id,price_shop,buy_limit,is_open,cost_reason,switch,need_player_level
int,int,int,int,int,int,string,string,int
1,1,2300003,50,2,1,shopBuyItem_csb,,0
2,2,2560002,200,1,1,shopBuyItem_csb,,0
3,9,1700413,65,3,1,shopBuyItem_csb,,0
4,11,940001,35,10,1,shopBuyItem_csb,glorious_army,80
5,10,1700098,12,5,1,shopBuyItem_csb,,70
6,5,2800001,75,1,1,shopBuyItem_csb,,0
7,6,2800000,6,10,1,shopBuyItem_csb,,0
8,7,99910001,1,60,1,shopBuyItem_csb,,0
9,8,99910102,3,30,1,shopBuyItem_csb,,0
10,3,1700013,6,15,1,shopBuyItem_csb,,0
11,4,1700032,6,15,1,shopBuyItem_csb,,0
12,5,2200070,80,1,1,shopBuyItem_csb,,0
