id,mission_name,condition,condition_id,condition_num,unlock,maxUnlock,reward_id,icon,guide_group,reward_multiple,extra_reward,weight,type,quality
int,string,int,int,double,int,int,int,string,int,int,int,int,int,int
1,Build {1} {0},301,1700,2.0,1,0,0,task_jianzao,8,1,0,5,1,0
2,Build {1} {0},301,1040,2.0,1,0,0,task_jianzao,8,1,0,5,1,0
3,Build {1} {0},301,1100,2.0,20,0,0,task_jianzao,8,1,0,5,1,0
4,Build {1} {0},301,1050,2.0,22,0,0,task_jianzao,8,1,0,5,1,0
5,Train {0} Army units,302,101,2.0,1,0,0,task_xunlian,9,1,0,5,1,0
6,Train {0} Naval Units,302,201,2.0,20,0,0,task_xunlian,9,1,0,5,1,0
7,Train {0} Air Force Units,302,301,2.0,22,0,0,task_xunlian,9,1,0,5,1,0
8,Use {0} VIT,303,0,20.0,5,0,0,task_xiaohaotili,15,1,0,5,1,0
9,Request gold {0} time(s),304,0,1.0,5,0,0,task_nongye,18,1,0,5,1,0
10,Buy VIT {0} time(s),305,0,1.0,1,0,0,task_xiaohaotili,19,1,0,5,1,0
11,Collect tax {0} times,306,0,1.0,1,0,0,task_nongye,20,1,0,0,1,0
12,Buy items in Item Store {0} time(s),307,0,1.0,1,0,0,task_goumaidaoju,54,1,0,5,1,0
13,dailyTask_name008,308,0,1.0,1,0,0,task_shipinzuanshi,22,1,0,0,1,0
14,Use Speed-up {0} time(s),310,0,1.0,1,0,0,task_jiasu,999,1,0,5,1,0
15,Gather {1} {0},203,7,2000.0,1,0,0,task_nongye,16,1,0,5,1,0
16,Gather {1} {0},203,5,2000.0,1,0,0,task_nongye,16,1,0,5,1,0
17,Gather {1} {0},203,7,4000.0,1,0,0,task_nongye,16,2,0,2,1,0
18,Gather {1} {0},203,5,4000.0,1,0,0,task_nongye,16,2,0,2,1,0
19,Gather {1} {0},203,7,10000.0,1,0,0,task_nongye,16,5,0,1,1,0
20,Gather {1} {0},203,5,10000.0,1,0,0,task_nongye,16,5,0,1,1,0
21,Build {1} {0},301,1700,5.0,1,0,0,task_jianzao,8,2,0,4,1,0
22,Build {1} {0},301,1040,5.0,1,0,0,task_jianzao,8,2,0,4,1,0
23,Build {1} {0},301,1100,5.0,20,0,0,task_jianzao,8,2,0,4,1,0
24,Build {1} {0},301,1050,5.0,22,0,0,task_jianzao,8,2,0,4,1,0
25,Train {0} Army units,302,101,5.0,1,0,0,task_xunlian,9,2,0,4,1,0
26,Train {0} Naval Units,302,201,5.0,20,0,0,task_xunlian,9,2,0,4,1,0
27,Train {0} Air Force Units,302,301,5.0,22,0,0,task_xunlian,9,2,0,4,1,0
28,Use {0} VIT,303,0,20.0,5,0,0,task_xiaohaotili,15,2,0,4,1,0
29,Request gold {0} time(s),304,0,1.0,5,0,0,task_nongye,18,2,0,4,1,0
30,Buy VIT {0} time(s),305,0,1.0,1,0,0,task_xiaohaotili,19,2,0,4,1,0
31,Collect tax {0} times,306,0,2.0,1,0,0,task_nongye,20,2,0,0,1,0
32,Buy items in Item Store {0} time(s),307,0,1.0,1,0,0,task_goumaidaoju,54,2,0,4,1,0
33,dailyTask_name008,308,0,1.0,1,0,0,task_shipinzuanshi,22,2,0,0,1,0
