id,day,item,num,group,special,banner,title,content,flash
int,int,string,string,int,int,string,string,string,string
1,1,1000006,1,1,,,,,
2,2,3300001,10,1,,,,,
3,3,1000006,1,1,,,,,
4,4,3300001,10,1,,,,,
5,5,2100005,3,1,1,,,,
6,6,1700013,5,1,,,,,
7,7,1700032,5,1,,,,,
8,8,1700013,5,1,,,,,
9,9,1700032,5,1,,,,,
10,10,1700015,3,1,1,,,,
11,11,2800000,3,1,,,,,
12,12,2800000,3,1,,,,,
13,13,2800000,3,1,,,,,
14,14,2800000,3,1,,,,,
15,15,2800001,1,1,1,,,,
16,16,920005,10,1,,,,,
17,17,910005,10,1,,,,,
18,18,920005,10,1,,,,,
19,19,910005,10,1,,,,,
20,20,5100305,1,1,1,,,,
21,21,2540002,3,1,,,,,
22,22,2560001,10,1,,,,,
23,23,2540002,3,1,,,,,
24,24,2560001,10,1,,,,,
25,25,2521503,1,1,1,,,,
26,26,2100005,1,1,,,,,
27,27,2300003,1,1,,,,,
28,28,2100005,1,1,,,,,
29,29,2300003,1,1,,,,,
30,30,39200246,10,1,1,,,,
31,1,2200072|2400004|3300001,10|5|10,2,,activity_banner_5512_5.jpg,Ishi Tarou,The gathering master that knows everything about how to survive in the battlefield!,2200072
32,2,1700015|323001|3300001,1|50|20,2,,,,,
33,3,2300002|2400004|3300001,20|5|10,2,,,,,
34,4,39200271|323001|3300001,1|100|20,2,,,,,39200271
35,5,2100002|2400004|3300001,3|5|10,2,,,,,
36,6,1000006|5200001|3300001,1|5|10,2,,,,,
37,7,39200306|2300003|3300001,1|2|20,2,,activity_banner_5512_2.jpg,Night Sakura,One; and two; and three... Four. It's blooming.,39200306
38,8,2100002|2400004|3300001,3|5|10,2,,,,,
39,9,1000006|5200001|3300001,1|5|10,2,,,,,
40,10,1700015|1000007|3300001,2|1|20,2,,,,,
41,11,2100002|2400004|3300001,3|5|10,2,,,,,
42,12,2100005|2400005|3300001,3|5|20,2,,,,,
43,13,1000006|5200001|3300001,1|5|10,2,,,,,
44,14,1701207|1000007|3300001,1|1|20,2,,activity_banner_5512_3.jpg,Florist Lantern,Summer breeze and moonlight....,1701207
45,15,1700015|1000007|3300001,3|1|20,2,,,,,
46,16,2501503|1000007|3300001,1|1|20,2,,,,,2501503
47,1,2100005|3300001|600001,1|5|1,3,,,,,
48,2,2300002|3300001|600001,4|5|1,3,,,,,
49,3,1700015|3300001|600001,1|5|1,3,,,,,
50,4,2540002|3300001|600001,4|5|1,3,,,,,
51,5,2300003|3300001|600001,1|5|1,3,,,,,
52,6,1000006|3300001|600001,1|5|1,3,,,,,
53,7,1701211|5200001|600001,1|10|1,3,,activity_banner_5514.jpg,Military camp,A successful start requires sufficient rest.,1701211
54,1,2200076|2400004|3300001,10|10|5,4,,,,,2200076
55,2,5800011|1700015|3300001,30|1|10,4,,,,,5800011
56,3,2200076|2400004|3300001,20|10|5,4,,,,,2200076
57,4,5800011|2400005|3300001,30|10|10,4,,,,,5800011
58,5,2100002|2400004|3300001,3|10|5,4,,,,,
59,6,1000006|5200001|3300001,1|5|5,4,,,,,
60,7,3920031|2300003|3300001,1|2|10,4,,,,,3920031
61,8,2100002|2400004|3300001,3|10|5,4,,,,,
62,9,1000006|5200001|3300001,1|5|5,4,,,,,
63,10,5800011|1000007|3300001,30|1|10,4,,,,,5800011
64,11,2100002|2400004|3300001,3|10|5,4,,,,,
65,12,1700015|2400005|3300001,2|10|10,4,,,,,
66,13,1000006|5200001|3300001,1|5|5,4,,,,,
67,14,2521503|1000007|3300001,1|1|10,4,,activity_banner_5515n.jpg,Reporting for Duty,Commander; I figured you might need a fighter in your team.,2521503
68,1,2100005|3300001|600001,1|5|1,5,,,,,
69,2,39201015|3300001|600001,1|5|1,5,,,,,
70,3,2300002|3300001|600001,4|5|1,5,,,,,
71,4,1700015|3300001|600001,1|5|1,5,,,,,
72,5,2540002|3300001|600001,4|5|1,5,,,,,
73,6,1000006|3300001|600001,1|5|1,5,,,,,
74,7,2300003|3300001|600001,1|5|1,5,,activity_banner_5516.jpg,Autumn Lantern Avatar Frame,Profess your love for autumn,
75,1,39201028|3300001|600001,1|5|1,6,,,,,
76,2,10000060|3300001|600001,1|5|1,6,,,,,
77,3,1700015|3300001|600001,1|5|1,6,,,,,
78,4,2100005|3300001|600001,1|5|1,6,,,,,
79,5,1700180|3300001|600001,1|5|1,6,,,,,
80,6,20213231|3300001|600001,10|5|1,6,,,,,
81,7,10000123|5200001|600001,1|10|1,6,,activity_banner_5275.jpg,All The Best,Happy New Year 2022,1701211
82,1,2200087|2400005|3300001,10|2|2,7,,,,,2200087
83,2,500002|2400004|3300001,1|2|2,7,,,,,
84,3,5200001|2540002|3300001,1|1|2,7,,,,,
85,4,1701234|20213231|3300001,1|5|2,7,,,,,1701234
86,5,500002|2400004|3300001,1|2|2,7,,,,,
87,6,5200001|2540002|3300001,1|1|2,7,,,,,
88,7,20213231|2100002|3300001,5|1|2,7,,,,,20213231
89,8,500002|2400004|3300001,1|2|2,7,,,,,
90,9,5200001|2540002|3300001,1|1|2,7,,,,,
91,10,20213231|2100002|3300001,5|1|2,7,,,,,20213231
92,11,500002|2400004|3300001,1|2|2,7,,,,,
93,12,5200001|2540002|3300001,1|1|2,7,,,,,
94,13,10000060|2400005|3300001,1|1|2,7,,,,,10000060
95,14,500002|2400004|3300001,1|2|2,7,,,,,
96,15,5200001|2540002|3300001,1|1|2,7,,,,,
97,16,5200002|2100005|2200087,3|1|20,7,,jp3_act_banner972000.jpg,Flora,Remember to check in!,5200002
