id,name,value
int,string,string
1000,coin,50000
1002,oil,0
1004,army_init,10001,23,25|10001,22,26|10001,24,26|10001,21,27|10001,23,27|10001,22,28|10002,22,24
1005,building_init,1701,18,22,0|1701,16,24,0|1701,16,20,0|1801,18,18,0|1041,20,28,1|1901,24,30,0|2001,28,26,0|2201,28,18,0|2101,24,14,0
1007,item_init,320001,10|200007,2|5100302,1|323001,10
1008,hero_init,101
1010,critical_base,1.5
1011,dodge_base,0.1
1012,critical_intital,10
1013,dodge_intital,10
1014,atk_base,0.25
1015,round_limit,10
2004,exp_convert_ratio,5
2005,barrack_queue_count,5
2006,sea_area_init,708|709|809
2007,sea_area_level,12
2008,max_level,80
2009,battle_time_max,1728000
2010,defense_unit_max,10000
3001,oil_level,1031
4002,ad_cooldown,20000
5004,share_coin_num,50000
5005,task_box,161001
5006,daily_task_num,9
5007,daily_task_help_limited,6
5008,ad_get_gold_probability,50
5009,ad_get_gold_milestone,25|5,50|10
5010,fav_wx_reward,950
5011,share_coin_gold_num,70
5012,ad_get_gold,10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10
5013,foundation,5,1000|10,300|15,400|20,400|25,500|30,500|35,500|40,500|45,3500|50,6000
5014,day_share_coin_reward_min,40
5015,day_ad_coin_reward_min,30
5016,day_share_coin_reward_times,3
5017,day_ad_coin_reward_times,5
5018,secret_treasure_coin_reward_min,40
5020,shop_gold_few,10
5021,shop_gold_more,200
5030,training_speedup_price,1|0.2|0.05
5031,repair_speedup_price,0.1|0.02|0.005
5040,enegy_buy,50
5041,enegy_buy_price,50|200|500|500|1000
5042,offline_coin_reward_cd,7200
5043,supply_coin_reward_time,72000
5044,mail_count_limit,50
5045,offline_coin_reward_limit,20
5046,autogather_buff,100|200|200|200|300
5047,repair_cost_time,0.5
5048,repair_cost_resource,0
5049,hospital_initial,4
5050,hospital_update,800001|1,800001|5,800001|10,800001|20,800001|50,800001|100
5051,autogather_buycoin_time,3600
5052,autogather_buycoin_price,5|5|10|10|20|20|50|50|50|100
5053,share_tech_group_reward_count,2
5054,share_tech_newplayer_reward_count,10
5055,share_tech_count,5
5056,share_tech_newplayer_count_limit,5
5057,rank_show_level,300|600|900|1200|2000
5058,rank_player_level,15
5059,rank_player_limit,2000
5060,rank_pve_monster_ids,1010|1010|1010|1010|2010|2010|2010|3010|3010|3010|1009|1009|1009|1009|2009|2009|2009|3009|3009|3009|1008|1008|1008|1008|2008|2008|2008|3008|3008|3008|1007|1007|1007|1007|2007|2007|2007|3007|3007|3007|1006|1006|1006|1006|2006|2006|2006|3006|3006|3006|1005|1005|1005|1005|2005|2005|2005|3005|3005|3005|1004|1004|1004|1004|2004|2004|2004|3004|3004|3004|1003|1003|1003|1003|2003|2003|2003|3003|3003|3003|1002|1002|1002|1002|2002|2002|2002|3002|3002|3002|1001|1001|1001|1001|2001|2001|2001|3001|3001|3001
5061,rank_challenge_reward_count,1|3|6|10
5062,rank_challenge_reward,30001|30002|30003|30004
5063,rank_buy_coin_num,10|20|30|40|50
5064,rank_random_range,20
5065,rank_random_limit,30
5066,rank_score_num,100|10
5067,video_mainui_level,5
5068,video_world_level,6
5069,video_space_limit,360
5070,video_amount_limit,20
5071,share_tech_reward_check,310001|311001|312001|313001|300001|301001|302001|303001|320001|321001|322001|323001
5072,lucky_tree_free_count,5
5073,lucky_tree_cost_count,25
5074,lucky_tree_free_group_rate,5000,9000,1000|4000,8000,2000|1000,5000,5000|0,0,10000
5075,lucky_tree_cost_group_rate,1000,9000,1000|4000,8000,2000|4900,5000,5000|100,0,10000
5076,lucky_tree_pool_rate,200
5077,lucky_tree_pool_count,25
5078,lucky_tree_reward_time,36000
5079,lucky_tree_diamond_cost,5|10|15|20|25|50
5080,rank_list_reward_para1,1000
5081,rank_list_reward_para2,100
5082,rank_list_reward_para3,99
5083,rank_list_reward_para4,500
5100,free_chest,2401|1900001|7200|5
5201,ad_pve_win_level,1|10
5202,ad_pve_win_number,3
5203,ad_pve_win_cd,60
5301,ad_cure_free_level,10|100
5302,ad_cure_free_number,3
5303,ad_cure_free_cd,600
5401,ad_gold_free_base,10
5402,ad_gold_free_cd,15
5403,ad_gold_free_level,1|100
5404,ad_gold_free_add,10|1,12|1.5,15|2
6001,default_destroy_time,10
6002,click_destroy_addon_time,1.5
7001,fix_tank_obstacle,999
7002,fix_tank_army,99999
7003,fix_tank_player,1
7004,autogather_self_duration,14400
7005,autogather_friend_duration,14400
8001,monster_refresh_time,3
8002,area_monster_num,200
8003,area_monsterBoss_num,60
8004,area_monsterBossWeight_num,10|5,20|10,30|20,40|30,50|40,60|50,70|60,80|70
8005,area_monsterBoss_newplayer,5
9001,world_access_level,5
9002,upgrade_build_level_init,5
9003,upgrade_unit_level_init,5
9004,train_speedup_min_time,60
9005,world_deploy_default,100|200|300|400|600|800|1300|1600|3200|4000
9006,world_point_display_type,
9501,march_para_1,1
9502,march_para_2,1
9503,plunder_para,700
9504,random_box_reward_ids,1005|1005
9800,job_trail_daily_count,3
9801,job_trial_power_min,9802880
9802,kingdom_title_change_cd,86400
9901,league_create_level,10
9902,league_create_gold,100
9903,league_join_level,4
9904,league_join_first_reward_gold,100
9905,league_change_name_gold,100
9906,user_alliance_max_apply,10
9907,league_help_coin_level_add,2
9908,league_help_coin_multiplier,10
9909,league_help_coin_request_times,3
9910,league_help_honor_max,1000
9911,league_donation_continue_science_ratio,0
9912,league_donation_continue_worship_ratio,0
9913,league_recommend_count,250
9914,alliance_building_diamond_donation,3|5|8|12|20|30|50|80|100|150|200
9950,domain_start_time,86400
9951,domain_battle_time,3600
9952,domain_peace_time,36000
9953,domain_count_default,5
9954,domain_downgrade_percent,0.2
9955,domain_serverstart_time,604800
9956,domain_name_gold,200
9957,league_move_alliance,200007
9958,league_move_normal,200003
10001,login_reward,2001|2002|2003|2004|2005|2006|2007
10002,shield_new,259200
10003,shield_new_level,50
10004,server_hot,0.3|0.1|0
10005,character_max,3
10006,character_delete_daily,2
10007,scout_high_cost,100
10008,scout_high_level,15
10009,battle_report_cannot_check_parameter,3
10010,level_limit_for_scout,10
11001,gather_start_level,5
11101,compose_army_equip_item_multiple,3
11102,army_equip_max_pos_count,7
11103,army_equip_unlock_level,0|0|10|15|20|25|30
11104,army_equip_unlock_coin,0|0|3000000|400000000|40000000000|2000000000000|70000000000000
11105,enhance_land_init,400001|400002
11106,enhance_sea_init,400003|400004
11107,enhance_air_init,400005|400006
11108,gather_reward_time,3600
11109,enhance_diamond_unlock_level,14
11110,enhance_counter_unlock_level,22
12001,ios_autogather_price,200|1200|2500|5000|9800
12002,autogather_critbuff,100|150|200|250|300
13001,recommended_strength,1|1.5|2
13002,confirm_strength,10
14001,share_new_level,1548144061
14002,share_science_level,1548144061
14003,share_moneytree_level,4
15001,boss_time,5
15002,boss_open_time,4|12|20
15003,harm_ratio,0.05
15004,attack_ratio,10
15005,fixed_attack_interval,1200
15006,blood_volume,12000
15007,strength_rank_score,30
15008,timeout_count,3
16001,alliance_diamond_donation,3|5|8|12|20|30|50|80|100|150|200
16002,share_true,1
16003,war_army_size,5
16004,pvp_war_army_size,10000
16005,alliance_donation_daily_point,3000
16006,alliance_shop_time,28800
16007,alliance_shop_goods,9
16008,alliance_new_player,7
16009,alliance_new_player_reward,10000001
16010,alliance_new_player_off,7
17001,land_atk,10000|5500|4000
17002,sea_atk,10000|5500|4000
17003,air_atk,10000|5500|4000|3500
17004,scout_cost,2
17005,attack_player_cost_energy,5
17006,lucky_tree_crit_time,10|10000
17201,public_reward,1002
17211,share_treasure,50|100|200
17212,share_treasure_key,6
17213,share_treasure_key2,3
17214,share_new_max,1
18001,speedup_level,3|5|7
18002,useItem_num,10000
19001,reinforcement_capacity,30
19002,assemble_capacity,30
19003,assemble_time,60|180|300|600|1800|3600|14400
19004,hospital_update_dimonds,200|350|500|1000|2000|3000
19005,building_troops,5
19101,skin_default,0
19102,skin_unlock_level,10
19103,skin_new_monthy,5001
19201,init_march_limit,5
20001,ordinaryExtract_time,300
20002,ordinaryExtract_num,5
20003,advancedExtract_time,86400
20004,warConvert,2e-05
20005,developConvert,2e-05
20006,auxiliaryConvert,0.01
20007,talentPrice,100|300|900|2700
20008,advancedExtract_hero,104|105|106|204|205|206|304|305|306
20009,heroSkillExtract_num,5
20010,heroSkillExtract_time,300
20011,heroSkillExtract_level,20|20|60|100
20012,heroSkillExtract_compose,10
20013,heroSkillLevel_para1,10
20014,heroSkillLevel_para2,5
20015,heroTalent_consume,2
20016,heroTalent_needItem,2560002
20017,heroTalent_refreshTime,1000
20018,heroSkill_compose_num,3
20019,advancedExtract_reward,4000008
20020,advancedExtract_cost,100
21001,dailyTask_num,10
21002,dailyTask_refurbish,5
21003,dailyTask_price,5
21004,dailyTask_chestNum,1|3|6|10
21005,dailyTask_chestReward,162001|162002|162003|162004
21006,dailyTask_level,20
21007,dailyTask_reward,162005
22001,chest_share,30
22002,prod_scheduler_start_min_interval,30
23001,banned_report_time,10800
23002,banned_report_number,5|2,20|6,45|20,69|30,100|9999999
23003,banned_chat_time,60
23004,banned_chat_number,5
23005,banned_punish_time,21600|43200|86400|172800|259200
23006,chat_send_level,10
23101,share_bottle_reward,1
23102,share_bottle_number,10
23103,share_bottle_reward_new,20
23104,share_bottle_reward_lottery,10
23105,share_bottle_get,0.1|8
23106,share_bottle_new_number,10
23107,share_bottle_reward_item,1900001
23108,crystal_buy_id,3100001
23109,crystal_use_id,3100002
23110,first_purchase_level,3
23111,recall_player_1,1|30|1,2|500|1;1|30|4,2|500|1;1|30|1,2|500|4;1|30|4,2|500|4
23112,ios_app_level,5
23113,gender_price,500
23115,recall_player_reward,9006421|9006422|9006423|9006424
23116,turn_day_free_cd_second,600
23117,turn_day_free_count,5
23118,turn_destiny_count,50
23119,turn_once_price,20
23120,turn_ten_price,168
23121,turn_reward_id,9110001
23122,turn_destiny_reward_id,9110002
23123,turn_destiny_item_id,2300003
23124,turn_day_max_count,1000
23125,cure_free_level,9
23126,rank_rose_receive,1,1,9018001|2,2,9018002|3,3,9018003|4,10,9018004|11,50,9018005|51,100,9018006|101,9999999,9018007
23127,rank_rose_send,1,1,9018011|2,2,9018012|3,3,9018013|4,10,9018004|11,50,9018005|51,100,9018006|101,9999999,9018007
23128,money_to_vippoint,1
23129,login_rose,5
23130,defaultLattice,50
23131,defaultLattice_item,3200002
23132,first_purchase_1,1|5003003
23133,first_purchase_6,6|5003003
23134,training_num,15
23135,rank_rose_receive_allserver,1,1,3600016|2,2,3600013|3,3,3600014|4,10,3600015
23136,rank_rose_send_allserver,1,1,3600012|2,2,3600013|3,3,3600014|4,10,3600015
23137,rank_rose_allserver_capacity,20
23138,drop_decorations,1700025,25|1700026,25|1700027,10|1700028,5
23139,first_purchase_pop_level,5
23200,new_emperor_chest_time,5
23201,new_emperor_chest_number,100
23202,new_emperor_chest_last,1
23203,new_emperor_chest,9013999
23204,new_emperor_task_unlock,0,0,0,1,2
24001,hero_unlockLevel,7
24002,system_unlock_delay,5
24003,levelup_guide_level,1|15
25001,allianceBoss_reward,9010001
25002,allianceBoss_freeTime,300
25003,alliance_boss_item,3200001
25004,max_rally_avatar_in_screen,3
25005,max_avatar_number_except_captain,4
25006,alliance_boss_open,3|1001,4|1001,4|1002,5|1001,5|1002,5|1003,5|2001,5|2002,5|2003
25007,alliance_boss_cd,691200
25008,alliance_boss_item_limit,500
25009,alliance_boss_attack_limit,86400
26001,building_upLevel,1|30
27001,time_drop,9018901
27002,time_dropMonsterId,1|2|3|5|60101|60201|41|42|43|44|1215001|1215101|1215201|51|52|53|9001|9002
28001,wonder_big_start,14
28002,wonder_big_weekday,7
28003,wonder_big_hour,10
28004,wonder_occupy_time,3600,1800|1800,900|1800,300
28005,wonder_downgrade_percent,0.3
28006,wonder_name_gold,200
28007,throne_buff_diamond,500,1000,2000,3000,4000,5000
28008,rank_throne_battle,1,1,320001|2,2,320002|3,3,320003|4,4,320004|5,5,320005|6,10,320006|11,20,320007|21,50,320008
28009,wonder_server_reward,310000
28010,silo_coutdown,90
28011,silo_kill_percent,200
28012,silo_new_S,200000
28013,silo_new_a0,4000
28014,silo_new_M,10
28015,silo_new_tmin,20
28101,worldbattle_buff,921002,3000|920800,3000|930000,2000|930100,2000
28102,worldbattle_domain_battle_time,1800
28103,worldbattle_domain_peace_time,5400
28201,deploy_route,448,128|448,896|64,896|64,128
28202,deploy_route_time,120|120|120|120
28203,deploy_round_time,600|600
28204,deploy_count_min,55
28205,deploy_count_max,56
28206,deploy_start_hour,9
28207,deploy_end_hour,10
28208,deploy_debuff,910300,-9000|930000,-6000|930100,-6000
28209,deploy_gift_time,36000
28210,deploy_guide,101,106,112,115
28211,deploy_transfer_mail,9013
28212,deploy_transfer_reward_multipletimes,5
28213,deploy_transfer_max_time,20
29001,mining_time,28800
29002,mining_reward01,5063001|5063002|5063003|5063004
29006,mining_reward_time,180
30001,limit_stay_time,360
30002,limit_cool_down,0
30003,limit_refresh_free_time,1
30004,limit_refresh_number,5
30005,limit_refresh_cost,50|100|200|200|200
30006,limit_number,9
30007,limit_open_level,9
30008,shop_exp_para,9000000
30009,shop_exp_level,45
31001,puzzle_synthesis,4000101|1,4000102|1,4000103|1,4000104|1,4000105|1,4000106|1,4000107|1,4000108|1,4000109|1
31002,puzzle_reward,9001701
31101,refugee_camp_monster_level,1
31102,refugee_camp_reward_captain,9103301
31103,refugee_camp_reward_member,9103302
31104,refugee_camp_member_reward_times,10
31105,dailyTask_chestReward_refugee,162001|162002|162103|162104
31106,refugee_camp_distance_min,3
31107,refugee_camp_distance_max,30
40001,turn_card_reset_free_count,0
40002,turn_card_reset_pay_count,3
40003,turn_card_reset_pay_cost,50
40004,turn_card_buy_cost1,80
40005,turn_card_buy_cost2,720
40006,turn_card_buy_count_limit,300
40007,turn_card_guide_time,5
40008,turn_card_bottom_count,180
32001,kill_monster_para,5
41001,charge_app_reward_cost_limit,30
41002,charge_app_reward,5900002
41003,charge_app_mail,10001
11111,gou_unlock,3
33001,activity_summer_task_num,35
33002,activity_summer_task_reward,9002418
33003,grow_road_refreshTime,30
42001,march_skin_default,0
43001,headframe_default,0
44001,hero_gift_level_limit,10
33004,grow_road_level,20
33005,activity_advance,1
45001,alliance_dismiss_star_limit,1
45002,alliance_dismiss_star_time,604800
45003,alliance_five_star_reward,126
1016,init_mountain,1;803|2;703|3;603|4;503|5;504|6;505|8;707|9;807|10:1107|11;708|11;808|11;908|12;705|13;805|10;709|10;308|10;1007|10;1206|10;1307|10;1207|10;1208|19;608|20;903|21;904|20;1005|21;1006|21;607|20;711|19;712|22;907|23;708|24;808|25;908|26;1106|11;809|10;1108|11;809
34001,summer_activity_monster_pos,8
34002,summer_activity_monster_posmax,16
34003,summer_activity_monster_level,3
50001,cointree_unlock_level,2
50002,cointree_unlock_civilnum,16
60001,ad_gold_free_base_fail,30
60002,ad_get_gold_fail,30|30|30|30|30|30|30|30|30|30|30|30|30|30|30|30|30|30|30|30
46001,new_player_activity_countdown,7
34201,world_rank_time,30
34202,world_rank_level,45
34203,world_rank_population,100
34204,world_rank_baseServerId,1
34205,world_rank_hero_ratio,200
34206,world_rank_hero_qualityratio,1|1.2|1.5
34207,world_rank_war_ratio_live,0.25|0.25|0.1|0.15
34208,world_rank_war_ratio_attack,0.25|0.25|0.1|0.15|0.2|0.1
34209,world_rank_war_ratio_power,0.5
70001,cross_server_battlefield_coordinate,60,66|60,962|451,67|451,963
70002,cross_server_nomanland_id,1|8|22|15
70003,cross_server_wonder_occupy_time,3600,1800|1800,900|1800,300
70004,cross_wonder_time,180
