id,name,buff_isopen,buff,reward,theme_icon,content,order,buff_desc,time,endtime
int,string,int,string,int,string,string,int,string,string,string
1201,Holiday Decor Set,1,123014|1,9010215,Banner_BuildingDecoration_1,48001|48021|48041|48061|48081|48101|48121|48141|48161|48181|48201,1,By collecting all the {0} decors, you can permanently activate the {1} decor attributes without placing them on site. With the following rewards:,,
1202,Giggling Castle,1,123014|1,9010215,Banner_BuildingDecoration_2,46300|46320|46340|46360|46380|46400|46420|46440|46460|46480,2,By collecting all the {0} decors, you can permanently activate the {1} decor attributes without placing them on site. With the following rewards:,,
1203,Thanksgiving Feast,1,123014|1,9010215,Banner_BuildingDecoration_3,46580|46600|46620|46640|46660|46680|46700|46720|46740|46760,3,By collecting all the {0} decors, you can permanently activate the {1} decor attributes without placing them on site. With the following rewards:,,
1204,Home, Sweet Home,1,123014|1,9010215,Banner_BuildingDecoration_4,46921|46922|46923|46924|46925|46926|46927|46928|46929|46930,4,By collecting all the {0} decors, you can permanently activate the {1} decor attributes without placing them on site. With the following rewards:,,
1205,Rip Tides,1,123014|1,9010215,Banner_BuildingDecoration_5,47021|47022|47023|47024|47025|47026|47027|47028|47029|47020,5,By collecting all the {0} decors, you can permanently activate the {1} decor attributes without placing them on site. With the following rewards:,,
1206,Just For You,1,123014|1,9010215,Banner_BuildingDecoration_6,47171|47172|47173|47174|47175|47176|47177|47178|47179|47180,5,By collecting all the {0} decors, you can permanently activate the {1} decor attributes without placing them on site. With the following rewards:,,
1207,Moon and Starlight,1,123014|1,9010215,Banner_BuildingDecoration_7,47236|47237|47238|47239|47240|47241|47242|47243|47244|47245,5,By collecting all the {0} decors, you can permanently activate the {1} decor attributes without placing them on site. With the following rewards:,,
1208,Happy 24h,1,123014|1,9010215,Banner_BuildingDecoration_8,47361|47362|47363|47364|47365|47366|47367|47368|47369|47370,6,By collecting all the {0} decors, you can permanently activate the {1} decor attributes without placing them on site. With the following rewards:,,
1209,Military Life,1,123014|1,9010215,Banner_BuildingDecoration_9,47446|47447|47448|47449|47450|47451|47452|47453|47454|47455,6,By collecting all the {0} decors, you can permanently activate the {1} decor attributes without placing them on site. With the following rewards:,,
1210,Industrial Era,1,123014|1,9010215,Banner_BuildingDecoration_10,47606|47607|47608|47609|47610|47611|47612|47613|47614|47615,10,By collecting all the {0} decors, you can permanently activate the {1} decor attributes without placing them on site. With the following rewards:,2021-7-15-0-0-0,2029-10-30-23-59-59
1211,The Wizard of TW,1,123014|1,9010215,Banner_BuildingDecoration_11_ar,47721|47722|47723|47724|47725|47726|47727|47728|47729|47730,11,By collecting all the {0} decors, you can permanently activate the {1} decor attributes without placing them on site. With the following rewards:,,
