id,level,kind,name,icon,hour,fraction,fraction2,probability,people1,probability1,people2,probability2,point1,point2,point3,point4,point5,point6,weight,army,produce,surprise,surprise1,produce_show,appear_level
int,int,int,string,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,long,int,string,string,int
1,1,1,106935,heterogeneous_ore_gold_level_1,3,5,8,40,1000,50,2000,100,90,40,,,,,100,35001,6000000000.0,9017560,1000004|1900001|2400001,1|1,
2,2,1,106935,heterogeneous_ore_gold_level_2,5,10,20,45,600,60,1000,100,10,50,40,20,,,80,35002,18000000000.0,9017561,1000004|1900001|2400002,1|1,
3,3,1,106935,heterogeneous_ore_gold_level_3,7,15,30,50,300,70,600,100,,10,40,30,30,10,60,35003,45000000000.0,9017562,1000005|1900001|2400002,1|1,
4,4,1,106935,heterogeneous_ore_gold_level_4,9,20,40,55,100,80,200,100,,,20,40,40,30,40,35004,67500000000.0,9017563,1000005|1900001|2400003,1|1,
5,5,1,106935,heterogeneous_ore_gold_level_5,11,30,60,70,50,90,100,100,,,,10,30,60,20,35005,81000000000.0,9017564,1000006|1900002|2400004,1|1,
6,1,2,Tech Mine,heterogeneous_ore_science_level_1,3,5,8,40,1000,50,2000,100,90,40,,,,,200,35006,50.0,9017560,1000004|1900001|2400001,2|1800001,
7,2,2,Tech Mine,heterogeneous_ore_science_level_2,5,10,20,45,600,60,1000,100,10,50,40,20,,,100,35007,70.0,9017561,1000004|1900001|2400002,2|1800001,
8,3,2,Tech Mine,heterogeneous_ore_science_level_3,7,15,30,50,300,70,600,100,,10,40,30,30,10,60,35008,90.0,9017562,1000005|1900001|2400002,2|1800001,
9,4,2,Tech Mine,heterogeneous_ore_science_level_4,9,20,40,55,100,80,200,100,,,20,40,40,30,20,35009,120.0,9017563,1000005|1900001|2400003,2|1800001,
10,5,2,Tech Mine,heterogeneous_ore_science_level_5,11,30,60,70,20,90,40,100,,,,10,30,60,10,35010,150.0,9017564,1000006|1900002|2400004,2|1800001,
11,1,3,Mutual Mine,heterogeneous_ore_thunder_level_4,3,5,8,20,10,50,20,100,,,,,,,0,35006,5.0,9017560,1000004|1900001|2400001,1|20,80
12,2,3,Mutual Mine,heterogeneous_ore_thunder_level_4,5,10,20,25,15,60,30,100,,,,,,,0,35007,10.0,9017561,1000004|1900001|2400002,1|20,80
13,3,3,Mutual Mine,heterogeneous_ore_thunder_level_4,7,15,30,40,20,70,40,100,,,,,,,0,35008,20.0,9017562,1000005|1900001|2400002,1|20,80
14,4,3,Mutual Mine,heterogeneous_ore_thunder_level_5,9,20,40,20,300,50,700,100,,,,,,,30,35009,30.0,9017563,1000005|1900001|2400003,1|20,78
15,5,3,Mutual Mine,heterogeneous_ore_thunder_level_4,11,30,60,70,5,90,10,100,,,,,,,0,35010,40.0,9017564,1000006|1900002|2400004,1|20,80
