id,name,desc,model,rate,reward,reward_count,drop_client,plot_quality,special_reward,function,type,car,prefab,map_zoom_icon
int,string,string,string,int,int,int,string,int,int,int,int,int,string,string
1,Supply,When the transport troop arrives to the Ruin held by your Alliance; you will have a chance to get,image/world_unit/world_airdrop1,100,9002309,10,4400019;50|4400019;10,1,,1,1,,,image/world_simple/world_simple_deploy
2,Supply,When the transport troop arrives to the Ruin held by your Alliance; you will have a chance to get,image/world_unit/world_airdrop1,100,9002309,10,4400019;50|4400019;10,1,,1,1,,,image/world_simple/world_simple_deploy
3,Supply,When the transport troop arrives to the Ruin held by your Alliance; you will have a chance to get,image/world_unit/world_airdrop1,100,9002309,10,4400019;50|4400019;10,1,,1,1,,,image/world_simple/world_simple_deploy
4,Supply,When the transport troop arrives to the Ruin held by your Alliance; you will have a chance to get,image/world_unit/world_airdrop1,100,9002309,10,4400019;50|4400019;10,1,,1,1,,,image/world_simple/world_simple_deploy
5,Supply,When the transport troop arrives to the Ruin held by your Alliance; you will have a chance to get,image/world_unit/world_airdrop1,100,9002309,10,4400019;50|4400019;10,1,,1,1,,,image/world_simple/world_simple_deploy
6,Supply,When the transport troop arrives to the Ruin held by your Alliance; you will have a chance to get,image/world_unit/world_airdrop1,100,9002309,10,4400019;50|4400019;10,1,,1,1,,,image/world_simple/world_simple_deploy
7,Supply,When the transport troop arrives to the Ruin held by your Alliance; you will have a chance to get,image/world_unit/world_airdrop1,100,9002309,10,4400019;50|4400019;10,1,,1,1,,,image/world_simple/world_simple_deploy
8,Supply,When the transport troop arrives to the Ruin held by your Alliance; you will have a chance to get,image/world_unit/world_airdrop1,100,9002309,10,4400019;50|4400019;10,1,,1,1,,,image/world_simple/world_simple_deploy
9,Supply,When the transport troop arrives to the Ruin held by your Alliance; you will have a chance to get,image/world_unit/world_airdrop1,100,9002309,10,4400019;50|4400019;10,1,,1,1,,,image/world_simple/world_simple_deploy
10,Supply,When the transport troop arrives to the Ruin held by your Alliance; you will have a chance to get,image/world_unit/world_airdrop1,100,9002309,10,4400019;50|4400019;10,1,,1,1,,,image/world_simple/world_simple_deploy
11,Supply,When the transport troop arrives to the Ruin held by your Alliance; you will have a chance to get,image/world_unit/world_airdrop1,100,9002309,10,4400019;50|4400019;10,1,,1,1,,,image/world_simple/world_simple_deploy
