id,type,index,cell_type,para,direction
int,int,int,int,int,string
1,1,1,1,9110901,1|2
2,1,2,1,9110902,1|4
3,1,3,3,3,2|4
4,1,4,1,9110903,1|5
5,1,5,1,9110904,2|4
6,1,6,1,9110905,1|5
7,1,7,2,2,2|4
8,1,8,1,9110906,3|5
9,1,9,1,9110907,4|6
10,1,10,1,9110908,4|1
11,1,11,1,9110909,2|1
12,1,12,4,-1,2|5
13,1,13,1,9110910,4|5
14,1,14,1,9110911,2|1
15,1,15,1,9110912,4|5
16,1,16,1,9110913,4|1
17,1,17,1,9110914,5|1
18,1,18,1,9110915,5|2
19,1,19,1,9110916,4|2
20,1,20,1,9110917,5|1
21,1,21,2,2,5|2
22,1,22,1,9110919,1|2
23,1,23,3,3,1|4
24,1,24,1,9110920,5|4
25,1,25,1,9110921,1|2
26,1,26,1,9110922,5|4
27,1,27,1,9110918,5|2
28,2,1,1,9110901,1|2
29,2,2,1,9110902,1|4
30,2,3,3,3,2|4
31,2,4,1,9110903,1|5
32,2,5,1,9110904,2|4
33,2,6,1,9110905,1|5
34,2,7,2,2,2|4
35,2,8,1,9110906,3|5
36,2,9,1,9110907,4|6
37,2,10,1,9110908,4|1
38,2,11,1,9110909,2|1
39,2,12,4,-1,2|5
40,2,13,1,9110910,4|5
41,2,14,1,9110911,2|1
42,2,15,1,9110912,4|5
43,2,16,1,9110913,4|1
44,2,17,1,9110914,5|1
45,2,18,1,9110915,5|2
46,2,19,1,9110916,4|2
47,2,20,1,9110917,5|1
48,2,21,2,2,5|2
49,2,22,1,9110919,1|2
50,2,23,3,3,1|4
51,2,24,1,9110920,5|4
52,2,25,1,9110921,1|2
53,2,26,1,9110922,5|4
54,2,27,1,9110918,5|2
55,3,1,1,9110901,1|2
56,3,2,1,9110902,1|4
57,3,3,3,3,2|4
58,3,4,1,9110903,1|5
59,3,5,1,9110904,2|4
60,3,6,1,9110905,1|5
61,3,7,2,2,2|4
62,3,8,1,9110906,3|5
63,3,9,1,9110907,4|6
64,3,10,1,9110908,4|1
65,3,11,1,9110909,2|1
66,3,12,4,-1,2|5
67,3,13,1,9110910,4|5
68,3,14,1,9110911,2|1
69,3,15,1,9110912,4|5
70,3,16,1,9110913,4|1
71,3,17,1,9110914,5|1
72,3,18,1,9110915,5|2
73,3,19,1,9110916,4|2
74,3,20,1,9110917,5|1
75,3,21,2,2,5|2
76,3,22,1,9110919,1|2
77,3,23,3,3,1|4
78,3,24,1,9110920,5|4
79,3,25,1,9110921,1|2
80,3,26,1,9110922,5|4
81,3,27,1,9110918,5|2
