id,resource_id,ratio,resource_count,display_id,stronghold_level,gather_multiplier,pos_x,pos_y,name_default,model,model_red,height,width,resource_type,icon,adjacent_area
int,string,string,int,int,int,int,int,int,string,string,string,int,int,int,string,string
1,501|701|101,10|20|20,55,1,1,11000,32,64,district_name_101,domain_0,domain_1,2,2,101,yaosai_icon,
2,501|701|101,10|20|20,55,9,1,11000,32,192,Region (02),domain_0,domain_1,2,2,101,yaosai_icon,
3,501|701|101,10|20|20,55,17,1,11000,32,320,No Man's Land (03),domain_0,domain_1,2,2,101,yaosai_icon,
4,501|701|101,10|20|20,55,25,1,11000,32,448,No Man's Land (04),domain_0,domain_1,2,2,101,yaosai_icon,
5,501|701|101,10|20|20,55,33,1,11000,32,576,Region (05),domain_0,domain_1,2,2,101,yaosai_icon,
6,501|701|101,10|20|20,55,41,1,11000,32,704,No Man's Land (6),domain_0,domain_1,2,2,101,yaosai_icon,
7,501|701|101,10|20|20,55,49,1,11000,32,832,Africa (07),domain_0,domain_1,2,2,101,yaosai_icon,
8,501|701|101,10|20|20,55,57,1,11000,32,960,district_name_108,domain_0,domain_1,2,2,101,yaosai_icon,
9,501|701|101,10|20|20,55,58,1,11000,96,960,Region (09),domain_0,domain_1,2,2,101,yaosai_icon,
10,501|701|101,10|20|20,55,59,1,11000,160,960,No Man's Land (10),domain_0,domain_1,2,2,101,yaosai_icon,
11,501|701|101,10|20|20,55,60,1,11000,224,960,Asia (11),domain_0,domain_1,2,2,101,yaosai_icon,
12,501|701|101,10|20|20,55,61,1,11000,288,960,No Man's Land (12),domain_0,domain_1,2,2,101,yaosai_icon,
13,501|701|101,10|20|20,55,62,1,11000,352,960,Region (13),domain_0,domain_1,2,2,101,yaosai_icon,
14,501|701|101,10|20|20,55,63,1,11000,416,960,Region (14),domain_0,domain_1,2,2,101,yaosai_icon,
15,501|701|101,10|20|20,55,64,1,11000,480,960,district_name_115,domain_0,domain_1,2,2,101,yaosai_icon,
16,501|701|101,10|20|20,55,56,1,11000,480,832,No Man's Land (16),domain_0,domain_1,2,2,101,yaosai_icon,
17,501|701|101,10|20|20,55,48,1,11000,480,704,Region (17),domain_0,domain_1,2,2,101,yaosai_icon,
18,501|701|101,10|20|20,55,40,1,11000,480,576,No Man's Land (18),domain_0,domain_1,2,2,101,yaosai_icon,
19,501|701|101,10|20|20,55,32,1,11000,480,448,Colombia (19),domain_0,domain_1,2,2,101,yaosai_icon,
20,501|701|101,10|20|20,55,24,1,11000,480,320,No Man's Land (20),domain_0,domain_1,2,2,101,yaosai_icon,
21,501|701|101,10|20|20,55,16,1,11000,480,192,Region (21),domain_0,domain_1,2,2,101,yaosai_icon,
22,501|701|101,10|20|20,55,8,1,11000,480,64,district_name_122,domain_0,domain_1,2,2,101,yaosai_icon,
23,501|701|101,10|20|20,55,7,1,11000,416,64,No Man's Land (23),domain_0,domain_1,2,2,101,yaosai_icon,
24,501|701|101,10|20|20,55,6,1,11000,352,64,No Man's Land (24),domain_0,domain_1,2,2,101,yaosai_icon,
25,501|701|101,10|20|20,55,5,1,11000,288,64,Region (25),domain_0,domain_1,2,2,101,yaosai_icon,
26,501|701|101,10|20|20,55,4,1,11000,224,64,No Man's Land (26),domain_0,domain_1,2,2,101,yaosai_icon,
27,501|701|101,10|20|20,55,3,1,11000,160,64,Ukraine (27),domain_0,domain_1,2,2,101,yaosai_icon,
28,501|701|101,10|20|20,55,2,1,11000,96,64,No Man's Land (28),domain_0,domain_1,2,2,101,yaosai_icon,
29,501|701|101,10|20|20,55,10,2,11500,96,192,No Man's Land (29),domain_0,domain_1,2,2,101,yaosai_icon,
30,501|701|101,10|20|20,55,18,2,11500,96,320,Region (30),domain_0,domain_1,2,2,101,yaosai_icon,
31,501|701|101,10|20|20,55,26,2,11500,96,448,Region (31),domain_0,domain_1,2,2,101,yaosai_icon,
32,501|701|101,10|20|20,55,34,2,11500,96,576,No Man's Land (32),domain_0,domain_1,2,2,101,yaosai_icon,
33,501|701|101,10|20|20,55,42,2,11500,96,704,Region (33),domain_0,domain_1,2,2,101,yaosai_icon,
34,501|701|101,10|20|20,55,50,2,11500,96,832,No Man's Land (34),domain_0,domain_1,2,2,101,yaosai_icon,
35,501|701|101,10|20|20,55,51,2,11500,160,832,Region (35),domain_0,domain_1,2,2,101,yaosai_icon,
36,501|701|101,10|20|20,55,52,2,11500,224,832,Region (36),domain_0,domain_1,2,2,101,yaosai_icon,
37,501|701|101,10|20|20,55,53,2,11500,288,832,Region (37),domain_0,domain_1,2,2,101,yaosai_icon,
38,501|701|101,10|20|20,55,54,2,11500,352,832,No Man's Land (38),domain_0,domain_1,2,2,101,yaosai_icon,
39,501|701|101,10|20|20,55,55,2,11500,416,832,No Man's Land (39),domain_0,domain_1,2,2,101,yaosai_icon,
40,501|701|101,10|20|20,55,47,2,11500,416,704,Region (40),domain_0,domain_1,2,2,101,yaosai_icon,
41,501|701|101,10|20|20,55,39,2,11500,416,576,Region (41),domain_0,domain_1,2,2,101,yaosai_icon,
42,501|701|101,10|20|20,55,31,2,11500,416,448,No Man's Land (42),domain_0,domain_1,2,2,101,yaosai_icon,
43,501|701|101,10|20|20,55,23,2,11500,416,320,Region (43),domain_0,domain_1,2,2,101,yaosai_icon,
44,501|701|101,10|20|20,55,15,2,11500,416,192,Region (44),domain_0,domain_1,2,2,101,yaosai_icon,
45,501|701|101,10|20|20,55,14,2,11500,352,192,No Man's Land (45),domain_0,domain_1,2,2,101,yaosai_icon,
46,501|701|101,10|20|20,55,13,2,11500,288,192,Region (46),domain_0,domain_1,2,2,101,yaosai_icon,
47,501|701|101,10|20|20,55,12,2,11500,224,192,No Man's Land (47),domain_0,domain_1,2,2,101,yaosai_icon,
48,501|701|101,10|20|20,55,11,2,11500,160,192,Region (48),domain_0,domain_1,2,2,101,yaosai_icon,
49,501|701|101,10|20|20,55,19,3,12000,160,320,No Man's Land (49),domain_0,domain_1,2,2,101,yaosai_icon,
50,501|701|101,10|20|20,55,27,3,12000,160,448,Region (50),domain_0,domain_1,2,2,101,yaosai_icon,
51,501|701|101,10|20|20,55,35,3,12000,160,576,Region (51),domain_0,domain_1,2,2,101,yaosai_icon,
52,501|701|101,10|20|20,55,43,3,12000,160,704,Region (52),domain_0,domain_1,2,2,101,yaosai_icon,
53,501|701|101,10|20|20,55,44,3,12000,224,704,Region (53),domain_0,domain_1,2,2,101,yaosai_icon,
54,501|701|101,10|20|20,55,45,3,12000,288,704,Region (54),domain_0,domain_1,2,2,101,yaosai_icon,
55,501|701|101,10|20|20,55,46,3,12000,352,704,Region (55),domain_0,domain_1,2,2,101,yaosai_icon,
56,501|701|101,10|20|20,55,38,3,12000,352,576,No Man's Land (56),domain_0,domain_1,2,2,101,yaosai_icon,
57,501|701|101,10|20|20,55,30,3,12000,352,448,Region (57),domain_0,domain_1,2,2,101,yaosai_icon,
58,501|701|101,10|20|20,55,22,3,12000,352,320,Region (58),domain_0,domain_1,2,2,101,yaosai_icon,
59,501|701|101,10|20|20,55,21,3,12000,288,320,Region (59),domain_0,domain_1,2,2,101,yaosai_icon,
60,501|701|101,10|20|20,55,20,3,12000,224,320,Region (60),domain_0,domain_1,2,2,101,yaosai_icon,
61,501|701|101,10|20|20,55,28,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,20;27
62,501|701|101,10|20|20,55,36,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,35;44
63,501|701|101,10|20|20,55,37,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,45;38
64,501|701|101,10|20|20,55,29,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,30;21
