id,item,num,power,type,group,flash
int,int,int,int,int,int,int
1,1,1,17,2,1,
2,2300003,1,1,3,1,1
3,2800000,1,7,3,1,
4,2100002,1,2,3,1,1
5,3300001,1,3,3,1,
6,1700013,1,5,3,1,
7,1000003,1,20,3,1,
8,920003,1,5,3,1,
9,910003,1,5,3,1,
10,99910001,1,15,3,1,
11,99910101,5,20,3,1,
12,1800001,10,17,3,1,
13,1,1,170,2,2,
14,2300003,1,5,3,2,1
15,2300002,1,50,3,2,
16,1000003,1,50,3,2,1
17,2540002,1,50,3,2,
18,3300001,1,50,3,2,
19,323001,1,150,3,2,
20,1800001,1,300,3,2,
21,1700011,1,100,3,2,
22,500000,1,245,3,2,
23,1,1,170,2,3,
24,2300003,1,5,3,3,1
25,2300002,1,50,3,3,
26,1000003,1,50,3,3,1
27,2540002,1,50,3,3,
28,3300001,1,50,3,3,
29,323001,1,150,3,3,
30,1800001,1,300,3,3,
31,1700011,1,100,3,3,
32,500000,1,245,3,3,
33,1,1,300,2,4,
34,2300003,1,50,3,4,
35,1700015,1,100,3,4,
36,1700013,1,150,3,4,
37,3300001,2,100,3,4,
38,323001,10,300,3,4,
39,1800001,20,300,3,4,
