id,type,level,tokentype,upgrade,reward1,reward2,reward3,reward4,reward5,exreward1,exreward2,exreward3,exreward4,exreward5
int,int,int,int,int,string,string,string,string,string,string,string,string,string,string
1,205,-1,1,60,9019009|0,9019009|0,9019009|0,9019009|0,9019009|0,9019009|0,9019009|0,9019009|0,9019009|0,9019009|0
2,205,0,1,0,9019008|0,9019008|0,9019008|0,9019008|0,9019008|0,9019008|0,9019008|0,9019008|0,9019008|0,9019008|0
3,205,1,1,60,9019001|0,9019001|0,9019001|0,9019001|0,9019001|0,9019001|0,9019001|0,9019001|0,9019001|0,9019001|0
4,205,2,1,170,9019002|0,9019002|0,9019002|0,9019002|0,9019002|0,9019002|0,9019002|0,9019002|0,9019002|0,9019002|0
5,205,3,1,510,9019003|0;9019103|2,9019003|0;9019203|2,9019003|0;9019303|2,9019003|0;9019403|2,9019003|0;9019503|2,9019003|0;9019103|2,9019003|0;9019203|2,9019003|0;9019303|2,9019003|0;9019403|2,9019003|0;9019503|2
6,205,4,1,1530,9019004|0;9019104|2,9019004|0;9019204|2,9019004|0;9019304|2,9019004|0;9019404|2,9019004|0;9019504|2,9019004|0;9019104|2,9019004|0;9019204|2,9019004|0;9019304|2,9019004|0;9019404|2,9019004|0;9019504|2
7,205,5,1,4400,9019005|0;9019105|2,9019005|0;9019205|2,9019005|0;9019305|2,9019005|0;9019405|2,9019005|0;9019505|2,9019005|0;9019105|2,9019005|0;9019205|2,9019005|0;9019305|2,9019005|0;9019405|2,9019005|0;9019505|2
8,205,6,1,8800,9019106|1;9019006|0,9019206|1;9019006|0,9019306|1;9019006|0,9019406|1;9019006|0,9019506|1;9019006|0,9019106|1;9019006|0,9019206|1;9019006|0,9019306|1;9019006|0,9019406|1;9019006|0,9019506|1;9019006|0
9,205,7,1,,9019107|1;9019007|0,9019207|1;9019007|0,9019307|1;9019007|0,9019407|1;9019007|0,9019507|1;9019007|0,9019107|1;9019007|0,9019207|1;9019007|0,9019307|1;9019007|0,9019407|1;9019007|0,9019507|1;9019007|0
10,80,-1,2,30,9019009|0,9019009|0,9019009|0,9019009|0,9019009|0,9019009|0,9019009|0,9019009|0,9019009|0,9019009|0
11,80,0,2,0,9019008|0,9019008|0,9019008|0,9019008|0,9019008|0,9019008|0,9019008|0,9019008|0,9019008|0,9019008|0
12,80,1,2,30,9019001|0,9019001|0,9019001|0,9019001|0,9019001|0,9019001|0,9019001|0,9019001|0,9019001|0,9019001|0
13,80,2,2,80,9019002|0,9019002|0,9019002|0,9019002|0,9019002|0,9019002|0,9019002|0,9019002|0,9019002|0,9019002|0
14,80,3,2,250,9019003|0;9019103|2,9019003|0;9019203|2,9019003|0;9019303|2,9019003|0;9019403|2,9019003|0;9019503|2,9019003|0;9019103|2,9019003|0;9019203|2,9019003|0;9019303|2,9019003|0;9019403|2,9019003|0;9019503|2
15,80,4,2,750,9019004|0;9019104|2,9019004|0;9019204|2,9019004|0;9019304|2,9019004|0;9019404|2,9019004|0;9019504|2,9019004|0;9019104|2,9019004|0;9019204|2,9019004|0;9019304|2,9019004|0;9019404|2,9019004|0;9019504|2
16,80,5,2,2200,9019005|0;9019105|2,9019005|0;9019205|2,9019005|0;9019305|2,9019005|0;9019405|2,9019005|0;9019505|2,9019005|0;9019105|2,9019005|0;9019205|2,9019005|0;9019305|2,9019005|0;9019405|2,9019005|0;9019505|2
17,80,6,2,4400,9019106|1;9019006|0,9019206|1;9019006|0,9019306|1;9019006|0,9019406|1;9019006|0,9019506|1;9019006|0,9019106|1;9019006|0,9019206|1;9019006|0,9019306|1;9019006|0,9019406|1;9019006|0,9019506|1;9019006|0
18,80,7,2,,9019107|1;9019007|0,9019207|1;9019007|0,9019307|1;9019007|0,9019407|1;9019007|0,9019507|1;9019007|0,9019107|1;9019007|0,9019207|1;9019007|0,9019307|1;9019007|0,9019407|1;9019007|0,9019507|1;9019007|0
