id,string,category,type,value_type,op,target,paraType1,para1,paraType2,para2,paraType3,para3,paraType4,para4,icon,battle_type,time_limit,effective_conditions,once_limit,group,is_minus,targetBuffType,only_effect,sustained_buff,buff_rate,para_condition
int,string,int,int,int,int,int,string,string,string,string,string,string,string,string,string,int,int,int,int,int,int,int,int,string,int,string
800000,104852,0,,,,,,,,,,,,,,0,0,,0,0,,,,,,
810000,104853,0,,,,,,,,,,,,,,0,0,,0,0,,,,,,
810001,104854,0,,,,,,,,,,,,,,0,0,,0,0,,,,,,
810002,104855,0,,,,,,,,,,,,,,0,0,,0,0,,,,,,
810003,104856,0,,,,,,,,,,,,,,0,0,,0,0,,,,,,
820000,104857,0,,1,,,,,,,,,,,,0,0,,0,0,,,,,,
820001,104858,0,,,,,,,,,,,,,,0,0,,0,0,,,,,,
820002,104859,0,,,,,,,,,,,,,,0,0,,0,0,,,,,,
820003,104860,0,,,,,,,,,,,,,,0,0,,0,0,,,,,,
820004,104861,0,,,,,,,,,,,,,,0,0,,0,0,,,,,,
820005,104862,0,,,,,,,,,,,,,,0,0,,0,0,,,,,,
820006,104863,0,,,,,,,,,,,,,,0,0,,0,0,,,,,,
1200007,Upload Profile Image,0,176,1,,,,,,,,,,,,0,0,,0,0,,,,,,
830000,104864,0,1,1,0,0,ArmyType,5,ArmyTier,1,,,,,,0,0,,0,0,,,,,,
910100,104865,1,101,1,0,0,,,,,,,,,,0,0,,0,0,,,,,,
910200,104866,1,102,1,0,0,,,,,,,,,,0,0,,0,910200,,,,,,
910300,104867,1,103,10000,0,0,,,,,,,,,,0,0,,0,0,,,,,,
910301,104868,1,103,10000,0,0,MarchType,5,,,,,,,,0,0,,0,0,,,,,,
910302,Increased daily limit for purchasing Gold in store.,1,142,1,0,0,,,,,,,,,,0,0,,0,0,,,,,,
920400,104869,1,104,1,0,0,,,,,,,,,,0,0,,0,0,,,,,,
920500,104870,1,105,1,0,0,,,,,,,,,,0,0,,0,0,,,,,,
920600,104871,1,106,1,0,0,,,,,,,,,,0,0,,0,0,,,,,,
920700,104872,1,107,1,0,0,,,,,,,,,,0,0,,0,0,,,,,,
920701,112196,1,141,10000,0,0,,,,,,,,,,0,0,,0,0,,,,,,
920800,104873,1,108,10000,0,0,,,,,,,,,,0,0,,0,920800,,,,,,
920801,118758,1,108,10000,0,0,BuildingGroup,1040,,,,,,,,0,0,,0,0,,,,,,
920802,118759,1,108,10000,0,0,BuildingGroup,1100,,,,,,,,0,0,,0,0,,,,,,
920803,118760,1,108,10000,0,0,BuildingGroup,1050,,,,,,,,0,0,,0,0,,,,,,
921011,104983,1,131,10000,0,0,BuildingGroup,1040,,,,,,,,0,0,,0,0,,,,,,
921012,104983,1,131,10000,0,0,BuildingGroup,1100,,,,,,,,0,0,,0,0,,,,,,
921013,104983,1,131,10000,0,0,BuildingGroup,1050,,,,,,,,0,0,,0,0,,,,,,
