id,type,order,buff_id,display,group
int,int,int,string,int,int
1001,1,1010,930000;1101041;1003001;930013,0,100
1002,1,11000,930001;1101020;950005;1003005,0,100
1003,1,21000,930002;1101021;1003006;950006;9990018,0,100
1004,1,31000,930003;1101022;950007;1003007,0,100
1005,1,1020,930100;1101042;1003002;2930100,0,200
1006,1,11010,930101;1101024;950008;1003008;2000001;9990013,0,200
1007,1,21010,930102;1101025;950009;1003009;2000002,0,200
1008,1,31010,930103;1101026;950010;1003010;2000003,0,200
1009,1,21120,930107,0,
1010,1,31120,930108,0,
1011,1,11120,930109,0,
1012,1,21110,930504,0,
1013,1,31110,930505,0,
1014,1,11110,930506,0,
1015,1,1050,930200;1101027;1003003,0,600
1016,1,11040,930201;1003011,0,600
1017,1,21040,930202;1003012;2003012;9990012,0,600
1018,1,31040,930203;1003013,0,600
1019,1,1070,930300,0,500
1020,1,11090,930301;1003014;2930301,0,500
1021,1,21090,930302;1003015,0,500
1022,1,31090,930303;1003016;9990019,0,500
1023,1,11100,930401,0,400
1024,1,21100,930402,0,400
1025,1,31100,930403,0,400
1026,1,40100,950004,0,
1027,1,40010,960012;1131007,0,300
1028,1,43030,970003;1101023,0,1000
1029,1,43015,910300,0,
1030,1,43020,910301;960021,0,
1031,1,70010,970005,0,
1032,1,70020,970001;990101,0,
1033,1,75010,960002;2960002,0,900
1034,1,75020,970002,0,800
1035,1,210,991000,0,
1036,1,220,991001,0,
1037,1,280,991002,0,
1038,1,260,991006,0,
1039,1,230,991007,0,
1040,1,240,991008,0,
1041,1,75310,991005,0,
1042,1,290,991003,0,
1043,1,250,991009,0,
1044,1,210,991100,0,
1045,1,220,991101,0,
1046,1,280,991102,0,
1047,1,250,991106,0,
1048,1,230,991107,0,
1049,1,240,991108,0,
1050,1,75310,991105,0,
1051,1,290,991103,0,
1052,1,270,991109,0,
1053,1,210,991200,0,
1054,1,220,991201,0,
1055,1,280,991202,0,
1056,1,250,991206,0,
1057,1,230,991207,0,
1058,1,240,991208,0,
1059,1,75310,991205,0,
1060,1,290,991203,0,
1061,1,270,991209,0,
1063,1,1040,980204;1101040;1131002,0,402
1064,1,42030,980104,0,
1065,1,42040,980205,0,
1066,1,43040,990001,0,
1069,1,11030,1101015;1003020;980201;2003020,0,402
1070,1,21030,1101016;1003021;2101016;980202,0,402
1071,1,31030,1101017;1003022;980203;9990016,0,700
1072,1,45010,1201001,1,
1073,1,45020,1201002,1,
1074,1,41100,1101013,0,
1075,1,21050,1003024;980302;2003024,0,600
1076,1,31050,1003025;980303;2003025,0,600
1077,1,48010,990117,0,
1078,1,48020,990118,0,
1079,1,48030,990121,0,
1080,1,70030,990101,0,
1081,1,72010,981061;1131006,0,
1082,1,72020,981062;1131006,0,
1083,1,73010,981063,0,
1084,1,72030,981060;1131006,0,
1085,1,44010,990124,0,
1086,1,44020,990125,0,
1087,1,21020,980102;1003018;2980102,0,401
1088,1,1080,1131008,0,450
2001,2,76010,921001;1101050,0,
2004,2,76020,920900;1101051,0,
2005,2,71010,920800;1101018,0,
2006,2,73020,921002;1101019,0,
2007,2,74010,950001,0,
2009,2,73030,930014,0,
2010,2,76030,921010,0,
2011,2,71020,920801,0,
2012,2,71030,920802;2920802,0,
2013,2,71040,920803;2920803,0,
2014,2,76310,991004,0,
2015,1,1030,1001001;1131001,0,1100
2016,1,1060,1001002;1101028;1131005,0,1200
2017,2,76310,991104,0,
2018,2,76310,991204,0,
2019,1,1090,1130010;990488,0,
2020,1,1100,1130011,0,
3000,1,11050,1003023;980301;9990011,0,600
3001,1,11080,980501;1003029,0,450
3002,1,20080,980502;1003030;9990015,0,450
3003,1,31080,980503;1003031,0,450
3004,1,11020,980101;1003017;2980101,0,401
3005,1,31020,980103;1003019;1003041;9990014,0,401
3006,1,11070,980401;1003026;9990017,0,600
3007,1,21070,980402;1003027,0,600
3008,1,31070,980403;1003028,0,600
1090,1,1080,990202,0,800
1091,1,11105,990203,0,800
1092,1,21105,990204,0,800
1093,1,31105,990205,0,800
1094,1,71030,990220,0,800
1096,1,41010,21012863,0,
1097,1,41010,990100,0,
1098,1,41020,990221;2990221,0,
1100,1,280,990162,0,
1101,1,42010,990000,0,
1102,1,110,990191,0,
1103,1,120,990192,0,
1104,1,130,990197,0,
1105,1,140,990198,0,
3009,1,21300,990129,0,
3010,1,42020,990130;2990130,0,
3011,1,1210,990134,0,
3012,1,70310,990143,0,
3013,1,240,990145,0,
