group_id,Elements Lab_skill,Explosion (Basic)_skill,Piercing (Basic)_skill
int,int,int,int
1,1011021,1011022,1011023
2,1012011,1012012,1012013
3,1013011,1013012,1013013
4,1112011,2222011,3332011
5,1112012,2222012,3332012
6,1112013,2222013,3332013
7,1112014,2222014,3332014
8,1112015,2222015,3332015
9,1112021,2222021,3332021
10,1112022,2222022,3332022
11,1112023,2222023,3332023
12,1112024,2222024,3332024
13,1112025,2222025,3332025
14,1112031,2222031,3332031
15,1112032,2222032,3332032
16,1112033,2222033,3332033
17,1112034,2222034,3332034
18,1112035,2222035,3332035
