id,group_id,level,ele_star,max_level,attr_num,buff_lu,buff_num_lu,buff_h,buff_num_h,buff_k,buff_num_k,name,desc_num,desc,desc_current_1,desc_current_2,desc_2,desc_current_2_1,desc_current_2_2,desc_3,desc_current_3_1,desc_current_3_2,item_id,item_num,coin,unlock_level,condition_science_id,condition_science,condition_science_Lv,icon,icon2,power
int,int,int,int,int,double,int,int,int,int,int,int,string,int,string,string,string,string,string,string,string,string,string,int,int,double,int,int,string,int,string,string,int
1000000,10,0,,310,0.0,,,,,,,Elements Lab,1,Elemental HP increase,0,420000,,,,,,,99910001,0,0.0,0,,,,icon_ElementTower,bg_item_ElementScience1,0
1000001,10,1,1,310,420000.0,,,,,,,Elements Lab,1,Elemental HP increase,420000,428000,,,,,,,99910001,10,0.0,50,,,,icon_ElementTower,bg_item_ElementScience1,60
1000002,10,2,,310,848000.0,,,,,,,Elements Lab,1,Elemental HP increase,848000,468000,,,,,,,99910001,18,0.0,50,,,,icon_ElementTower,bg_item_ElementScience1,120
1000003,10,3,,310,1316000.0,,,,,,,Elements Lab,1,Elemental HP increase,1316000,472000,,,,,,,99910001,22,0.0,50,,,,icon_ElementTower,bg_item_ElementScience1,190
1000004,10,4,,310,1788000.0,,,,,,,Elements Lab,1,Elemental HP increase,1788000,512000,,,,,,,99910001,25,0.0,50,,,,icon_ElementTower,bg_item_ElementScience1,260
1000005,10,5,,310,2300000.0,,,,,,,Elements Lab,1,Elemental HP increase,2300000,516000,,,,,,,99910001,26,0.0,50,,,,icon_ElementTower,bg_item_ElementScience1,330
1000006,10,6,,310,2816000.0,,,,,,,Elements Lab,1,Elemental HP increase,2816000,564000,,,,,,,99910001,27,0.0,50,,,,icon_ElementTower,bg_item_ElementScience1,400
1000007,10,7,,310,3380000.0,,,,,,,Elements Lab,1,Elemental HP increase,3380000,572000,,,,,,,99910001,31,0.0,50,,,,icon_ElementTower,bg_item_ElementScience1,470
1000008,10,8,,310,3952000.0,,,,,,,Elements Lab,1,Elemental HP increase,3952000,620000,,,,,,,99910001,32,0.0,50,,,,icon_ElementTower,bg_item_ElementScience1,540
1000009,10,9,,310,4572000.0,,,,,,,Elements Lab,1,Elemental HP increase,4572000,628000,,,,,,,99910001,38,0.0,50,,,,icon_ElementTower,bg_item_ElementScience1,620
1000010,10,10,,310,5200000.0,,,,,,,Elements Lab,1,Elemental HP increase,5200000,308000,,,,,,,99910001,39,0.0,50,,,,icon_ElementTower,bg_item_ElementScience1,700
1000011,10,11,,310,5508000.0,,,,,,,Elements Lab,1,Elemental HP increase,5508000,312000,,,,,,,99910001,44,0.0,51,,,,icon_ElementTower,bg_item_ElementScience1,780
1000012,10,12,,310,5820000.0,,,,,,,Elements Lab,1,Elemental HP increase,5820000,340000,,,,,,,99910001,45,0.0,51,,,,icon_ElementTower,bg_item_ElementScience1,860
1000013,10,13,,310,6160000.0,,,,,,,Elements Lab,1,Elemental HP increase,6160000,344000,,,,,,,99910001,53,0.0,51,,,,icon_ElementTower,bg_item_ElementScience1,940
1000014,10,14,,310,6504000.0,,,,,,,Elements Lab,1,Elemental HP increase,6504000,376000,,,,,,,99910001,54,0.0,51,,,,icon_ElementTower,bg_item_ElementScience1,1030
1000015,10,15,,310,6880000.0,,,,,,,Elements Lab,1,Elemental HP increase,6880000,380000,,,,,,,99910001,63,0.0,51,,,,icon_ElementTower,bg_item_ElementScience1,1120
