id,type,path,obtain,para
int,int,string,int,int
1,1,image/item/item_20120201,1,20120201
2,1,image/item/item_20120202,1,20120202
3,1,image/item/item_20120203,4,
4,1,image/item/item_20120204,2,551
5,1,image/item/item_20120205,1,20120205
6,1,image/item/item_20120206,3,
7,1,image/item/item_20120207,1,20120207
8,1,image/item/item_20120208,1,20120208
9,1,image/item/item_20120209,3,
10,1,image/item/item_20120210,3,
11,1,image/item/item_20120211,3,
12,1,image/item/item_20120212,4,
13,1,image/item/item_20120213,3,
14,1,image/item/item_20120214,4,
15,1,image/item/item_20120215,3,
16,2,???,4,
17,2,Well done,4,
18,2,Sorry mate,4,
19,2,Wow,4,
20,2,Lmao,4,
21,2,Follow my lead,4,
22,2,Prepare to die!,4,
23,2,Cover me,4,
24,2,Hi,4,
25,2,Thanks,4,
26,2,Roger,4,
27,2,HOLD IT!,4,
28,2,Retreat!,4,
29,2,For the Alliance!,4,
30,2,Help!,4,
31,2,Let me go!,4,
32,2,Please no!,4,
33,2,Don't hurt me!,4,
34,2,That's MY tile,4,
35,2,Np,4,
36,2,ENEMY SPOTTED,4,
37,2,...,4,
38,2,!!!,4,
39,2,Aim for the fort!,4,
40,2,Take the Silo!,4,
41,2,Bite me!,4,
42,2,Bye!,4,
43,2,Okay,4,
44,2,Seriously?,4,
45,2,Good luck with that,4,
46,2,C'mon son,4,
47,2,Oopsie,4,
48,2,You rock!,4,
49,2,GG,4,
50,1,image/item/item_20120216,3,
51,1,image/item/item_20120217,2,697
52,1,image/item/item_20120218,,
53,1,image/item/item_20120219,,
