id,group,name,icon,animation,height,plat,default_show
int,int,string,string,string,int,string,int
1,0,smile,smile,,50,g123,1
2,0,uneasy,uneasy,,50,g123,2
3,0,drool,drool,,50,g123,3
4,0,stunned,stunned,,50,g123,4
5,0,sunglasses,sunglasses,,50,g123,5
6,0,sob,sob,,50,g123,6
7,0,shy,shy,,50,g123,7
8,0,silent,silent,,50,g123,8
9,0,sleep,sleep,,50,g123,9
10,0,cry,cry,,50,g123,10
11,0,awkward,awkward,,50,g123,11
12,0,angry,angry,,50,g123,12
13,0,wink,wink,,50,g123,13
14,0,grin,grin,,50,g123,14
15,0,surprised,surprised,,50,g123,15
16,0,sad,sad,,50,g123,16
17,0,cool,cool,,50,g123,17
18,0,awkward,awkward,,50,g123,18
19,0,scream,scream,,50,g123,19
20,0,puke,puke,,50,g123,20
21,0,chuckle,chuckle,,50,g123,21
22,0,cute,cute,,50,g123,22
23,0,slight,slight,,50,g123,23
24,0,smug,smug,,50,g123,24
25,0,sleepy,sleepy,,50,g123,25
26,0,sweating,sweating,,50,g123,26
27,0,laugh,laugh,,50,g123,27
28,0,curse,curse,,50,g123,28
29,0,curious,curious,,50,g123,29
30,0,lost,lost,,50,g123,30
31,0,dizzy,dizzy,,50,g123,31
32,0,torture,torture,,50,g123,32
33,0,dead,dead,,50,,33
34,0,skull,skull,,50,,34
35,0,wipe sweat,wipe sweat,,50,,35
36,0,pick nose,pick nose,,50,,36
37,0,clap,clap,,50,,37
38,0,embarrased,embarrased,,50,,38
39,0,look down,look down,,50,,39
40,0,snob left,snob left,,50,,40
41,0,snob right,snob right,,50,,41
42,0,booo,booo,,50,,42
43,0,distressed,distressed,,50,,43
44,0,sniffle,sniffle,,50,,44
45,0,sly,sly,,50,,45
46,0,kiss,kiss,,50,,46
47,0,whimper,whimper,,50,,47
48,0,laugh crying,laugh crying,,50,,48
49,0,wail,wail,,50,,49
50,0,squint,squint,,50,,50
51,0,blood spurt,blood spurt,,50,,51
52,0,surprise,surprise,,50,,52
53,0,dilemma,dilemma,,50,,53
54,0,pistol,pistol,,50,,54
55,0,cough blood,cough blood,,50,,55
56,0,power,power,,50,,56
57,0,threat,threat,,50,,57
58,1,emotion_line01,emotion_line01,,130,g123,1
59,1,emotion_line02,emotion_line02,,130,g123,9
60,1,emotion_line03,emotion_line03,,130,g123,5
61,1,emotion_line04,emotion_line04,,130,g123,50
62,1,emotion_line05,emotion_line05,,130,g123,1
63,1,emotion_line06,emotion_line06,,130,g123,37
64,1,emotion_line07,emotion_line07,,130,g123,30
65,1,emotion_line08,emotion_line08,,130,g123,46
66,1,emotion_line09,emotion_line09,,130,g123,7
67,1,emotion_line10,emotion_line10,,130,g123,12
68,1,emotion_line11,emotion_line11,,130,g123,54
69,1,emotion_line12,emotion_line12,,130,g123,51
70,1,emotion_line13,emotion_line13,,130,g123,37
71,1,emotion_line14,emotion_line14,,130,g123,30
72,1,emotion_line15,emotion_line15,,130,g123,43
73,1,emotion_line16,emotion_line16,,130,g123,7
74,2,emotion_Egashira01,emotion_Egashira01,,130,g123,17
75,2,emotion_Egashira02,emotion_Egashira02,,130,g123,37
76,2,emotion_Egashira03,emotion_Egashira03,,130,g123,56
77,2,emotion_Egashira04,emotion_Egashira04,,130,g123,9
78,3,emotion_line_s2_1,emotion_line_s2_1,,130,g123,6
79,3,emotion_line_s2_2,emotion_line_s2_2,,130,g123,46
80,3,emotion_line_s2_3,emotion_line_s2_3,,130,g123,5
81,3,emotion_line_s2_4,emotion_line_s2_4,,130,g123,12
82,3,emotion_line_s2_5,emotion_line_s2_5,,130,g123,31
83,3,emotion_line_s2_6,emotion_line_s2_6,,130,g123,30
84,3,emotion_line_s2_7,emotion_line_s2_7,,130,g123,39
85,3,emotion_line_s2_8,emotion_line_s2_8,,130,g123,29
86,3,emotion_line_s2_9,emotion_line_s2_9,,130,g123,7
87,3,emotion_line_s2_10,emotion_line_s2_10,,130,g123,1
88,3,emotion_line_s2_11,emotion_line_s2_11,,130,g123,1
89,3,emotion_line_s2_12,emotion_line_s2_12,,130,g123,43
90,3,emotion_line_s2_13,emotion_line_s2_13,,130,g123,23
91,3,emotion_line_s2_14,emotion_line_s2_14,,130,g123,17
92,3,emotion_line_s2_15,emotion_line_s2_15,,130,g123,51
93,3,emotion_line_s2_16,emotion_line_s2_16,,130,g123,57
94,3,emotion_line_s2_17,emotion_line_s2_17,,130,g123,54
95,4,emotion_Kochikame01,emotion_Kochikame01,,130,g123,17
96,4,emotion_Kochikame02,emotion_Kochikame02,,130,g123,37
