id,model,name,pos_x,pos_y,lv,height,width,search_group,quality
int,string,string,int,int,int,int,int,string,int
1101,E_diguo_jianzhu,No. {0},500,1014,1,2,2,10001|10002|10003,1
1102,E_diguo_jianzhu,No. {0},12,1006,1,2,2,10001|10002|10003,1
1103,E_diguo_jianzhu,No. {0},8,988,1,2,2,10001|10002|10003,1
1104,E_diguo_jianzhu,No. {0},494,18,1,2,2,10001|10002|10003,1
1105,E_diguo_jianzhu,No. {0},18,22,1,2,2,10001|10002|10003,1
1106,E_diguo_jianzhu,No. {0},14,58,1,2,2,10001|10002|10003,1
1107,E_diguo_jianzhu,No. {0},498,966,1,2,2,10001|10002|10003,1
1108,E_diguo_jianzhu,No. {0},488,46,1,2,2,10001|10002|10003,1
1109,E_diguo_jianzhu,No. {0},38,18,1,2,2,10001|10002|10003,1
1110,E_diguo_jianzhu,No. {0},14,956,1,2,2,10001|10002|10003,1
1111,E_diguo_jianzhu,No. {0},500,90,1,2,2,10001|10002|10003,1
1112,E_diguo_jianzhu,No. {0},458,8,1,2,2,10001|10002|10003,1
1113,E_diguo_jianzhu,No. {0},40,38,1,2,2,10001|10002|10003,1
1114,E_diguo_jianzhu,No. {0},496,936,1,2,2,10001|10002|10003,1
1115,E_diguo_jianzhu,No. {0},464,998,1,2,2,10001|10002|10003,1
1116,E_diguo_jianzhu,No. {0},56,1008,1,2,2,10001|10002|10003,1
1117,E_diguo_jianzhu,No. {0},504,114,1,2,2,10001|10002|10003,1
1118,E_diguo_jianzhu,No. {0},466,986,1,2,2,10001|10002|10003,1
1119,E_diguo_jianzhu,No. {0},500,914,1,2,2,10001|10002|10003,1
1120,E_diguo_jianzhu,No. {0},28,78,1,2,2,10001|10002|10003,1
1121,E_diguo_jianzhu,No. {0},476,70,1,2,2,10001|10002|10003,1
1122,E_diguo_jianzhu,No. {0},44,966,1,2,2,10001|10002|10003,1
1123,E_diguo_jianzhu,No. {0},442,10,1,2,2,10001|10002|10003,1
1124,E_diguo_jianzhu,No. {0},18,116,1,2,2,10001|10002|10003,1
1125,E_diguo_jianzhu,No. {0},42,74,1,2,2,10001|10002|10003,1
1126,E_diguo_jianzhu,No. {0},498,892,1,2,2,10001|10002|10003,1
1127,E_diguo_jianzhu,No. {0},76,1016,1,2,2,10001|10002|10003,1
1128,E_diguo_jianzhu,No. {0},24,910,1,2,2,10001|10002|10003,1
1129,E_diguo_jianzhu,No. {0},8,872,1,2,2,10001|10002|10003,1
1130,E_diguo_jianzhu,No. {0},454,52,1,2,2,10001|10002|10003,1
1131,E_diguo_jianzhu,No. {0},440,998,1,2,2,10001|10002|10003,1
1132,E_diguo_jianzhu,No. {0},20,136,1,2,2,10001|10002|10003,1
1133,E_diguo_jianzhu,No. {0},476,916,1,2,2,10001|10002|10003,1
1134,E_diguo_jianzhu,No. {0},48,940,1,2,2,10001|10002|10003,1
1135,E_diguo_jianzhu,No. {0},490,138,1,2,2,10001|10002|10003,1
1136,E_diguo_jianzhu,No. {0},462,938,1,2,2,10001|10002|10003,1
1137,E_diguo_jianzhu,No. {0},506,176,1,2,2,10001|10002|10003,1
1138,E_diguo_jianzhu,No. {0},438,40,1,2,2,10001|10002|10003,1
1139,E_diguo_jianzhu,No. {0},76,38,1,2,2,10001|10002|10003,1
1140,E_diguo_jianzhu,No. {0},474,116,1,2,2,10001|10002|10003,1
1201,E_diguo_jianzhu,No. {0},92,12,2,2,2,10004|10005|10006,1
1202,E_diguo_jianzhu,No. {0},74,970,2,2,2,10004|10005|10006,1
