id,name,refresh_cd,born_num_max,born_mistaken,reward,show_reward
int,string,int,string,int,int,int
1,No. {0},10,13|13|13,1,13100001,13200001
2,No. {0},10,13|13|13,1,13100002,13200002
3,No. {0},20,13|13|13,1,13100003,13200003
4,No. {0},20,13|13|13,1,13100004,13200004
5,No. {0},30,13|13|13,1,13100005,13200005
6,No. {0},30,13|13|13,1,13100006,13200006
7,No. {0},40,13|13|13,1,13100007,13200007
8,No. {0},40,12|12|12,1,13100008,13200008
9,No. {0},50,12|12|12,1,13100009,13200009
10,No. {0},50,12|12|12,1,13100010,13200010
11,No. {0},60,8|8|8,1,13100011,13200011
12,No. {0},60,8|8|8,1,13100012,13200012
13,No. {0},60,8|8|8,1,13100013,13200013
14,No. {0},60,2|2|2,1,13100014,13200014
15,No. {0},60,2|2|2,2,13100015,13200015
16,No. {0},60,2|2|2,3,13100016,13200016
17,No. {0},60,2|2|2,1,13100017,13200017
18,No. {0},60,2|2|2,2,13100018,13200018
19,No. {0},60,2|2|2,3,13100019,13200019
20,No. {0},60,2|2|2,1,13100020,13200020
