id,name,detail,icon,group,position,relation,type,formula,talent_lv,max_lv,research_need,time_research,item_condition,para1,para2,occupation,unlock,power,career_name,color,priority,star,quality,switch
int,string,string,string,int,string,string,int,int,int,int,string,int,string,string,string,int,int,int,string,string,int,int,int,string
1001301,War Fever,When attacking a city; increase troop Attack by {0}%,career_battlemaster_001,1001300,1;3,0,1,0,0,3,5|50000;7|50000,100,,1101013,0,52001,30,0,Combat Elite,#ffffff,1,,4,
1001302,War Fever,When attacking a city; increase troop Attack by {0}%,career_battlemaster_001,1001300,1;3,1001301,1,0,1,3,5|75000;7|75000,140,,1101013,300,52001,30,1000,Combat Elite,#ffffff,1,,4,
1001303,War Fever,When attacking a city; increase troop Attack by {0}%,career_battlemaster_001,1001300,1;3,1001302,1,0,2,3,5|112500;7|112500,196,,1101013,600,52001,30,2000,Combat Elite,#ffffff,1,,4,
1001304,War Fever,When attacking a city; increase troop Attack by {0}%,career_battlemaster_001,1001300,1;3,1001303,1,0,3,3,5|0;7|0,0,,1101013,1000,52001,30,3000,Combat Elite,#ffffff,1,,4,
1001401,Army Resistance,Increase Army Resistance by {0}%,career_command_004,1001400,2;1,1001304,1,0,0,5,5|75000;7|75000,384,,1101015,0,52001,30,0,Combat Elite,#ffffff,1,,1,
1001402,Army Resistance,Increase Army Resistance by {0}%,career_command_004,1001400,2;1,1001401,1,0,1,5,5|112500;7|112500,537,,1101015,300,52001,30,1000,Combat Elite,#ffffff,1,,1,
1001403,Army Resistance,Increase Army Resistance by {0}%,career_command_004,1001400,2;1,1001402,1,0,2,5,5|168750;7|168750,752,,1101015,600,52001,30,2000,Combat Elite,#ffffff,1,,1,
1001404,Army Resistance,Increase Army Resistance by {0}%,career_command_004,1001400,2;1,1001403,1,0,3,5,5|253130;7|253130,1052,,1101015,900,52001,30,3000,Combat Elite,#ffffff,1,,1,
1001405,Army Resistance,Increase Army Resistance by {0}%,career_command_004,1001400,2;1,1001404,1,0,4,5,5|379695;7|379695,1473,,1101015,1200,52001,30,4000,Combat Elite,#ffffff,1,,1,
1001406,Army Resistance,Increase Army Resistance by {0}%,career_command_004,1001400,2;1,1001405,1,0,5,5,5|0;7|0,0,,1101015,1500,52001,30,5000,Combat Elite,#ffffff,1,2,1,
1001501,Navy Resistance,Increase Navy Resistance by {0}%,career_command_005,1001500,2;3,1001304,1,0,0,5,5|75000;7|75000,384,,1101016,0,52001,30,0,Combat Elite,#ffffff,1,,1,
1001502,Navy Resistance,Increase Navy Resistance by {0}%,career_command_005,1001500,2;3,1001501,1,0,1,5,5|112500;7|112500,537,,1101016,300,52001,30,1000,Combat Elite,#ffffff,1,,1,
1001503,Navy Resistance,Increase Navy Resistance by {0}%,career_command_005,1001500,2;3,1001502,1,0,2,5,5|168750;7|168750,752,,1101016,600,52001,30,2000,Combat Elite,#ffffff,1,,1,
1001504,Navy Resistance,Increase Navy Resistance by {0}%,career_command_005,1001500,2;3,1001503,1,0,3,5,5|253130;7|253130,1052,,1101016,900,52001,30,3000,Combat Elite,#ffffff,1,,1,
1001505,Navy Resistance,Increase Navy Resistance by {0}%,career_command_005,1001500,2;3,1001504,1,0,4,5,5|379695;7|379695,1473,,1101016,1200,52001,30,4000,Combat Elite,#ffffff,1,,1,
1001506,Navy Resistance,Increase Navy Resistance by {0}%,career_command_005,1001500,2;3,1001505,1,0,5,5,5|0;7|0,0,,1101016,1500,52001,30,5000,Combat Elite,#ffffff,1,,1,
1001601,Air Force Resistance,Increase Air Force Resistance by {0}%,career_command_006,1001600,2;5,1001304,1,0,0,5,5|75000;7|75000,384,,1101017,0,52001,30,0,Combat Elite,#ffffff,1,,1,
1001602,Air Force Resistance,Increase Air Force Resistance by {0}%,career_command_006,1001600,2;5,1001601,1,0,1,5,5|112500;7|112500,537,,1101017,300,52001,30,1000,Combat Elite,#ffffff,1,,1,
1001603,Air Force Resistance,Increase Air Force Resistance by {0}%,career_command_006,1001600,2;5,1001602,1,0,2,5,5|168750;7|168750,752,,1101017,600,52001,30,2000,Combat Elite,#ffffff,1,,1,
1001604,Air Force Resistance,Increase Air Force Resistance by {0}%,career_command_006,1001600,2;5,1001603,1,0,3,5,5|253130;7|253130,1052,,1101017,900,52001,30,3000,Combat Elite,#ffffff,1,,1,
1001605,Air Force Resistance,Increase Air Force Resistance by {0}%,career_command_006,1001600,2;5,1001604,1,0,4,5,5|379695;7|379695,1473,,1101017,1200,52001,30,4000,Combat Elite,#ffffff,1,,1,
1001606,Air Force Resistance,Increase Air Force Resistance by {0}%,career_command_006,1001600,2;5,1001605,1,0,5,5,5|0;7|0,0,,1101017,1500,52001,30,5000,Combat Elite,#ffffff,1,,1,
1001701,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_battlemaster_004,1001700,3;2,1001406|1001506,1,0,0,3,5|253130;7|253130,2063,1600025|2,1101018,0,52001,35,0,Combat Elite,#ffffff,2,,4,
1001702,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_battlemaster_004,1001700,3;2,1001701,1,0,1,3,5|379695;7|379695,2888,1600025|3,1101018,500,52001,35,1000,Combat Elite,#ffffff,2,,4,
1001703,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_battlemaster_004,1001700,3;2,1001702,1,0,2,3,5|569543;7|569543,4043,1600025|5,1101018,1000,52001,35,2000,Combat Elite,#ffffff,2,,4,
1001704,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_battlemaster_004,1001700,3;2,1001703,1,0,3,3,5|0;7|0,0,,1101018,1500,52001,35,3000,Combat Elite,#ffffff,2,,4,
1001801,Repair Speed Up,Greatly increase your speed of repairing all forces for each level increased,career_command_002,1001800,3;4,1001506|1001606,1,0,0,3,5|253130;7|253130,2063,1600025|2,1101019,0,52001,35,0,Combat Elite,#ffffff,2,,1,
1001802,Repair Speed Up,Greatly increase your speed of repairing all forces for each level increased,career_command_002,1001800,3;4,1001801,1,0,1,3,5|379695;7|379695,2888,1600025|3,1101019,500,52001,35,1000,Combat Elite,#ffffff,2,,1,
1001803,Repair Speed Up,Greatly increase your speed of repairing all forces for each level increased,career_command_002,1001800,3;4,1001802,1,0,2,3,5|569543;7|569543,4043,1600025|5,1101019,1000,52001,35,2000,Combat Elite,#ffffff,2,,1,
1001804,Repair Speed Up,Greatly increase your speed of repairing all forces for each level increased,career_command_002,1001800,3;4,1001803,1,0,3,3,5|0;7|0,0,,1101019,1500,52001,35,3000,Combat Elite,#ffffff,2,,1,
1001901,Army HP,Increase Army HP by {0}%,army_hp,1001900,4;1,1001704|1001804,1,0,0,5,5|379695;7|379695,5660,,1101020,0,52001,40,0,Combat Elite,#ffffff,2,,1,
1001902,Army HP,Increase Army HP by {0}%,army_hp,1001900,4;1,1001901,1,0,1,5,5|569543;7|569543,7924,,1101020,300,52001,40,1000,Combat Elite,#ffffff,2,,1,
1001903,Army HP,Increase Army HP by {0}%,army_hp,1001900,4;1,1001902,1,0,2,5,5|854315;7|854315,11093,,1101020,600,52001,40,2000,Combat Elite,#ffffff,2,,1,
