id,name,detail,icon,group,position,relation,type,formula,talent_lv,max_lv,research_need,time_research,item_condition,para1,para2,occupation,unlock,power,career_name,color,priority,star,quality,switch,change_id,is_show,formula_occupation
int,string,string,string,int,string,string,int,int,int,int,string,int,string,string,string,int,int,int,string,string,int,int,int,string,int,int,int
6001001,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_builder_005,6001000,1;3,0,1,0,0,5,5|10000;7|10000,10,,1101018,0,72000,35,0,Trainee Officer,#ffffff,1,,1,,,,
6001002,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_builder_005,6001000,1;3,6001001,1,0,1,5,5|20000;7|20000,60,,1101018,100,72000,35,5000,Trainee Officer,#ffffff,1,,1,,,,
6001003,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_builder_005,6001000,1;3,6001002,1,0,2,5,5|30000;7|30000,120,,1101018,200,72000,35,10000,Trainee Officer,#ffffff,1,,1,,,,
6001004,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_builder_005,6001000,1;3,6001003,1,0,3,5,5|40000;7|40000,360,,1101018,300,72000,35,15000,Trainee Officer,#ffffff,1,,1,,,,
6001005,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_builder_005,6001000,1;3,6001004,1,0,4,5,5|50000;7|50000,600,,1101018,400,72000,35,20000,Trainee Officer,#ffffff,1,,1,,,,
6001006,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_builder_005,6001000,1;3,6001005,1,0,5,5,5|0;7|0,0,,1101018,500,72000,35,25000,Trainee Officer,#ffffff,1,,1,,,,
6002001,Upgraded Weapon,All units attack +{0}%,career_battlemaster_001,6002000,2;2,6001006,1,0,0,8,5|70000;7|70000,3600,,1101042,0,72000,35,0,Trainee Officer,#ffffff,2,,1,,,,
6002002,Upgraded Weapon,All units attack +{0}%,career_battlemaster_001,6002000,2;2,6002001,1,0,1,8,5|100000;7|100000,4800,,1101042,100,72000,35,5000,Trainee Officer,#ffffff,2,,1,,,,
6002003,Upgraded Weapon,All units attack +{0}%,career_battlemaster_001,6002000,2;2,6002002,1,0,2,8,5|200000;7|200000,6000,,1101042,300,72000,35,10000,Trainee Officer,#ffffff,2,,1,,,,
6002004,Upgraded Weapon,All units attack +{0}%,career_battlemaster_001,6002000,2;2,6002003,1,0,3,8,5|300000;7|300000,7200,,1101042,500,72000,35,15000,Trainee Officer,#ffffff,2,,1,,,,
6002005,Upgraded Weapon,All units attack +{0}%,career_battlemaster_001,6002000,2;2,6002004,1,0,4,8,5|500000;7|500000,8400,,1101042,700,72000,35,20000,Trainee Officer,#ffffff,2,,1,,,,
6002006,Upgraded Weapon,All units attack +{0}%,career_battlemaster_001,6002000,2;2,6002005,1,0,5,8,5|600000;7|600000,9600,,1101042,900,72000,35,25000,Trainee Officer,#ffffff,2,,1,,,,
6002007,Upgraded Weapon,All units attack +{0}%,career_battlemaster_001,6002000,2;2,6002006,1,0,6,8,5|800000;7|800000,10800,,1101042,1100,72000,35,30000,Trainee Officer,#ffffff,2,,1,,,,
6002008,Upgraded Weapon,All units attack +{0}%,career_battlemaster_001,6002000,2;2,6002007,1,0,7,8,5|1000000;7|1000000,12000,,1101042,1300,72000,35,35000,Trainee Officer,#ffffff,2,,1,,,,
6002009,Upgraded Weapon,All units attack +{0}%,career_battlemaster_001,6002000,2;2,6002008,1,0,8,8,5|0;7|0,0,,1101042,1500,72000,35,40000,Trainee Officer,#ffffff,2,,1,,,,
6003001,Upgraded Armor,All units HP +{0}%,army_hp,6003000,2;4,6001006,1,0,0,8,5|70000;7|70000,3600,,930000,0,72000,35,0,Trainee Officer,#ffffff,2,,1,,,,
6003002,Upgraded Armor,All units HP +{0}%,army_hp,6003000,2;4,6003001,1,0,1,8,5|100000;7|100000,4800,,930000,100,72000,35,5000,Trainee Officer,#ffffff,2,,1,,,,
6003003,Upgraded Armor,All units HP +{0}%,army_hp,6003000,2;4,6003002,1,0,2,8,5|200000;7|200000,6000,,930000,300,72000,35,10000,Trainee Officer,#ffffff,2,,1,,,,
6003004,Upgraded Armor,All units HP +{0}%,army_hp,6003000,2;4,6003003,1,0,3,8,5|300000;7|300000,7200,,930000,500,72000,35,15000,Trainee Officer,#ffffff,2,,1,,,,
6003005,Upgraded Armor,All units HP +{0}%,army_hp,6003000,2;4,6003004,1,0,4,8,5|500000;7|500000,8400,,930000,700,72000,35,20000,Trainee Officer,#ffffff,2,,1,,,,
6003006,Upgraded Armor,All units HP +{0}%,army_hp,6003000,2;4,6003005,1,0,5,8,5|600000;7|600000,9600,,930000,900,72000,35,25000,Trainee Officer,#ffffff,2,,1,,,,
6003007,Upgraded Armor,All units HP +{0}%,army_hp,6003000,2;4,6003006,1,0,6,8,5|800000;7|800000,10800,,930000,1100,72000,35,30000,Trainee Officer,#ffffff,2,,1,,,,
6003008,Upgraded Armor,All units HP +{0}%,army_hp,6003000,2;4,6003007,1,0,7,8,5|1000000;7|1000000,12000,,930000,1300,72000,35,35000,Trainee Officer,#ffffff,2,,1,,,,
6003009,Upgraded Armor,All units HP +{0}%,army_hp,6003000,2;4,6003008,1,0,8,8,5|0;7|0,0,,930000,1500,72000,35,40000,Trainee Officer,#ffffff,2,,1,,,,
