id,buff_land,buff_sea,buff_air,para,type,random,condition,productable,enhance_oila,enhance_soil,enhance_metal,enhance_coal,upgrade_time,cool_down,desc,power
int,int,int,int,int,int,int,int,int,long,long,long,long,int,int,string,int
400101,930001,930002,930003,500,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107209,3000
400102,930001,930002,930003,2000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107209,9000
400103,930001,930002,930003,3500,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107209,18000
400104,930001,930002,930003,6000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107209,35000
400105,930001,930002,930003,9000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107209,63000
400106,930001,930002,930003,12000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107209,106000
400107,930001,930002,930003,16000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107209,166000
400108,930001,930002,930003,20000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107209,242000
400109,930001,930002,930003,25000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107209,332000
400110,930001,930002,930003,30000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107209,453000
400201,930101,930102,930103,500,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107210,3000
400202,930101,930102,930103,2000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107210,9000
400203,930101,930102,930103,3500,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107210,18000
400204,930101,930102,930103,6000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107210,35000
400205,930101,930102,930103,9000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107210,63000
400206,930101,930102,930103,12000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107210,106000
400207,930101,930102,930103,16000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107210,166000
400208,930101,930102,930103,20000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107210,242000
400209,930101,930102,930103,25000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107210,332000
400210,930101,930102,930103,30000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107210,453000
400301,930201,930202,930203,500,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107211,3000
400302,930201,930202,930203,1000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107211,9000
400303,930201,930202,930203,1500,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107211,18000
400304,930201,930202,930203,2000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107211,35000
400305,930201,930202,930203,2500,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107211,63000
400306,930201,930202,930203,3000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107211,106000
400307,930201,930202,930203,3500,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107211,166000
400308,930201,930202,930203,4000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107211,242000
400309,930201,930202,930203,4500,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107211,332000
400310,930201,930202,930203,5000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107211,453000
400401,930301,930302,930303,500,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107212,3000
400402,930301,930302,930303,1000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107212,9000
400403,930301,930302,930303,1500,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107212,18000
400404,930301,930302,930303,2000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107212,35000
400405,930301,930302,930303,2500,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107212,63000
400406,930301,930302,930303,3000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107212,106000
400407,930301,930302,930303,3500,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107212,166000
400408,930301,930302,930303,4000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107212,242000
400409,930301,930302,930303,4500,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107212,332000
400410,930301,930302,930303,5000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107212,453000
400501,930401,930402,930403,500,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107213,3000
400502,930401,930402,930403,2000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107213,9000
400503,930401,930402,930403,3500,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107213,18000
400504,930401,930402,930403,6000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107213,35000
400505,930401,930402,930403,9000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107213,63000
400506,930401,930402,930403,12000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107213,106000
400507,930401,930402,930403,16000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107213,166000
400508,930401,930402,930403,20000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107213,242000
400509,930401,930402,930403,25000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107213,332000
400510,930401,930402,930403,30000,1,10000,0,0,0.0,0.0,0.0,0.0,0,0,107213,453000
400601,931001,931002,931003,100,1,5000,0,0,0.0,0.0,0.0,0.0,0,0,107214,0
400602,931001,931002,931003,200,1,5000,0,0,0.0,0.0,0.0,0.0,0,0,107214,0
400603,931001,931002,931003,350,1,5000,0,0,0.0,0.0,0.0,0.0,0,0,107214,0
400604,931001,931002,931003,500,1,5000,0,0,0.0,0.0,0.0,0.0,0,0,107214,0
400605,931001,931002,931003,650,1,5000,0,0,0.0,0.0,0.0,0.0,0,0,107214,0
400606,931001,931002,931003,850,1,5000,0,0,0.0,0.0,0.0,0.0,0,0,107214,0
400607,931001,931002,931003,1100,1,5000,0,0,0.0,0.0,0.0,0.0,0,0,107214,0
400608,931001,931002,931003,1400,1,5000,0,0,0.0,0.0,0.0,0.0,0,0,107214,0
400609,931001,931002,931003,1700,1,5000,0,0,0.0,0.0,0.0,0.0,0,0,107214,0
400610,931001,931002,931003,2000,1,5000,0,0,0.0,0.0,0.0,0.0,0,0,107214,0
400701,930601,930602,930603,1000,1,5000,3,0,0.0,0.0,0.0,0.0,0,0,107128,0
400702,930601,930602,930603,1400,1,5600,3,0,0.0,0.0,0.0,0.0,0,0,107128,0
400703,930601,930602,930603,1900,1,6100,3,0,0.0,0.0,0.0,0.0,0,0,107128,0
400704,930601,930602,930603,2300,1,6700,3,0,0.0,0.0,0.0,0.0,0,0,107128,0
400705,930601,930602,930603,2800,1,7200,3,0,0.0,0.0,0.0,0.0,0,0,107128,0
400706,930601,930602,930603,3200,1,7800,3,0,0.0,0.0,0.0,0.0,0,0,107128,0
400707,930601,930602,930603,3700,1,8300,3,0,0.0,0.0,0.0,0.0,0,0,107128,0
400708,930601,930602,930603,4100,1,8900,3,0,0.0,0.0,0.0,0.0,0,0,107128,0
400709,930601,930602,930603,4600,1,9400,3,0,0.0,0.0,0.0,0.0,0,0,107128,0
400710,930601,930602,930603,5000,1,10000,3,0,0.0,0.0,0.0,0.0,0,0,107128,0
400801,930604,930605,930606,500,1,5000,3,0,0.0,0.0,0.0,0.0,0,0,107130,0
400802,930604,930605,930606,800,1,5600,3,0,0.0,0.0,0.0,0.0,0,0,107130,0
400803,930604,930605,930606,1100,1,6100,3,0,0.0,0.0,0.0,0.0,0,0,107130,0
400804,930604,930605,930606,1300,1,6700,3,0,0.0,0.0,0.0,0.0,0,0,107130,0
400805,930604,930605,930606,1600,1,7200,3,0,0.0,0.0,0.0,0.0,0,0,107130,0
400806,930604,930605,930606,1900,1,7800,3,0,0.0,0.0,0.0,0.0,0,0,107130,0
400807,930604,930605,930606,2200,1,8300,3,0,0.0,0.0,0.0,0.0,0,0,107130,0
400808,930604,930605,930606,2400,1,8900,3,0,0.0,0.0,0.0,0.0,0,0,107130,0
400809,930604,930605,930606,2700,1,9400,3,0,0.0,0.0,0.0,0.0,0,0,107130,0
400810,930604,930605,930606,3000,1,10000,3,0,0.0,0.0,0.0,0.0,0,0,107130,0
400901,930607,930608,930609,500,1,5000,3,0,0.0,0.0,0.0,0.0,0,0,107132,0
400902,930607,930608,930609,800,1,5600,3,0,0.0,0.0,0.0,0.0,0,0,107132,0
400903,930607,930608,930609,1100,1,6100,3,0,0.0,0.0,0.0,0.0,0,0,107132,0
400904,930607,930608,930609,1300,1,6700,3,0,0.0,0.0,0.0,0.0,0,0,107132,0
