id,army_type,level,buff,consume_item,need_equip_enhance_level,need_equip_enhance_count,background_image,army_icon_effect_level
int,int,int,string,string,int,int,string,int
101,101,1,930101|800,1700098|1,7,2,army_mastery_main_101_1,0
102,101,2,930001|800,1700098|2,8,1,army_mastery_main_101_1,0
103,101,3,930101|800,1700098|4,8,1,army_mastery_main_101_1,0
104,101,4,930001|800,1700098|6,8,1,army_mastery_main_101_1,0
105,101,5,930100|1000;930000|1000,1700098|10,8,2,army_mastery_main_101_2,0
106,101,6,930101|500;930001|500,1700098|20,8,2,army_mastery_main_101_2,0
107,101,7,930101|500;930001|500,1700098|40,8,2,army_mastery_main_101_2,0
108,101,8,930101|500;930001|500,1700098|60,8,3,army_mastery_main_101_2,0
109,101,9,930101|500;930001|500,1700098|90,8,3,army_mastery_main_101_2,0
110,101,10,930000|1500;1131002|500,1700098|120,9,1,army_mastery_main_101_3,1
111,101,11,930101|500;930001|500,1700098|170,9,1,army_mastery_main_101_3,1
112,101,12,930101|500;930001|500,1700098|220,9,2,army_mastery_main_101_3,1
113,101,13,930101|500;930001|500,1700098|290,9,2,army_mastery_main_101_3,1
114,101,14,930101|500;930001|500,1700098|360,9,3,army_mastery_main_101_3,1
115,101,15,930100|1500;1131001|500,1700098|450,10,1,army_mastery_main_101_4,2
116,101,16,930101|500;930001|500,1700098|560,10,2,army_mastery_main_101_4,2
117,101,17,960012|2,1700098|680,10,3,army_mastery_main_101_4,2
118,101,18,910300|200;960002|500,1700098|810,10,3,army_mastery_main_101_4,2
119,101,19,930101|2000;930001|2000,1700098|970,10,3,army_mastery_main_101_4,2
120,101,20,980101|1000;980201|1000,1700098|1140,10,3,army_mastery_main_101_5,3
121,101,21,,1700098|9999,10,5,army_mastery_main_101_5,3
201,201,1,930102|800,1700098|1,7,2,army_mastery_main_201_1,0
202,201,2,930002|800,1700098|2,8,1,army_mastery_main_201_1,0
203,201,3,930102|800,1700098|4,8,1,army_mastery_main_201_1,0
204,201,4,930002|800,1700098|6,8,1,army_mastery_main_201_1,0
205,201,5,930100|1000;930000|1000,1700098|10,8,2,army_mastery_main_201_2,0
206,201,6,930102|500;930002|500,1700098|20,8,2,army_mastery_main_201_2,0
207,201,7,930102|500;930002|500,1700098|40,8,2,army_mastery_main_201_2,0
208,201,8,930102|500;930002|500,1700098|60,8,3,army_mastery_main_201_2,0
209,201,9,930102|500;930002|500,1700098|90,8,3,army_mastery_main_201_2,0
210,201,10,930000|1500;1131002|500,1700098|120,9,1,army_mastery_main_201_3,1
211,201,11,930102|500;930002|500,1700098|170,9,1,army_mastery_main_201_3,1
212,201,12,930102|500;930002|500,1700098|220,9,2,army_mastery_main_201_3,1
213,201,13,930102|500;930002|500,1700098|290,9,2,army_mastery_main_201_3,1
214,201,14,930102|500;930002|500,1700098|360,9,3,army_mastery_main_201_3,1
215,201,15,930100|1500;1131001|500,1700098|450,10,1,army_mastery_main_201_4,2
216,201,16,930102|500;930002|500,1700098|560,10,2,army_mastery_main_201_4,2
217,201,17,960012|2,1700098|680,10,3,army_mastery_main_201_4,2
218,201,18,910300|200;960002|500,1700098|810,10,3,army_mastery_main_201_4,2
219,201,19,930102|2000;930002|2000,1700098|970,10,3,army_mastery_main_201_4,2
220,201,20,980102|1000;980202|1000,1700098|1140,10,3,army_mastery_main_201_5,3
221,201,21,,1700098|9999,10,5,army_mastery_main_201_5,3
301,301,1,930103|800,1700098|1,7,2,army_mastery_main_301_1,0
302,301,2,930003|800,1700098|2,8,1,army_mastery_main_301_1,0
303,301,3,930103|800,1700098|4,8,1,army_mastery_main_301_1,0
304,301,4,930003|800,1700098|6,8,1,army_mastery_main_301_1,0
305,301,5,930100|1000;930000|1000,1700098|10,8,2,army_mastery_main_301_2,0
306,301,6,930103|500;930003|500,1700098|20,8,2,army_mastery_main_301_2,0
307,301,7,930103|500;930003|500,1700098|40,8,2,army_mastery_main_301_2,0
308,301,8,930103|500;930003|500,1700098|60,8,3,army_mastery_main_301_2,0
309,301,9,930103|500;930003|500,1700098|90,8,3,army_mastery_main_301_2,0
310,301,10,930000|1500;1131002|500,1700098|120,9,1,army_mastery_main_301_3,1
311,301,11,930103|500;930003|500,1700098|170,9,1,army_mastery_main_301_3,1
312,301,12,930103|500;930003|500,1700098|220,9,2,army_mastery_main_301_3,1
313,301,13,930103|500;930003|500,1700098|290,9,2,army_mastery_main_301_3,1
314,301,14,930103|500;930003|500,1700098|360,9,3,army_mastery_main_301_3,1
315,301,15,930100|1500;1131001|500,1700098|450,10,1,army_mastery_main_301_4,2
316,301,16,930103|500;930003|500,1700098|560,10,2,army_mastery_main_301_4,2
317,301,17,960012|2,1700098|680,10,3,army_mastery_main_301_4,2
318,301,18,910300|200;960002|500,1700098|810,10,3,army_mastery_main_301_4,2
319,301,19,930103|2000;930003|2000,1700098|970,10,3,army_mastery_main_301_4,2
320,301,20,980103|1000;980203|1000,1700098|1140,10,3,army_mastery_main_301_5,3
321,301,21,,1700098|9999,10,5,army_mastery_main_301_5,3
