id,level,name,buff,need_exp,special_item_group,special_item_exp_times,notice_threshold,place_id
int,int,string,string,int,string,int,int,int
10101,101,Weapon Mastery,930101|200,200,400200|400300,20000,3500,1
10102,101,Defense Mastery,930001|200,200,400100|403800,20000,3500,2
10103,101,Peripheral Mastery,930001|200,200,400400|403900,20000,3500,3
10201,102,Weapon Mastery,930101|200,280,400500|403500,20000,3000,1
10202,102,Defense Mastery,930001|200,280,400100|403600,20000,3000,2
10203,102,Peripheral Mastery,930001|200,280,400300|403700,20000,3000,3
10301,103,Weapon Mastery,930101|200,400,400200|403700,20000,2800,1
10302,103,Defense Mastery,930001|200,400,400100|400400,20000,2800,2
10303,103,Peripheral Mastery,930001|200,400,400500|403900,20000,2800,3
10401,104,Weapon Mastery,930101|200,650,400200|400500,20000,2600,1
10402,104,Defense Mastery,930001|200,650,403800|403600,20000,2600,2
10403,104,Peripheral Mastery,930001|200,650,400300|403500,20000,2600,3
10501,105,Weapon Mastery,930101|200,1000,403700|403500,20000,2400,1
10502,105,Defense Mastery,930001|200,1000,400400|403600,20000,2400,2
10503,105,Peripheral Mastery,930001|200,1000,403900|403800,20000,2400,3
10601,106,Weapon Mastery,930101|200,1500,400200|400300,20000,2200,1
10602,106,Defense Mastery,930001|200,1500,400100|403800,20000,2200,2
10603,106,Peripheral Mastery,930001|200,1500,400400|403900,20000,2200,3
10701,107,Weapon Mastery,930101|200,2200,400500|403500,20000,2000,1
10702,107,Defense Mastery,930001|200,2200,400100|403600,20000,2000,2
10703,107,Peripheral Mastery,930001|200,2200,400300|403700,20000,2000,3
10801,108,Weapon Mastery,930101|200,3000,400200|403700,20000,1900,1
10802,108,Defense Mastery,930001|200,3000,400100|400400,20000,1900,2
10803,108,Peripheral Mastery,930001|200,3000,400500|403900,20000,1900,3
10901,109,Weapon Mastery,930101|200,4200,400200|400500,20000,1800,1
10902,109,Defense Mastery,930001|200,4200,403800|403600,20000,1800,2
10903,109,Peripheral Mastery,930001|200,4200,400300|403500,20000,1800,3
11001,110,Weapon Mastery,930101|200,5700,403700|403500,20000,1700,1
11002,110,Defense Mastery,930001|200,5700,400400|403600,20000,1700,2
11003,110,Peripheral Mastery,930001|200,5700,403900|403800,20000,1700,3
11101,111,Weapon Mastery,930101|200,7800,400200|400300,20000,1600,1
11102,111,Defense Mastery,930001|200,7800,400100|403800,20000,1600,2
11103,111,Peripheral Mastery,930001|200,7800,400400|403900,20000,1600,3
11201,112,Weapon Mastery,930101|200,10600,400500|403500,20000,1500,1
11202,112,Defense Mastery,930001|200,10600,400100|403600,20000,1500,2
11203,112,Peripheral Mastery,930001|200,10600,400300|403700,20000,1500,3
11301,113,Weapon Mastery,930101|200,13300,400200|403700,20000,1400,1
11302,113,Defense Mastery,930001|200,13300,400100|400400,20000,1400,2
