id,targetType,item_integral
int,int,string
1,97,400101|1
2,97,400102|3
3,97,400103|9
4,97,400104|27
5,97,400105|81
6,97,400106|243
7,97,400107|729
8,97,400108|2187
9,97,400109|6561
10,97,400110|19683
11,97,400201|1
12,97,400202|3
13,97,400203|9
14,97,400204|27
15,97,400205|81
16,97,400206|243
17,97,400207|729
18,97,400208|2187
19,97,400209|6561
20,97,400210|19683
21,97,400301|1
22,97,400302|3
23,97,400303|9
24,97,400304|27
25,97,400305|81
26,97,400306|243
27,97,400307|729
28,97,400308|2187
29,97,400309|6561
30,97,400310|19683
31,97,400401|1
32,97,400402|3
33,97,400403|9
34,97,400404|27
35,97,400405|81
36,97,400406|243
37,97,400407|729
38,97,400408|2187
39,97,400409|6561
40,97,400410|19683
41,97,400501|1
42,97,400502|3
43,97,400503|9
44,97,400504|27
45,97,400505|81
46,97,400506|243
47,97,400507|729
48,97,400508|2187
49,97,400509|6561
50,97,400510|19683
51,97,403501|1
52,97,403502|3
53,97,403503|9
54,97,403504|27
55,97,403505|81
56,97,403506|243
57,97,403507|729
58,97,403508|2187
59,97,403509|6561
60,97,403510|19683
61,97,403601|1
62,97,403602|3
63,97,403603|9
64,97,403604|27
65,97,403605|81
66,97,403606|243
67,97,403607|729
68,97,403608|2187
69,97,403609|6561
70,97,403610|19683
71,97,403701|1
72,97,403702|3
73,97,403703|9
74,97,403704|27
75,97,403705|81
76,97,403706|243
77,97,403707|729
78,97,403708|2187
79,97,403709|6561
80,97,403710|19683
81,97,403801|1
82,97,403802|3
83,97,403803|9
84,97,403804|27
85,97,403805|81
86,97,403806|243
87,97,403807|729
88,97,403808|2187
89,97,403809|6561
90,97,403810|19683
91,97,403901|1
92,97,403902|3
93,97,403903|9
94,97,403904|27
95,97,403905|81
96,97,403906|243
97,97,403907|729
98,97,403908|2187
99,97,403909|6561
100,97,403910|19683
101,116,400101|1
102,116,400102|3
103,116,400103|9
104,116,400104|27
105,116,400105|81
106,116,400106|243
107,116,400107|729
108,116,400108|2187
109,116,400109|6561
110,116,400110|19683
111,116,400201|1
112,116,400202|3
113,116,400203|9
114,116,400204|27
115,116,400205|81
116,116,400206|243
117,116,400207|729
118,116,400208|2187
119,116,400209|6561
120,116,400210|19683
121,116,400301|1
122,116,400302|3
123,116,400303|9
124,116,400304|27
125,116,400305|81
126,116,400306|243
127,116,400307|729
128,116,400308|2187
129,116,400309|6561
130,116,400310|19683
131,116,400401|1
132,116,400402|3
133,116,400403|9
134,116,400404|27
135,116,400405|81
136,116,400406|243
137,116,400407|729
138,116,400408|2187
139,116,400409|6561
140,116,400410|19683
141,116,400501|1
142,116,400502|3
143,116,400503|9
144,116,400504|27
145,116,400505|81
146,116,400506|243
147,116,400507|729
148,116,400508|2187
149,116,400509|6561
150,116,400510|19683
151,116,403501|1
152,116,403502|3
153,116,403503|9
154,116,403504|27
155,116,403505|81
156,116,403506|243
157,116,403507|729
158,116,403508|2187
159,116,403509|6561
160,116,403510|19683
161,116,403601|1
162,116,403602|3
163,116,403603|9
164,116,403604|27
165,116,403605|81
166,116,403606|243
167,116,403607|729
168,116,403608|2187
169,116,403609|6561
170,116,403610|19683
171,116,403701|1
172,116,403702|3
173,116,403703|9
174,116,403704|27
175,116,403705|81
176,116,403706|243
177,116,403707|729
178,116,403708|2187
179,116,403709|6561
180,116,403710|19683
181,116,403801|1
182,116,403802|3
183,116,403803|9
184,116,403804|27
185,116,403805|81
186,116,403806|243
187,116,403807|729
188,116,403808|2187
189,116,403809|6561
190,116,403810|19683
191,116,403901|1
192,116,403902|3
193,116,403903|9
194,116,403904|27
195,116,403905|81
196,116,403906|243
197,116,403907|729
198,116,403908|2187
199,116,403909|6561
200,116,403910|19683
