id,type,title,desc,icon
int,int,string,string,string
1,1,Pre-Expedition,To enter the Prep Stage of the Eternal Land, you need to go through three stages: the Land Unknown, the Sentries and the Ultimate Arms Race,
2,1,Perimeter of the Eternal Land,The Alliance can expand the territory by building fortresses and power stations. When conquering the Expedition Base, the commanders in this Warzone can rebuild the base and gain rewards. The color of the territory can be changed after the base is rebuilt.,
3,1,Entering the Eternal Land,You can enter this area by conquering the connected gate outside the Eternal Land. Occuping the military buildings may gain you attribute bonuses. You will also encounter members from other Warzones who entered this area.,
4,1,Deep into the Eternal Land,With the deepening of the area, there are fewer and fewer buildings that can be conquered. You still need to conquer the Gates between the areas to pass. This area has a wealth of technological buildings to increase the attributes.,
5,1,Battle for the Eternal Land,The center of the Eternal Land. At this stage, you can take over the Eternal Land to gain the Alliance and Warzone honor. You can expand the territory and conquer buildings in other Warzones.,
6,1,Claim Rewards,At this stage, you can receive rewards for completing tasks. You will be transferred back to the original Warzone when the timer reaches 0, and unclaimed rewards will be removed. Ranking rewards will be sent at the Award Stage. Please DO NOT leave your Alliance before the end of the [Battle for the Eternal Land] stage. Commanders will be eligible to receive Alliance Ranking and/or Warzone Ranking rewards only if: a). they are ranked on the list(s). b). they have earned Individual honor.,
8,2,Alliance Fortress,You can build a dedicated Alliance fortress in the Eternal Land, which is used to establish the Alliance territory. It is the base building for the expansion of the Alliance territory. The amethyst used for construction is collected through Alliance territory or special resource area.,fortress
9,2,Power Station,Used to expand the territory in the Eternal Land, the power station must be expanded based on the Alliance territory and cannot be built separately. The amethyst used for construction is collected through Alliance territory or special resource area.,xiaowangchengbao
10,2,Expedition Base,The aborigines of the Eternal Land built a magnificent fortress here. It was a glorious era belonging to their civilization. But with the invasion of the Dark Legion and the defeat of the Aboriginal people, they have also gradually become desolate under the erosion of time,military_base
11,2,Expedition Outpost,The temporary camp built by the Dark Legion. It illuminates the dark side of history, and now, you are looking at it.,T_hongbaolei
12,2,Military Fortress,Military Fortress surrounded by 4 Military Bases, heavily guarded here, and supported by the most advanced science and technology of the Dark Legion. If you want to enter the deeper area of the Eternal Land, this fortress will be the difficulty we have to face.,jianzhu1
13,2,Military Base,The military base of the Dark Legion, long-term military training and battle has made this base easy to defend and difficult to attack. It also has great power,throne_tower_model
14,2,Research Facility,The secret research institute of the Dark Legion, all evil research and powerful weapons are born from here. These soldiers are bathed in dark experiments all year round, and they are extremely powerful. Destroying and conquering these research institutes will be our full victory against the Dark Legion.,jianzhu2
15,2,Gate,The Dark legion established these Gates between the areas, and there are residual troops guarding it. Only by conquering the Gate can you pass between the two adjacent areas.,positive_level
16,2,Eternal City,The secret information of the Dark Legion shows that this is the most central place in the world. Only the Tyrant is eligible to live in the Eternal City. At the same time, the Dark Legion stationed in the Eternal City is also the most elite force. Anyone who dares to challenge the Eternal City is buried here. The Eternal City provides its owner with eternal power,dawangchengbao
17,2,Special Resource Area,The Eternal Land has 10 Special Resource Areas, which will be opened based on the progress of the Eternal Land. The Special Resource Area will refresh Dark Forces and resource regularly. When the area is opened, Amethyst can be collected in this area.,bg2_color_EightCountry
