id,condition,exchange,relation
int,string,string,int
1,1.0,4000,
2,2,19302160|193021601|193021602,
3,3,19302161,
4,4,19302162,
5,5,19302163,
6,6,19302164,
7,7,19302165,
8,8,19302166,
9,9,19302167,
10,10,19302168,
11,11,19302169,
12,12,19302170,
13,13,19302171,
14,14,19302172,
15,15,19302173,
16,16,19302174,
17,17,19302175,
18,18,19302176,
19,19,19302177,
20,20,19302178,
21,21,19302179,
22,22,19302180,
23,23.0,4004,
32,32,19302185,
33,33,19302186,
71,71,19302192,
72,72,19302193,
75,75,927892|927893|927894|927895,
78,78,19302200,
77,77.0,4005,
79,79.0,4006,
