id,item_id,need_level,price_shop,buy_limit,is_open,switch
int,int,int,int,int,int,string
1,920002,10,100,50,1,
2,910002,10,100,50,1,
3,1700011,10,250,5,1,
4,1700030,10,250,5,1,
5,1700012,20,700,3,1,
6,1700031,20,700,3,1,
7,1700013,40,2000,1,1,
8,1700032,40,2000,1,1,
9,1600025,80,6000,1,1,
10,1600026,80,6000,1,1,
11,2100001,40,800,5,1,
12,2100002,60,2000,1,1,
13,2100005,100,6000,1,1,
14,2300002,60,3000,3,1,
15,920003,120,20000,10,1,
16,910003,120,20000,10,1,
17,1600029,100,6000,2,1,
18,2560002,180,120000,1,1,
19,3300001,40,400,5,1,
