id,type,conditionType,server_open_day,price,rewardId,baseRewardId,itemId,itemId_add,hero_id,times,banner,is_new
int,int,int,string,int,int,int,int,int,int,int,string,int
1,1,1,0-999999,30,4000101,,2100001,2400001,,,,0
2,2,2,0-999999,150,4000102,,2100002,2400003,,,,0
3,4,4,,300,6022440,,2100003,2400003,218,200,,
4,3,3,0-999999,30,4000003,4000004,2560001,2550001,,2000,,0
5,5,5,0-999999,400,4000105,,2100005,2400004,,50,,0
6,6,5,0-999999,400,4000106,,2100005,2400004,,50,,0
7,7,5,0-999999,400,4000107,,2100005,2400004,,50,,0
8,4,4,,300,6021130,,2100003,2400003,312,200,,
11,1,1,0-999999,30,40000110,,2100001,2400001,,,,1
21,2,2,0-999999,150,40000111,,2100002,2400003,,,,1
41,3,3,0-999999,30,40000112,40000113,2560001,2550001,,2000,,1
51,5,5,0-999999,400,40000114,,2100005,2400004,,50,,1
61,6,5,0-999999,400,40000115,,2100005,2400004,,50,,1
71,7,5,0-999999,400,40000116,,2100005,2400004,,50,,1
999,8,4,,9999,949423,,211017,0,,99999,,
1000,8,4,,9999,1148,,39200605,0,,99999,,
