id,reward_type,item,num,mian_reward,group,power,guaranteed
int,int,int,int,int,int,int,int
1,1,2300003,2,1,1,10,3
2,1,2800000,2,,1,60,
3,1,99910001,10,,1,60,
4,1,99910101,10,,1,60,
5,2,39200522,100,,1,30,2
6,2,39200522,50,,1,40,
7,2,39200522,30,,1,60,
8,2,39200522,20,,1,80,
9,2,39200522,10,,1,100,
10,1,550004,2,1,2,10,3
11,1,1600029,1,,2,60,
12,1,910006,1,,2,60,
13,1,920006,1,,2,60,
14,2,39200522,100,,2,30,2
15,2,39200522,50,,2,40,
16,2,39200522,30,,2,60,
17,2,39200522,20,,2,80,
18,2,39200522,10,,2,100,
19,1,2300003,6,1,3,10,3
20,1,1700015,1,,3,60,
21,1,99910001,30,,3,60,
22,1,99910101,30,,3,60,
23,2,39200522,300,,3,30,2
24,2,39200522,150,,3,40,
25,2,39200522,90,,3,60,
26,2,39200522,60,,3,80,
27,2,39200522,30,,3,100,
