id,score,CNY,USD,JPY,RUB,EUR,is_show,payid,vip_point,energy,VND
int,int,string,string,string,string,string,int,int,int,int,string
1,10,1,0.99,120,15,1.09,0,101,1,10,
3,30,3,0.99,120,29,1.09,0,102,3,10,
6,100,6,0.99,120,75,1.09,1,103,6,10,
8,80,8,0.99,150,75,1.09,0,104,8,10,
12,200,12,1.99,240,149,2.29,0,105,12,20,
18,180,18,2.99,360,229,3.49,0,,18,30,
25,400,25,3.99,480,299,4.59,0,106,25,40,
30,500,30,4.99,600,379,5.79,1,107,30,50,
40,400,40,5.99,720,459,6.89,0,,40,60,
45,450,45,6.99,840,529,8.09,0,,45,70,
50,500,50,7.99,960,599,9.19,0,108,50,80,
60,900,60,8.99,1080,699,10.39,1,109,60,90,
68,1000,68,9.99,1200,749,11.49,0,110,68,100,
73,730,73,10.99,1300,849,12.69,0,,73,110,
78,780,78,11.99,1400,899,13.89,0,,78,120,
88,1300,88,12.99,1600,999,14.99,0,111,88,130,
98,1500,98,14.99,1800,1150,17.29,0,112,98,150,
108,1080,108,15.99,1900,1190,18.49,0,,108,160,
118,1180,118,17.99,2200,1390,20.79,0,,118,180,
128,2000,128,19.99,2400,1490,23.09,1,113,128,200,
148,1480,148,21.99,2600,1690,25.39,0,,148,220,
168,1680,168,25.99,3100,1990,29.99,0,,168,260,
188,2800,188,27.99,3400,2090,32.39,0,114,188,280,
198,1980,198,29.99,3600,2290,34.69,0,,198,300,
328,5000,328,49.99,6000,3790,57.79,1,118,328,500,
388,3880,388,59.99,7400,4490,69.29,0,119,388,600,
618,6180,618,94.99,11400,7290,109.79,0,122,618,950,
648,10000,648,99.99,11800,7490,115.59,1,123,648,1000,
500,4800,500,79.99,9600,4800,,0,,,800,
888,8880,888,139.99,17760,8880,,0,,,1400,
598,5980,598,89.99,11960,5980,,0,,,900,
100010,,6,,,98,,0,,,10,
100021,,12,,,196,,0,,,20,
100042,,25,,,392,,0,,,40,
100074,,50,,,686,,0,,,80,
1000148,,98,,,1372,,0,,,150,
1000296,,198,,,2744,,0,,,300,
1000592,,328,,,5488,,0,,,500,
1000740,,328,,,6860,,0,,,500,
10001480,,648,,,13720,,0,,,1000,
10002220,,648,,,20580,,0,,,1000,
308,3080,308,47.99,5800,3650,,0,,,480,
318,3180,318,48.99,5900,3690,,0,,,490,
588,5880,588,89.99,10800,6990,,0,,,910,
1298,12980,1298,199.99,23800,14990,,0,,,2000,
3298,32980,3298,499.99,58800,37990,,0,,,5090,
2598,25980,2598,399.99,43200,29990,,0,,,4000,
5900,59000,5900,899.99,98000,67450,,0,,,9000,
298,2980,298,46.99,5700,3590,,0,,,460,
100150,,,,,77,,0,,,,
100470,,,,,238,,0,,,,
101000,,,,,420,,0,,,,
102600,,,,,917,,0,,,,
105300,,,,,1939,,0,,,,
108100,,,,,2919,,0,,,,
110000,,,,,3983,,0,,,,
1001501,,,,,70,,0,,,,
1004701,,,,,200,,0,,,,
1010001,,,,,350,,0,,,,
1026001,,,,,850,,0,,,,
1053001,,,,,1750,,0,,,,
1081001,,,,,2650,,0,,,,
1100001,,,,,3600,,0,,,,
1001502,,,,,76,,,,,,
1004702,,,,,228,,,,,,
1010002,,,,,418,,,,,,
1026002,,,,,912,,,,,,
1053002,,,,,1938,,,,,,
1081002,,,,,2907,,,,,,
1100002,,,,,3971,,,,,,
1001503,,,1,,,,,,,,
1004703,,,3,,,,,,,,
1010003,,,6,,,,,,,,
1026003,,,15,,,,,,,,
1053003,,,30,,,,,,,,
1081003,,,42,,,,,,,,
1100003,,,50,,,,,,,,
1001504,,,1.99,,,,,,,,
1004704,,,4.99,,,,,,,,
1010004,,,9.99,,,,,,,,
1026004,,,19.99,,,,,,,,
1053004,,,39.99,,,,,,,,
1081004,,,54.99,,,,,,,,
1100004,,,64.99,,,,,,,,
1001505,,,,,,1.49,,,,,
1004705,,,,,,3.99,,,,,
1010005,,,,,,7.99,,,,,
1026005,,,,,,15.99,,,,,
1053005,,,,,,31.99,,,,,
1081005,,,,,,45.99,,,,,
1100005,,,,,,53.99,,,,,
1001506,,,,,150,,,,,,
1004706,,,,,370,,,,,,
1010006,,,,,750,,,,,,
1026006,,,,,1499,,,,,,
1053006,,,,,2999,,,,,,
1081006,,,,,3999,,,,,,
1100006,,,,,4999,,,,,,
200001,,,,,,,,,,,10000
200002,,,,,,,,,,,20000
200003,,,,,,,,,,,30000
200004,,,,,,,,,,,50000
200005,,,,,,,,,,,60000
200006,,,,,,,,,,,100000
200007,,,,,,,,,,,200000
200008,,,,,,,,,,,300000
200009,,,,,,,,,,,500000
200010,,,,,,,,,,,1000000
200011,,,,,,,,,,,2000000
200012,,,,,,,,,,,5000000
200013,,,,,,,,,,,10000000
