id,type,type_name,group,group_name,level,buff_group,upgrade,describe,icon_show,group_order,level_show,power
int,int,string,int,string,int,string,string,string,string,int,int,int
1,0,General Formation,1,Assault,1,1=1000022;4000;2=1000022;4000;3=1000022;4000,2800000|1,Increases the ATK of the front row; causes more damage\nA commonly used formation with no obvious flaws,1;1;1,1,15,2600
2,0,General Formation,1,Assault,2,1=1000022;6000;2=1000022;6000;3=1000022;6000,2800000|3,Increases the ATK of the front row; causes more damage\nA commonly used formation with no obvious flaws,1;1;1,1,15,9900
3,0,General Formation,1,Assault,3,1=1000022;8000;2=1000022;8000;3=1000022;8000,2800000|5,Increases the ATK of the front row; causes more damage\nA commonly used formation with no obvious flaws,1;1;1,1,15,21800
4,0,General Formation,1,Assault,4,1=1000022;10000;2=1000022;10000;3=1000022;10000,2800000|10,Increases the ATK of the front row; causes more damage\nA commonly used formation with no obvious flaws,1;1;1,1,15,38200
5,0,General Formation,1,Assault,5,1=1000022;10000;2=1000022;10000|1000023;1000;3=1000022;10000;12=1000022;10000,2800000|20;2800001|2,Increases the ATK of the front row; causes more damage\nA commonly used formation with no obvious flaws,1;1;1;1,1,15,59100
6,0,General Formation,1,Assault,6,1=1000022;12000;2=1000022;12000|1000023;1000;3=1000022;12000;12=1000022;12000,2800000|50,Increases the ATK of the front row; causes more damage\nA commonly used formation with no obvious flaws,1;1;1;1,1,15,84400
7,0,General Formation,1,Assault,7,1=1000022;14000;2=1000022;14000|1000023;1000;3=1000022;14000;12=1000022;14000,2800000|100,Increases the ATK of the front row; causes more damage\nA commonly used formation with no obvious flaws,1;1;1;1,1,15,114000
8,0,General Formation,1,Assault,8,1=1000022;16000;2=1000022;16000|1000023;1000;3=1000022;16000;12=1000022;16000,2800000|200;2800001|10,Increases the ATK of the front row; causes more damage\nA commonly used formation with no obvious flaws,1;1;1;1,1,15,147900
9,0,General Formation,1,Assault,9,1=1000022;18000;2=1000022;18000|1000023;1000;3=1000022;18000;12=1000022;18000,2800000|400,Increases the ATK of the front row; causes more damage\nA commonly used formation with no obvious flaws,1;1;1;1,1,15,186000
10,0,General Formation,1,Assault,10,1=1000022;18000;2=1000022;18000|1000023;1000;3=1000022;18000;11=1000022;9000;12=1000022;18000;13=1000022;9000,2800000|700;2800001|25,Increases the ATK of the front row; causes more damage\nA commonly used formation with no obvious flaws,1;1;1;1;1;1,1,15,228300
11,0,General Formation,1,Assault,11,1=1000022;18000;2=1000022;18000|1000023;1000;3=1000022;18000;11=1000022;18000;12=1000022;18000;13=1000022;18000,2800000|1200;2800001|50,Increases the ATK of the front row; causes more damage\nA commonly used formation with no obvious flaws,1;1;1;1;1;1,1,15,274700
12,0,General Formation,1,Assault,12,1=1000022;18000|1000023;1000;2=1000022;18000|1000023;1000;3=1000022;18000|1000023;1000;11=1000022;18000;12=1000022;18000;13=1000022;18000,2800000|1800;2800001|100,Increases the ATK of the front row; causes more damage\nA commonly used formation with no obvious flaws,1;1;1;1;1;1,1,15,325100
13,0,General Formation,1,Assault,13,1=1000022;20000|1000023;1000;2=1000022;20000|1000023;1000;3=1000022;20000|1000023;1000;11=1000022;20000;12=1000022;20000|1000023;1000;13=1000022;20000,2800000|2500;2800001|200,Increases the ATK of the front row; causes more damage\nA commonly used formation with no obvious flaws,1;1;1;1;1;1,1,15,379500
