id,type,desc,target,rewardId,alliance_resource,season_id
int,int,string,double,int,int,int
301,1,Points reach,500.0,8300191,20,0
302,1,Points reach,1500.0,8300192,30,0
303,1,Points reach,3000.0,8300193,30,0
401,2,Points reach,500.0,8300191,20,0
402,2,Points reach,1500.0,8300192,30,0
403,2,Points reach,3000.0,8300193,30,0
501,3,Points reach,500.0,8300191,20,0
502,3,Points reach,1500.0,8300192,30,0
503,3,Points reach,3000.0,8300193,30,0
601,4,Points reach,500.0,8300191,20,0
602,4,Points reach,1500.0,8300192,30,0
603,4,Points reach,3000.0,8300193,30,0
701,5,Points reach,500.0,8300191,20,0
702,5,Points reach,1500.0,8300192,30,0
703,5,Points reach,3000.0,8300193,30,0
801,6,Points reach,500.0,8300191,20,0
802,6,Points reach,1500.0,8300192,30,0
803,6,Points reach,3000.0,8300193,30,0
901,7,Points reach,500.0,8300191,20,0
902,7,Points reach,1500.0,8300192,30,0
903,7,Points reach,3000.0,8300193,30,0
1201,8,Points reach,500.0,8300191,20,0
1202,8,Points reach,1500.0,8300192,30,0
1203,8,Points reach,3000.0,8300193,30,0
1301,9,Points reach,500.0,8300191,20,0
1302,9,Points reach,1500.0,8300192,30,0
1303,9,Points reach,3000.0,8300193,30,0
1401,10,Points reach,500.0,8300191,20,0
1402,10,Points reach,1500.0,8300192,30,0
1403,10,Points reach,3000.0,8300193,30,0
1501,11,Points reach,500.0,8300191,20,0
1502,11,Points reach,1500.0,8300192,30,0
1503,11,Points reach,3000.0,8300193,30,0
1601,12,Points reach,500.0,8300191,20,0
1602,12,Points reach,1500.0,8300192,30,0
1603,12,Points reach,3000.0,8300193,30,0
1701,13,Points reach,500.0,8300191,20,0
1702,13,Points reach,1500.0,8300192,30,0
1703,13,Points reach,3000.0,8300193,30,0
1801,14,Points reach,500.0,8300191,20,0
1802,14,Points reach,1500.0,8300192,30,0
1803,14,Points reach,3000.0,8300193,30,0
1901,15,Points reach,500.0,8300191,20,0
1902,15,Points reach,1500.0,8300192,30,0
1903,15,Points reach,3000.0,8300193,30,0
