id,exchange_id,item,num,para1,para2,serverId,times,type
int,int,string,string,string,string,string,int,int
1,95003,2200054|2609101,10|1,2018-1-1-00-00,2022-4-22-10-00,1-112;115;119-124;137;147;157;182;186;208;211;225;227;237-238;277-278;281;283-285;291-292;294-295;297-298;300;324-325;342-343;347;366;370-373;376;379-381;386-390;450;454;478;486;492;500;503;516;523;534;538;699;708;717;722;730-731;736-740;746;748;750-755;758;766-769;774;781;804;871;874;915;996;1042;1044;1056;1059;1066;1068;1146;1154;1157;1180;1291;1295;4024,1,1
2,95004,2200054|2609101,10|3,2018-1-1-00-00,2022-4-22-10-00,1-112;115;119-124;137;147;157;182;186;208;211;225;227;237-238;277-278;281;283-285;291-292;294-295;297-298;300;324-325;342-343;347;366;370-373;376;379-381;386-390;450;454;478;486;492;500;503;516;523;534;538;699;708;717;722;730-731;736-740;746;748;750-755;758;766-769;774;781;804;871;874;915;996;1042;1044;1056;1059;1066;1068;1146;1154;1157;1180;1291;1295;4024,1,1
3,95005,2200054|2609101,60|5,2018-1-1-00-00,2022-4-22-10-00,1-112;115;119-124;137;147;157;182;186;208;211;225;227;237-238;277-278;281;283-285;291-292;294-295;297-298;300;324-325;342-343;347;366;370-373;376;379-381;386-390;450;454;478;486;492;500;503;516;523;534;538;699;708;717;722;730-731;736-740;746;748;750-755;758;766-769;774;781;804;871;874;915;996;1042;1044;1056;1059;1066;1068;1146;1154;1157;1180;1291;1295;4024,1,1
4,95006,2200054|2609101,150|20,2018-1-1-00-00,2022-4-22-10-00,1-112;115;119-124;137;147;157;182;186;208;211;225;227;237-238;277-278;281;283-285;291-292;294-295;297-298;300;324-325;342-343;347;366;370-373;376;379-381;386-390;450;454;478;486;492;500;503;516;523;534;538;699;708;717;722;730-731;736-740;746;748;750-755;758;766-769;774;781;804;871;874;915;996;1042;1044;1056;1059;1066;1068;1146;1154;1157;1180;1291;1295;4024,1,1
5,95007,2200054|2609101,150|25,2018-1-1-00-00,2022-4-22-10-00,1-112;115;119-124;137;147;157;182;186;208;211;225;227;237-238;277-278;281;283-285;291-292;294-295;297-298;300;324-325;342-343;347;366;370-373;376;379-381;386-390;450;454;478;486;492;500;503;516;523;534;538;699;708;717;722;730-731;736-740;746;748;750-755;758;766-769;774;781;804;871;874;915;996;1042;1044;1056;1059;1066;1068;1146;1154;1157;1180;1291;1295;4024,1,1
6,95008,2200054|2609101,240|30,2018-1-1-00-00,2022-4-22-10-00,1-112;115;119-124;137;147;157;182;186;208;211;225;227;237-238;277-278;281;283-285;291-292;294-295;297-298;300;324-325;342-343;347;366;370-373;376;379-381;386-390;450;454;478;486;492;500;503;516;523;534;538;699;708;717;722;730-731;736-740;746;748;750-755;758;766-769;774;781;804;871;874;915;996;1042;1044;1056;1059;1066;1068;1146;1154;1157;1180;1291;1295;4024,1,1
7,95009,2200057|2610101,200|2,2018-1-1-00-00,2022-4-22-10-00,1-112;115;119-124;137;147;157;182;186;208;211;225;227;237-238;277-278;281;283-285;291-292;294-295;297-298;300;324-325;342-343;347;366;370-373;376;379-381;386-390;450;454;478;486;492;500;503;516;523;534;538;699;708;717;722;730-731;736-740;746;748;750-755;758;766-769;774;781;804;871;874;915;996;1042;1044;1056;1059;1066;1068;1146;1154;1157;1180;1291;1295;4024,1,1
8,95010,2200057,210,2018-1-1-00-00,2022-4-22-10-00,1-112;115;119-124;137;147;157;182;186;208;211;225;227;237-238;277-278;281;283-285;291-292;294-295;297-298;300;324-325;342-343;347;366;370-373;376;379-381;386-390;450;454;478;486;492;500;503;516;523;534;538;699;708;717;722;730-731;736-740;746;748;750-755;758;766-769;774;781;804;871;874;915;996;1042;1044;1056;1059;1066;1068;1146;1154;1157;1180;1291;1295;4024,1,1
9,95011,2200057,210,2018-1-1-00-00,2022-4-22-10-00,1-112;115;119-124;137;147;157;182;186;208;211;225;227;237-238;277-278;281;283-285;291-292;294-295;297-298;300;324-325;342-343;347;366;370-373;376;379-381;386-390;450;454;478;486;492;500;503;516;523;534;538;699;708;717;722;730-731;736-740;746;748;750-755;758;766-769;774;781;804;871;874;915;996;1042;1044;1056;1059;1066;1068;1146;1154;1157;1180;1291;1295;4024,1,1
10,195005,2200054,30,2018-1-1-00-00,2022-4-22-10-00,1-112;115;119-124;137;147;157;182;186;208;211;225;227;237-238;277-278;281;283-285;291-292;294-295;297-298;300;324-325;342-343;347;366;370-373;376;379-381;386-390;450;454;478;486;492;500;503;516;523;534;538;699;708;717;722;730-731;736-740;746;748;750-755;758;766-769;774;781;804;871;874;915;996;1042;1044;1056;1059;1066;1068;1146;1154;1157;1180;1291;1295;4024,1,1
11,195006,2200054,90,2018-1-1-00-00,2022-4-22-10-00,1-112;115;119-124;137;147;157;182;186;208;211;225;227;237-238;277-278;281;283-285;291-292;294-295;297-298;300;324-325;342-343;347;366;370-373;376;379-381;386-390;450;454;478;486;492;500;503;516;523;534;538;699;708;717;722;730-731;736-740;746;748;750-755;758;766-769;774;781;804;871;874;915;996;1042;1044;1056;1059;1066;1068;1146;1154;1157;1180;1291;1295;4024,1,1
12,195007,2200054,90,2018-1-1-00-00,2022-4-22-10-00,1-112;115;119-124;137;147;157;182;186;208;211;225;227;237-238;277-278;281;283-285;291-292;294-295;297-298;300;324-325;342-343;347;366;370-373;376;379-381;386-390;450;454;478;486;492;500;503;516;523;534;538;699;708;717;722;730-731;736-740;746;748;750-755;758;766-769;774;781;804;871;874;915;996;1042;1044;1056;1059;1066;1068;1146;1154;1157;1180;1291;1295;4024,1,1
13,195008,2200054,140,2018-1-1-00-00,2022-4-22-10-00,1-112;115;119-124;137;147;157;182;186;208;211;225;227;237-238;277-278;281;283-285;291-292;294-295;297-298;300;324-325;342-343;347;366;370-373;376;379-381;386-390;450;454;478;486;492;500;503;516;523;534;538;699;708;717;722;730-731;736-740;746;748;750-755;758;766-769;774;781;804;871;874;915;996;1042;1044;1056;1059;1066;1068;1146;1154;1157;1180;1291;1295;4024,1,1
14,195009,2200057,160,2018-1-1-00-00,2022-4-22-10-00,1-112;115;119-124;137;147;157;182;186;208;211;225;227;237-238;277-278;281;283-285;291-292;294-295;297-298;300;324-325;342-343;347;366;370-373;376;379-381;386-390;450;454;478;486;492;500;503;516;523;534;538;699;708;717;722;730-731;736-740;746;748;750-755;758;766-769;774;781;804;871;874;915;996;1042;1044;1056;1059;1066;1068;1146;1154;1157;1180;1291;1295;4024,1,1
